?item	?itemLabel	?startDate	?endDate	?location	?locationLabel	?instanceOf	?instanceOfLabel	?partOf	?partOfLabel	?follows	?followsLabel	?followedBy	?followedByLabel	?subclassOf	?subclassOfLabel	?commonsCategory	?lcnaf
<http://www.wikidata.org/entity/Q110209550>	Early Dynastic IIIa@en	-2599-01-01T00:00:00Z^^<http://www.w3.org/2001/XMLSchema#dateTime>	-2499-01-01T00:00:00Z^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q11767>	Mesopotamia@en	<http://www.wikidata.org/entity/Q15401633>	archaeological period@en	<http://www.wikidata.org/entity/Q109386511>	Early Dynastic III@en	null	null	<http://www.wikidata.org/entity/Q110209565>	Early Dynastic IIIb@en	null	null	null	null
<http://www.wikidata.org/entity/Q110209565>	Early Dynastic IIIb@en	-2499-01-01T00:00:00Z^^<http://www.w3.org/2001/XMLSchema#dateTime>	-2339-01-01T00:00:00Z^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q11767>	Mesopotamia@en	<http://www.wikidata.org/entity/Q15401633>	archaeological period@en	<http://www.wikidata.org/entity/Q109386511>	Early Dynastic III@en	<http://www.wikidata.org/entity/Q110209550>	Early Dynastic IIIa@en	<http://www.wikidata.org/entity/Q419594>	Akkad period@en	null	null	null	null
<http://www.wikidata.org/entity/Q1108420>	Pala dynasty (Kamarupa)@en	null	null	null	null	<http://www.wikidata.org/entity/Q11514315>	historical period@en	null	null	null	null	null	null	null	null	Pala dynasty	sh85096907
<http://www.wikidata.org/entity/Q1109279>	First Mexican Republic@en	null	null	null	null	<http://www.wikidata.org/entity/Q11514315>	historical period@en	null	null	null	null	null	null	null	null	First Mexican Republic	null
<http://www.wikidata.org/entity/Q1122859>	Nanban trade period@en	1543-01-01T00:00:00Z^^<http://www.w3.org/2001/XMLSchema#dateTime>	1650-01-01T00:00:00Z^^<http://www.w3.org/2001/XMLSchema#dateTime>	null	null	<http://www.wikidata.org/entity/Q11514315>	historical period@en	<http://www.wikidata.org/entity/Q133641>	Age of Discovery@en	null	null	null	null	null	null	Nanban	null
<http://www.wikidata.org/entity/Q1145058>	Tenshō@en	1573-07-01T00:00:00Z^^<http://www.w3.org/2001/XMLSchema#dateTime>	1592-12-01T00:00:00Z^^<http://www.w3.org/2001/XMLSchema#dateTime>	null	null	<http://www.wikidata.org/entity/Q11514315>	historical period@en	<http://www.wikidata.org/entity/Q130436>	history of Japan@en	<http://www.wikidata.org/entity/Q1145064>	Genki@en	<http://www.wikidata.org/entity/Q1373039>	Bunroku@en	null	null	null	null
<http://www.wikidata.org/entity/Q1147037>	Eastern Han@en	0023-01-01T00:00:00Z^^<http://www.w3.org/2001/XMLSchema#dateTime>	0220-01-01T00:00:00Z^^<http://www.w3.org/2001/XMLSchema#dateTime>	null	null	<http://www.wikidata.org/entity/Q50068795>	historical Chinese state@en	<http://www.wikidata.org/entity/Q7209>	Han dynasty@en	null	null	null	null	null	null	Eastern Han Dynasty	null
<http://www.wikidata.org/entity/Q114866998>	Harappan@en	null	null	null	null	<http://www.wikidata.org/entity/Q11514315>	historical period@en	null	null	<http://www.wikidata.org/entity/Q419594>	Akkad period@en	null	null	null	null	null	null
<http://www.wikidata.org/entity/Q114867307>	Achaemenid Period@en	-0546-01-01T00:00:00Z^^<http://www.w3.org/2001/XMLSchema#dateTime>	-0330-01-01T00:00:00Z^^<http://www.w3.org/2001/XMLSchema#dateTime>	null	null	<http://www.wikidata.org/entity/Q11514315>	historical period@en	null	null	<http://www.wikidata.org/entity/Q114869307>	Neo Babylonian Period@en	<http://www.wikidata.org/entity/Q115664693>	Selucid Period@en	null	null	null	null
<http://www.wikidata.org/entity/Q114867342>	Early Neo-Babylonian Period@en	-1149-01-01T00:00:00Z^^<http://www.w3.org/2001/XMLSchema#dateTime>	-0729-01-01T00:00:00Z^^<http://www.w3.org/2001/XMLSchema#dateTime>	null	null	<http://www.wikidata.org/entity/Q11514315>	historical period@en	null	null	<http://www.wikidata.org/entity/Q16530848>	Middle Babylonian period@en	<http://www.wikidata.org/entity/Q22809362>	Late Babylonian Period@en	null	null	null	null
<http://www.wikidata.org/entity/Q114867465>	Early Old Babylonian Period@en	-1999-01-01T00:00:00Z^^<http://www.w3.org/2001/XMLSchema#dateTime>	-1899-01-01T00:00:00Z^^<http://www.w3.org/2001/XMLSchema#dateTime>	null	null	<http://www.wikidata.org/entity/Q11514315>	historical period@en	null	null	<http://www.wikidata.org/entity/Q109384761>	Ur III period@en	<http://www.wikidata.org/entity/Q1471568>	Old Babylonian Period@en	null	null	null	null
<http://www.wikidata.org/entity/Q114867907>	Ebla Period@en	-2299-01-01T00:00:00Z^^<http://www.w3.org/2001/XMLSchema#dateTime>	-2249-01-01T00:00:00Z^^<http://www.w3.org/2001/XMLSchema#dateTime>	null	null	<http://www.wikidata.org/entity/Q11514315>	historical period@en	null	null	null	null	null	null	null	null	null	null
