type,pid,property,propertyLabel,propertyDescription,propertyAltLabels,datatype,enrich_status
http://wikiba.se/ontology#ExternalId,P382,http://www.wikidata.org/entity/P382,CBS municipality code,identifier for a Dutch municipality as defined by Statistics Netherlands (CBS),municipality code (Netherlands),external-id,ok
http://wikiba.se/ontology#String,P393,http://www.wikidata.org/entity/P393,edition number,"number of an edition (first, second, ... as 1, 2, ...) or event",version number | software version number | number of event,string,ok
http://wikiba.se/ontology#String,P395,http://www.wikidata.org/entity/P395,licence plate code,distinguishing signs or parts of license plate associated with the subject. For countries: international licence plate country code or distinguishing sign of vehicles,license plate code | vehicle registration plate,string,ok
http://wikiba.se/ontology#ExternalId,P396,http://www.wikidata.org/entity/P396,SBN author ID,identifier issued by National Library Service (SBN) of Italy,ICCU | SBN | SBN identifier | Servizio Bibliotecario Nazionale,external-id,ok
http://wikiba.se/ontology#WikibaseItem,P397,http://www.wikidata.org/entity/P397,parent astronomical body,major astronomical body the item belongs to,parent body | orbits | star | planetary system | primary,wikibase-item,ok
http://wikiba.se/ontology#WikibaseItem,P398,http://www.wikidata.org/entity/P398,child astronomical body,minor body that belongs to the item,child body | satellite | orbited by | has planet | has moon | secondary,wikibase-item,ok
http://wikiba.se/ontology#WikibaseItem,P399,http://www.wikidata.org/entity/P399,companion of,two or more astronomic bodies of the same type relating to each other,astronomic companion of | astronomical companion of | companion | astronomic companion | astronomical companion | has companion | has astronomical companion,wikibase-item,ok
http://wikiba.se/ontology#WikibaseItem,P400,http://www.wikidata.org/entity/P400,platform,"platform for which a work was developed or released, or the specific platform version of a software product",platforms | computing platform | game platform | environment | runtime | published on | hardware,wikibase-item,ok
http://wikiba.se/ontology#ExternalId,P402,http://www.wikidata.org/entity/P402,OpenStreetMap relation ID,identifier for a relation in OpenStreetMap,OpenStreetMap relation | OSM relation | OpenStreetMap relation identifier | OSM relation ID | relation ID (OpenStreetMap) | relation ID (OSM) | osm rel id,external-id,ok
http://wikiba.se/ontology#WikibaseItem,P403,http://www.wikidata.org/entity/P403,mouth of the watercourse,the body of water to which the watercourse drains,watercourse outflow | watercourse drain | outflow | drain | river mouth | outlet | watercourse ends in | flows into | tributary of,wikibase-item,ok
http://wikiba.se/ontology#WikibaseItem,P404,http://www.wikidata.org/entity/P404,game mode,video game's available playing mode(s),mode | gameplay | play mode | player mode | player configuration | gamemode,wikibase-item,ok
http://wikiba.se/ontology#WikibaseItem,P405,http://www.wikidata.org/entity/P405,taxon author,the author(s) that (optionally) may be cited with the scientific name,author citation | described by | taxon authority,wikibase-item,ok
http://wikiba.se/ontology#WikibaseItem,P406,http://www.wikidata.org/entity/P406,soundtrack release,music release that incorporates music directly recorded from the soundtrack of an audiovisual work,has soundtrack album | soundtrack extended play | soundtrack single | soundtrack album | OST,wikibase-item,ok
http://wikiba.se/ontology#WikibaseItem,P407,http://www.wikidata.org/entity/P407,language of work or name,"language associated with this creative work (such as books, shows, songs, broadcasts or websites) or a name (for persons use ""native language"" (P103) and ""languages spoken, written or signed"" (P1412))",broadcasting language | audio language | available in | language of work | language of the reference | language of website | language of URL | used language | language of the name | language of name | language of spoken text | named in language | language,wikibase-item,ok
http://wikiba.se/ontology#WikibaseItem,P408,http://www.wikidata.org/entity/P408,software engine,software engine employed by the subject item,engine of software | game engine | powered by | render engine | engine,wikibase-item,ok
http://wikiba.se/ontology#ExternalId,P409,http://www.wikidata.org/entity/P409,Libraries Australia ID,"identifier issued by the National Library of Australia (see also P1315 for the newer People Australia identifier). VIAF component. Format: 1-12 digits, removing leading zero-padding.",AuCNLKIN | AuCNLKIN ID | AuCNLKIN identifier | Libraries Australia identifier | Australian National Bibliographic Database identifier | NLA Kinetica Service identifier | CNLKIN | CNLKIN identifier | CNL Kinetica Service identifier | NLA (Australia) identifier | NLA (Australia) ID,external-id,ok
http://wikiba.se/ontology#WikibaseItem,P410,http://www.wikidata.org/entity/P410,"military, police or special rank","military or police rank achieved by a person (should usually have a ""start time"" qualifier), or military or police rank associated with a position",rank | naval rank | police rank | military rank | military or police rank,wikibase-item,ok
http://wikiba.se/ontology#WikibaseItem,P411,http://www.wikidata.org/entity/P411,canonization status,formal stage in the process of attaining sainthood per the subject's religious organization,canonisation status,wikibase-item,ok
http://wikiba.se/ontology#WikibaseItem,P412,http://www.wikidata.org/entity/P412,voice type,"person's voice type. expected values: soprano, mezzo-soprano, contralto, countertenor, tenor, baritone, bass (and derivatives)",vocal type | range of voice | type of voice | register | tessitura | voice category | vocal range,wikibase-item,ok
http://wikiba.se/ontology#WikibaseItem,P413,http://www.wikidata.org/entity/P413,position played on team / speciality,position or specialism of a player on a team,fielding position | specialism | position (on team) | speciality | player position | position,wikibase-item,ok
http://wikiba.se/ontology#WikibaseItem,P414,http://www.wikidata.org/entity/P414,stock exchange,exchange on which this company is traded,exchange | listed on | listed on exchange | listed on stock exchange,wikibase-item,ok
http://wikiba.se/ontology#WikibaseItem,P415,http://www.wikidata.org/entity/P415,radio format,describes the overall content broadcast on a radio station,format | genre | radio station format,wikibase-item,ok
http://wikiba.se/ontology#String,P416,http://www.wikidata.org/entity/P416,quantity symbol (string),symbol for a mathematical or physical quantity,symbol | variable,string,ok
http://wikiba.se/ontology#WikibaseItem,P417,http://www.wikidata.org/entity/P417,patron saint,patron saint adopted by the subject,,wikibase-item,ok
http://wikiba.se/ontology#WikibaseItem,P418,http://www.wikidata.org/entity/P418,"has seal, badge, or sigil",links to the item for the subject's seal,seal | seal description,wikibase-item,ok
http://wikiba.se/ontology#WikibaseItem,P421,http://www.wikidata.org/entity/P421,located in time zone,time zone for this item,timezone | time zone | TZ | observes time | observes standard time | standard time observed | time observed,wikibase-item,ok
http://wikiba.se/ontology#WikibaseItem,P423,http://www.wikidata.org/entity/P423,shooting handedness,whether the hockey player passes or shoots left- or right-handed,dominant hand shooting,wikibase-item,ok
http://wikiba.se/ontology#String,P424,http://www.wikidata.org/entity/P424,Wikimedia language code,identifier for a language or variant as used by Wikimedia projects,MediaWiki interlanguage prefix | language code | WMF language code | Wikibase monolingual text language code,string,ok
http://wikiba.se/ontology#WikibaseItem,P425,http://www.wikidata.org/entity/P425,field of this occupation,"field corresponding to this occupation or profession (use only for occupations/professions - for people use Property:P101, for companies use P452)",profession's field | activity corresponding to this occupation | field of this profession | practices | practice | field of occupation | field of profession | works in | does,wikibase-item,ok
http://wikiba.se/ontology#String,P426,http://www.wikidata.org/entity/P426,aircraft registration,identifier assigned to an individual aircraft by civil aircraft registry,registration | tail number | reg,string,ok
http://wikiba.se/ontology#WikibaseItem,P427,http://www.wikidata.org/entity/P427,taxonomic type,type genus or species: [in zoology:] nominal genus or species that is the name-bearing type of this nominal family or genus (or family-group ranked taxon or subgenus); type specimen that is the name-bearing type of this nominal species or subspecies,type species | type genus | type | type taxon | genotype | species typica | type specimen | nomenclatural type,wikibase-item,ok
http://wikiba.se/ontology#ExternalId,P428,http://www.wikidata.org/entity/P428,botanist author abbreviation,"standard form (official abbreviation) of a personal name for use in an author citation (only for names of algae, fungi and plants)",abbreviation of botanist | author abbreviation of botanist | botanist name | botanical author abbreviation | botanic author abbreviation | botany author | botanist name abbreviation | IPNI author abbreviation | standard form | IPNI standard form,external-id,ok
http://wikiba.se/ontology#ExternalId,P429,http://www.wikidata.org/entity/P429,dantai code,"6-digit identifier for an administrative division of Japan, assigned by Ministry of Internal Affairs and Communications",municipality code (Japan) | Japanese municipality identifier,external-id,ok
http://wikiba.se/ontology#ExternalId,P432,http://www.wikidata.org/entity/P432,callsign of airline,identifier used in radio transmissions to refer to the subject airline,airline callsign | airline call sign | airl aéronefine code,external-id,ok
http://wikiba.se/ontology#String,P433,http://www.wikidata.org/entity/P433,issue,"issue of a newspaper, a scientific journal or magazine for reference purpose",no. | number | issue number,string,ok
http://wikiba.se/ontology#ExternalId,P434,http://www.wikidata.org/entity/P434,MusicBrainz artist ID,identifier for an artist in the MusicBrainz open music encyclopedia,MBID artist | MB artist ID,external-id,ok
http://wikiba.se/ontology#ExternalId,P435,http://www.wikidata.org/entity/P435,MusicBrainz work ID,identifier for a work per the MusicBrainz open music encyclopedia,work MBID | song MBID | MusicBrainz work MBID | MBID work | MB work ID | MBW | work ID (MusicBrainz) | song ID (MusicBrainz) | MusicBrainz song ID | MusicBrainz composition ID | composition ID (MusicBrainz),external-id,ok
http://wikiba.se/ontology#ExternalId,P436,http://www.wikidata.org/entity/P436,MusicBrainz release group ID,"identifier for a release group per the MusicBrainz open music encyclopedia (album, single, etc.)",release group MBID | album MBID | single MBID | EP MBID | MusicBrainz album | MBID release group | MB release group ID | MBRG | album ID (MusicBrainz) | release group ID (MusicBrainz) | single ID (MusicBrainz) | EP ID (MusicBrainz) | MusicBrainz master ID | master ID (MusicBrainz) | MBID | MBrgID | MBRGID | mbrgid,external-id,ok
http://wikiba.se/ontology#WikibaseItem,P437,http://www.wikidata.org/entity/P437,distribution format,method (or type) of distribution for the subject,media | media type | type of media | form of publication | format | edition | book format | media format | medium | distribution | method of distribution | publication format | distribution method | packaged as,wikibase-item,ok
http://wikiba.se/ontology#ExternalId,P439,http://www.wikidata.org/entity/P439,German municipality key,numerical code for municipalities and independent towns in Germany,municipality key (Germany) | Gemeindeschlüssel,external-id,ok
http://wikiba.se/ontology#ExternalId,P440,http://www.wikidata.org/entity/P440,German district key,numerical code for districts (Landkreise) and independent towns in Germany,district key (Germany),external-id,ok
http://wikiba.se/ontology#ExternalId,P442,http://www.wikidata.org/entity/P442,China division code for Statistics,identifier for divisions of People's Republic of China for Statistics (with spaces),administrative division codes of the People's Republic of China,external-id,ok
http://wikiba.se/ontology#CommonsMedia,P443,http://www.wikidata.org/entity/P443,pronunciation audio,audio file with pronunciation,audio pronunciation | listen,commonsMedia,ok
http://wikiba.se/ontology#String,P444,http://www.wikidata.org/entity/P444,review score,review score received by a creative work or other entity,review rating | rating (score),string,ok
http://wikiba.se/ontology#WikibaseItem,P447,http://www.wikidata.org/entity/P447,review score by,issuer of a review score,reviewer | score issuer | publication | scorer,wikibase-item,ok
http://wikiba.se/ontology#WikibaseItem,P449,http://www.wikidata.org/entity/P449,original broadcaster,network(s) or service(s) that originally broadcast a radio or television program,original channel | channel | TV channel | radio network | network | television channel | radio station | original air channel | broadcast on | first air channel | original network | aired on | airs on,wikibase-item,ok
http://wikiba.se/ontology#WikibaseItem,P450,http://www.wikidata.org/entity/P450,astronaut mission,space mission that the subject is or has been a member of (do not include future missions),cosmonaut mission,wikibase-item,ok
http://wikiba.se/ontology#WikibaseItem,P451,http://www.wikidata.org/entity/P451,unmarried partner,"someone with whom the person is in a relationship without being married. Use ""spouse"" (P26) for married couples",girlfriend | boyfriend | lover | cohabitant | partner | domestic partner | significant other | enbyfriend | romantic partner | life partner | partners | is partner of | is the partner of | SO | partner of | posslq | spiritual partner | relationship | non-married partner,wikibase-item,ok
http://wikiba.se/ontology#WikibaseItem,P452,http://www.wikidata.org/entity/P452,industry,specific industry of company or organization,field of exercise | branch | economic branch | field of action | sector,wikibase-item,ok
http://wikiba.se/ontology#WikibaseItem,P453,http://www.wikidata.org/entity/P453,character role,"specific role played or filled by subject -- use only as qualifier of ""cast member"" (P161), ""voice actor"" (P725)",role | as | plays | acting role | performer of,wikibase-item,ok
http://wikiba.se/ontology#ExternalId,P454,http://www.wikidata.org/entity/P454,Structurae structure ID,identifier for a building in the Structurae database,Structurae ID (structure) | Structurae ID for building | Structurae ID for structure,external-id,ok
http://wikiba.se/ontology#ExternalId,P455,http://www.wikidata.org/entity/P455,Emporis building ID,"former identifier for a building in the defunct Emporis database (for building complexes, see P2270)",EBN | Emporis Building Number,external-id,ok
http://wikiba.se/ontology#WikibaseItem,P457,http://www.wikidata.org/entity/P457,foundational text,text through which an institution or object has been created or established,establishing document | enabling law | created in document | constitutive text | created by | founding document | charter | constitution | treaty | organic law | established under | established by | main text,wikibase-item,ok
http://wikiba.se/ontology#ExternalId,P458,http://www.wikidata.org/entity/P458,IMO ship number,"identifier for a ship, ship owner or ship manager per the International Maritime Organization",,external-id,ok
http://wikiba.se/ontology#WikibaseItem,P459,http://www.wikidata.org/entity/P459,determination method or standard,"how a value is determined, or the standard by which it is declared",determined by | method | methodology | method of determination | standard | rationale | justification | measured by,wikibase-item,ok
http://wikiba.se/ontology#WikibaseItem,P460,http://www.wikidata.org/entity/P460,said to be the same as,"this item is said to be the same as that item, though this may be uncertain or disputed",the same as | equivalent to | equivalent of | is the same as | is said to be the same as | same | conspecific with | said to be equal to | equal to | could be equal to | may be equal to | could be | may be | said to be same as | same as | synonymous with | said to be identical to | may be identical to | could be identical to | identical to | could be the same as | may be the same as | identical | equal | considered to be the same as | considered the same as,wikibase-item,ok
http://wikiba.se/ontology#WikibaseItem,P461,http://www.wikidata.org/entity/P461,opposite of,item that is in some way the opposite of this item,inverse | opposite | is the opposite of | inverse of | contrasted to | contrast of | is opposite of | opposite to | has opposite | antagonist | adversary | opponent,wikibase-item,ok
http://wikiba.se/ontology#WikibaseItem,P462,http://www.wikidata.org/entity/P462,color,color of subject,colour | colors | colours | has color | has colour | pigment | dye | has the colour | has the color | of the color | of the colour | with the colour | with the color,wikibase-item,ok
http://wikiba.se/ontology#WikibaseItem,P463,http://www.wikidata.org/entity/P463,member of,"organization, club or musical group to which the subject belongs. Do not use for membership in ethnic or social groups, nor for holding a political position, such as a member of parliament (use P39 for that)",membership | band member of | member of musical group | in musical group | of organization | is member of | club,wikibase-item,ok
http://wikiba.se/ontology#ExternalId,P464,http://www.wikidata.org/entity/P464,NOR numbering ID,identifier for French official texts,,external-id,ok
http://wikiba.se/ontology#String,P465,http://www.wikidata.org/entity/P465,sRGB color hex triplet,"sRGB hex triplet format for subject color (e.g. 7FFFD4) specifying the 8-bit red, green and blue components",colour (hex triplet) | color hex triplet | RGB | sRGB | color triplet | hexcode | hex color,string,ok
http://wikiba.se/ontology#WikibaseItem,P466,http://www.wikidata.org/entity/P466,occupant,person or organization occupying property,tenant | inhabitant | renter | lessee | houses | location of | resident | home team | occupier | occupiers | occupants | user | users,wikibase-item,ok
http://wikiba.se/ontology#WikibaseItem,P467,http://www.wikidata.org/entity/P467,legislated by,indicates that an act or bill was passed by a legislature. The value can be a particular session of the legislature,enacted by | passed by,wikibase-item,ok
http://wikiba.se/ontology#WikibaseItem,P468,http://www.wikidata.org/entity/P468,dan/kyu rank,"rank system used in several board games (e.g. go, shogi, renju), martial arts (e.g. judo, kendo, wushu) and some other games",go rank | judo rank | wushu rank | shogi rank | renju rank | kendo rank,wikibase-item,ok
http://wikiba.se/ontology#WikibaseItem,P469,http://www.wikidata.org/entity/P469,lake on watercourse,lake or reservoir through which the river or stream flows,reservoir on this river | lake on this river | lakes on river | lake on river | lake on stream,wikibase-item,ok
http://wikiba.se/ontology#WikibaseItem,P470,http://www.wikidata.org/entity/P470,Eight Banner register,Manchu household register for people of the Qing Dynasty,,wikibase-item,ok
http://wikiba.se/ontology#String,P473,http://www.wikidata.org/entity/P473,local dialing code,identifier dedicated to subject city by the area communication network,local calling code | telephone numbering plan | STD code | telephone code | telephone prefix | dialling code | area code | local dialling code,string,ok
http://wikiba.se/ontology#String,P474,http://www.wikidata.org/entity/P474,telephone country code,identifier for a country - dialed on phone after the international dialing prefix (precede value by +),phone country code | country code,string,ok
http://wikiba.se/ontology#ExternalId,P476,http://www.wikidata.org/entity/P476,CELEX number,identifier for European legal texts in EUR-Lex database,CELEX code | EUR-Lex ID,external-id,ok
http://wikiba.se/ontology#ExternalId,P477,http://www.wikidata.org/entity/P477,Canadian Register of Historic Places ID,identifier in the Canadian Register of Historic Places,Canadian Historic Places identifier | historicplaces.ca | CRHP ID,external-id,ok
http://wikiba.se/ontology#String,P478,http://www.wikidata.org/entity/P478,volume,volume of a book or music release in a collection/series or a published collection of journal issues in a serial publication,volume of a book | volume of serial | vol. | tome | numbering of part | series numbering | numbering in series | number of series | number of part | part number | volume number | numbering of volume,string,ok
http://wikiba.se/ontology#WikibaseItem,P479,http://www.wikidata.org/entity/P479,input device,input device used to interact with a software or a device,input | digitiser | input device | input method,wikibase-item,ok
http://wikiba.se/ontology#ExternalId,P480,http://www.wikidata.org/entity/P480,FilmAffinity film ID,FilmAffinity identification number of a creative work,FilmAffinity identifier | FilmAffinity movie ID | FilmAffinity ID | FilmAffinity.com film ID | FilmAffinity.com movie ID | FA ID,external-id,ok
http://wikiba.se/ontology#ExternalId,P481,http://www.wikidata.org/entity/P481,Palissy ID,identifier in the Palissy database of moveable objects of French cultural heritage,Palissy | Palissy identifier,external-id,ok
http://wikiba.se/ontology#WikibaseItem,P483,http://www.wikidata.org/entity/P483,recorded at studio or venue,studio or location where a musical composition/release was recorded,recording studio | recording venue | recorded at event | studio | venue,wikibase-item,ok
http://wikiba.se/ontology#ExternalId,P484,http://www.wikidata.org/entity/P484,"IMA Number, broad sense","identifier for a mineral per the International Mineralogical Association - Commission on New Minerals, Nomenclature and Classification (IMA-CNMNC)",IMA approval year,external-id,ok
http://wikiba.se/ontology#WikibaseItem,P485,http://www.wikidata.org/entity/P485,archives at,the institution holding the subject's archives,papers at | correspondence at | archive location | archives held in,wikibase-item,ok
http://wikiba.se/ontology#ExternalId,P486,http://www.wikidata.org/entity/P486,MeSH descriptor ID,identifier for Descriptor or Supplementary concept in the Medical Subject Headings controlled vocabulary,MeSH Unique ID | UI | MeSH ID,external-id,ok
http://wikiba.se/ontology#String,P487,http://www.wikidata.org/entity/P487,Unicode character,"Unicode character representing the item (only if this is not a control character or a compatiblity character: in that case, use only P4213)",Unicode symbol | emoji | pictograph | emote,string,ok
http://wikiba.se/ontology#WikibaseItem,P488,http://www.wikidata.org/entity/P488,chairperson,"presiding member of an organization, group or body",leader | headed by | chairwoman | president | chair | chairman | dean,wikibase-item,ok
http://wikiba.se/ontology#WikibaseItem,P489,http://www.wikidata.org/entity/P489,currency symbol description,item with description of currency symbol,,wikibase-item,ok
http://wikiba.se/ontology#String,P490,http://www.wikidata.org/entity/P490,provisional designation,designation of an astronomical body after its discovery and before its official name,,string,ok
http://wikiba.se/ontology#CommonsMedia,P491,http://www.wikidata.org/entity/P491,orbit diagram,image with the diagram of the orbit of an astronomical body,orbital diagram,commonsMedia,ok
http://wikiba.se/ontology#ExternalId,P492,http://www.wikidata.org/entity/P492,OMIM ID,"Online ""Mendelian Inheritance in Man"" catalogue codes for diseases, genes, or phenotypes",Online Mendelian Inheritance in Man | OMIM | MIM number,external-id,ok
