property,propertyLabel,propertyDescription,type
http://www.wikidata.org/entity/P241,military branch,"branch to which this military unit, award, office, or person belongs, e.g. Royal Navy",http://wikiba.se/ontology#WikibaseItem
http://www.wikidata.org/entity/P242,locator map image,geographic map image which highlights the location of the subject within some larger entity,http://wikiba.se/ontology#CommonsMedia
http://www.wikidata.org/entity/P243,OCLC number,identifier for a bibliographic record in OCLC WorldCat,http://wikiba.se/ontology#ExternalId
http://www.wikidata.org/entity/P244,Library of Congress authority ID,"Library of Congress name authority (persons, families, corporate bodies, events, places, works and expressions) and subject authority identifier [Format: 1-2 specific letters followed by 8-10 digits (see regex). For manifestations, use P1144]",http://wikiba.se/ontology#ExternalId
http://www.wikidata.org/entity/P245,Union List of Artist Names ID,identifier from the Getty Union List of Artist Names,http://wikiba.se/ontology#ExternalId
http://www.wikidata.org/entity/P246,element symbol,identifier for a chemical element,http://wikiba.se/ontology#String
http://www.wikidata.org/entity/P247,COSPAR ID,"international satellite designation, administered by the UN Committee on Space Research (COSPAR), similar but not synonymous with the NSSDCA ID (P8913)",http://wikiba.se/ontology#ExternalId
http://www.wikidata.org/entity/P248,stated in,to be used in the references field to refer to the information document or database in which a claim is made; for qualifiers use P805; for the type of document in which a claim is made use P3865,http://wikiba.se/ontology#WikibaseItem
http://www.wikidata.org/entity/P249,ticker symbol,identifier for a publicly traded share of a particular stock on a particular stock market or that of a cryptocurrency (qualifier for P414),http://wikiba.se/ontology#String
http://www.wikidata.org/entity/P263,official residence,the residence at which heads of government and other senior figures officially reside,http://wikiba.se/ontology#WikibaseItem
http://www.wikidata.org/entity/P264,record label,brand and trademark associated with the marketing of subject music recordings and music videos,http://wikiba.se/ontology#WikibaseItem
http://www.wikidata.org/entity/P267,ATC code,therapeutic chemical identification code per ATC,http://wikiba.se/ontology#ExternalId
http://www.wikidata.org/entity/P268,Bibliothèque nationale de France ID,"identifier for the subject issued by BNF (Bibliothèque nationale de France). Format: 8 digits followed by a check-digit or letter, do not include the initial 'cb'.",http://wikiba.se/ontology#ExternalId
http://www.wikidata.org/entity/P269,IdRef ID,"identifier for authority control in the French collaborative library catalog (see also P1025). Format: 8 digits followed by a digit or ""X""",http://wikiba.se/ontology#ExternalId
http://www.wikidata.org/entity/P270,CALIS ID,identifier for authority control per CALIS (China Academic Library & Information System),http://wikiba.se/ontology#ExternalId
http://www.wikidata.org/entity/P271,NACSIS-CAT author ID,"identifier for book authors in NACSIS-CAT, the union catalog for university libraries and research institutions in Japan",http://wikiba.se/ontology#ExternalId
http://www.wikidata.org/entity/P272,production company,"company that produced this film, audio or performing arts work",http://wikiba.se/ontology#WikibaseItem
http://www.wikidata.org/entity/P274,chemical formula,description of chemical compound giving element symbols and counts,http://wikiba.se/ontology#String
http://www.wikidata.org/entity/P275,copyright license,license under which this copyrighted work is released,http://wikiba.se/ontology#WikibaseItem
http://www.wikidata.org/entity/P276,location,"location of the object, structure or event; use P131 to indicate the containing administrative entity, P8138 for statistical entities, or P706 for geographic entities; use P7153 for locations associated with the object",http://wikiba.se/ontology#WikibaseItem
http://www.wikidata.org/entity/P277,programmed in,the programming language(s) in which the software is developed,http://wikiba.se/ontology#WikibaseItem
http://www.wikidata.org/entity/P278,GOST 7.75–97 code,identifier for a language according to GOST 7.75–97,http://wikiba.se/ontology#ExternalId
http://www.wikidata.org/entity/P279,subclass of,"this item is a subclass (subset) of that item; ALL instances of this item are instances of that item; different from P31 (instance of), e.g.: volcano is a subclass of mountain; Everest is an instance of mountain",http://wikiba.se/ontology#WikibaseItem
http://www.wikidata.org/entity/P281,postal code,code assigned by postal authorities for the subject area or building for the purpose of sorting and routing mail,http://wikiba.se/ontology#String
http://www.wikidata.org/entity/P282,writing system,"alphabet, character set or other system of writing used by a language, word, or text, supported by a typeface",http://wikiba.se/ontology#WikibaseItem
http://www.wikidata.org/entity/P286,head coach,"on-field manager or head coach of a sports club (not to be confused with a general manager P505, which is not a coaching position) or person",http://wikiba.se/ontology#WikibaseItem
http://www.wikidata.org/entity/P287,designed by,"person or organization which designed the object. For buildings use ""architect"" (Property:P84)",http://wikiba.se/ontology#WikibaseItem
http://www.wikidata.org/entity/P289,vessel class,series of vessels or other watercraft built to the same design of which this vessel is a member,http://wikiba.se/ontology#WikibaseItem
http://www.wikidata.org/entity/P291,place of publication,geographical place of publication of the edition (use 1st edition when referring to works),http://wikiba.se/ontology#WikibaseItem
http://www.wikidata.org/entity/P296,station code,"generic identifier for a railway station, when possible, use specific property on certain coding system (e.g. P1378 for China Railway TMIS codes)",http://wikiba.se/ontology#String
http://www.wikidata.org/entity/P297,ISO 3166-1 alpha-2 code,identifier for a country in two-letter format per ISO 3166-1,http://wikiba.se/ontology#ExternalId
http://www.wikidata.org/entity/P298,ISO 3166-1 alpha-3 code,identifier for a country in three-letter format per ISO 3166-1,http://wikiba.se/ontology#ExternalId
http://www.wikidata.org/entity/P299,ISO 3166-1 numeric code,identifier for a country in numeric format per ISO 3166-1,http://wikiba.se/ontology#ExternalId
http://www.wikidata.org/entity/P300,ISO 3166-2 code,identifier for a country subdivision per ISO 3166-2 (include country code),http://wikiba.se/ontology#ExternalId
http://www.wikidata.org/entity/P301,category's main topic,primary topic of the subject Wikimedia category,http://wikiba.se/ontology#WikibaseItem
http://www.wikidata.org/entity/P303,EE breed number,breed identification number per the EE list of the breeds of fancy pigeons (ELFP),http://wikiba.se/ontology#ExternalId
http://www.wikidata.org/entity/P304,page(s),"page number of source referenced for statement. Note ""column(s)"" (P3903) and ""folio(s)"" (P7416) for other numbering systems",http://wikiba.se/ontology#String
http://www.wikidata.org/entity/P305,IETF language tag,"identifier for language or languoid per the Internet Engineering Task Force; can include a primary language subtag, subtags for script, region, variant, extension, or private-use. Format: 2 or 3 letters, followed by ""-"" if subtags present",http://wikiba.se/ontology#ExternalId
http://www.wikidata.org/entity/P306,operating system,operating system (OS) on which a software works or the OS installed on hardware,http://wikiba.se/ontology#WikibaseItem
http://www.wikidata.org/entity/P344,director of photography,"person responsible for the framing, lighting, and filtration of the subject work",http://wikiba.se/ontology#WikibaseItem
http://www.wikidata.org/entity/P345,IMDb ID,"identifier for the IMDb (with prefix 'tt', 'nm', 'co', 'ev', 'ch' or 'ni')",http://wikiba.se/ontology#ExternalId
http://www.wikidata.org/entity/P347,Joconde work ID,identifier in the Joconde database of the French Ministry of Culture,http://wikiba.se/ontology#ExternalId
http://www.wikidata.org/entity/P348,software version identifier,"numeric or nominal identifier of a version of a software program or file format, current or past",http://wikiba.se/ontology#String
http://www.wikidata.org/entity/P349,NDL Authority ID,identifier for authority control per the National Diet Library of Japan,http://wikiba.se/ontology#ExternalId
http://www.wikidata.org/entity/P350,RKDimages ID,identifier per RKDimages of the Netherlands Institute for Art History,http://wikiba.se/ontology#ExternalId
http://www.wikidata.org/entity/P351,Entrez Gene ID,identifier for a gene per the NCBI Entrez database,http://wikiba.se/ontology#ExternalId
http://www.wikidata.org/entity/P352,UniProt protein ID,identifier for a protein per the UniProt database,http://wikiba.se/ontology#ExternalId
http://www.wikidata.org/entity/P353,HGNC gene symbol,"the official gene symbol approved by the HGNC, which is typically a short form of the gene name",http://wikiba.se/ontology#ExternalId
http://www.wikidata.org/entity/P354,HGNC ID,a unique ID provided by the HGNC for each gene with an approved symbol. HGNC IDs remain stable even if a name or symbol changes,http://wikiba.se/ontology#ExternalId
http://www.wikidata.org/entity/P355,child organization or unit,"child organization/unit of a organization/unit; for companies, generally a fully owned separate corp., see business division (P199); opposite of parent org./unit (P749); use instance of (P31) to distinguish org. (Q43229) and org. unit (Q10387680)",http://wikiba.se/ontology#WikibaseItem
http://www.wikidata.org/entity/P356,DOI,serial code used to uniquely identify digital objects like academic papers (use upper case letters only),http://wikiba.se/ontology#ExternalId
http://www.wikidata.org/entity/P358,discography,item for list pages with discography of artist or band,http://wikiba.se/ontology#WikibaseItem
http://www.wikidata.org/entity/P359,Rijksmonument ID,identifier for a monument assigned by the Rijksdienst voor het Cultureel Erfgoed,http://wikiba.se/ontology#ExternalId
http://www.wikidata.org/entity/P360,is a list of,common element between all listed items,http://wikiba.se/ontology#WikibaseItem
http://www.wikidata.org/entity/P361,part of,"object of which the subject is a part (if this subject is already part of object A which is a part of object B, then please only make the subject part of object A), inverse property of ""has part"" (P527, see also ""has parts of the class"" (P2670))",http://wikiba.se/ontology#WikibaseItem
http://www.wikidata.org/entity/P364,original language of film or TV show,"language in which a film or a performance work was originally created. Deprecated for written works and songs; use P407 (""language of work or name"") instead.",http://wikiba.se/ontology#WikibaseItem
http://www.wikidata.org/entity/P366,has use,main use of the subject (includes current and former usage),http://wikiba.se/ontology#WikibaseItem
http://www.wikidata.org/entity/P367,astronomic symbol image,"image of the symbol that identifies a planet, asteroid, or other object in the Solar System",http://wikiba.se/ontology#CommonsMedia
http://www.wikidata.org/entity/P368,Sandbox-CommonsMediaFile,"Sandbox property for value of type ""Commons Media File""",http://wikiba.se/ontology#CommonsMedia
http://www.wikidata.org/entity/P369,Sandbox-Item,"Sandbox property for value of type ""Item""",http://wikiba.se/ontology#WikibaseItem
http://www.wikidata.org/entity/P370,Sandbox-String,"Sandbox property for the data value type ""String""",http://wikiba.se/ontology#String
http://www.wikidata.org/entity/P371,presenter,main role in presenting a radio or television program or a performing arts show,http://wikiba.se/ontology#WikibaseItem
http://www.wikidata.org/entity/P373,Commons category,"name of the Wikimedia Commons category containing files related to this item (without the prefix ""Category:"")",http://wikiba.se/ontology#String
http://www.wikidata.org/entity/P374,Insee municipality code,"identifier/code with five digits or letters for a municipality or a municipal arrondissement in France, per the National Institute of Statistics and Economic Studies",http://wikiba.se/ontology#ExternalId
http://www.wikidata.org/entity/P375,space launch vehicle,type of rocket or other vehicle for launching subject payload into outer space,http://wikiba.se/ontology#WikibaseItem
http://www.wikidata.org/entity/P376,located on astronomical body,single astronomical body on which features or places are situated,http://wikiba.se/ontology#WikibaseItem
http://www.wikidata.org/entity/P377,SCN,"Satellite Catalog Number, 5-digit-number including leading zeros (e.g. '00266')",http://wikiba.se/ontology#ExternalId
http://www.wikidata.org/entity/P380,Mérimée ID,identifier for a monument in the Mérimée database of French cultural heritage,http://wikiba.se/ontology#ExternalId
http://www.wikidata.org/entity/P381,PCP reference number,identifier for cultural properties in Switzerland,http://wikiba.se/ontology#ExternalId
http://www.wikidata.org/entity/P382,CBS municipality code,identifier for a Dutch municipality as defined by Statistics Netherlands (CBS),http://wikiba.se/ontology#ExternalId
http://www.wikidata.org/entity/P393,edition number,"number of an edition (first, second, ... as 1, 2, ...) or event",http://wikiba.se/ontology#String
http://www.wikidata.org/entity/P395,licence plate code,distinguishing signs or parts of license plate associated with the subject. For countries: international licence plate country code or distinguishing sign of vehicles,http://wikiba.se/ontology#String
http://www.wikidata.org/entity/P396,SBN author ID,identifier issued by National Library Service (SBN) of Italy,http://wikiba.se/ontology#ExternalId
http://www.wikidata.org/entity/P397,parent astronomical body,major astronomical body the item belongs to,http://wikiba.se/ontology#WikibaseItem
http://www.wikidata.org/entity/P398,child astronomical body,minor body that belongs to the item,http://wikiba.se/ontology#WikibaseItem
