id,label,federation,domain,uri,alt_labels,scope_note,temporal_range,spatial_anchor,concept_ref,person_ref,text_ref,event_ref,wikidata_qid,properties,aligned_ids,status,pattern_type,survey_depth
sh99005024,History,lcsh,roman_republic,https://id.loc.gov/authorities/subjects/sh99005024,[],,,,https://id.loc.gov/authorities/subjects/sh99005024,,,,,{},{},raw,UNKNOWN,0
sh85115114,"Rome--History--Republic, 510-30 B.C.",lcsh,roman_republic,https://id.loc.gov/authorities/subjects/sh85115114,[],,"[-510, -30]",,https://id.loc.gov/authorities/subjects/sh85115114,,,,,{},{},raw,UNKNOWN,0
sh00006054,History of contemporary events,lcsh,roman_republic,https://id.loc.gov/authorities/subjects/sh00006054,[],,,,https://id.loc.gov/authorities/subjects/sh00006054,,,,,{},{},raw,UNKNOWN,1
sh99005617,Diplomatic history,lcsh,roman_republic,https://id.loc.gov/authorities/subjects/sh99005617,[],,,,https://id.loc.gov/authorities/subjects/sh99005617,,,,,{},{},raw,UNKNOWN,1
sh00005863,"History, Military",lcsh,roman_republic,https://id.loc.gov/authorities/subjects/sh00005863,[],,,,https://id.loc.gov/authorities/subjects/sh00005863,,,,,{},{},raw,UNKNOWN,1
sh2002012516,Colonies--History,lcsh,roman_republic,https://id.loc.gov/authorities/subjects/sh2002012516,[],,,,https://id.loc.gov/authorities/subjects/sh2002012516,,,,,{},{},raw,UNKNOWN,1
sh99005577,Criticism and interpretation--History,lcsh,roman_republic,https://id.loc.gov/authorities/subjects/sh99005577,[],,,,https://id.loc.gov/authorities/subjects/sh99005577,,,,,{},{},raw,UNKNOWN,1
sh00006053,History of Biblical events,lcsh,roman_republic,https://id.loc.gov/authorities/subjects/sh00006053,[],,,,https://id.loc.gov/authorities/subjects/sh00006053,,,,,{},{},raw,UNKNOWN,1
sh00006055,History of doctrines,lcsh,roman_republic,https://id.loc.gov/authorities/subjects/sh00006055,[],,,,https://id.loc.gov/authorities/subjects/sh00006055,,,,,{},{},raw,UNKNOWN,1
sh99005023,Church history,lcsh,roman_republic,https://id.loc.gov/authorities/subjects/sh99005023,[],,,,https://id.loc.gov/authorities/subjects/sh99005023,,,,,{},{},raw,UNKNOWN,1
sh99004871,"Criticism, interpretation, etc.--History",lcsh,roman_republic,https://id.loc.gov/authorities/subjects/sh99004871,[],,,,https://id.loc.gov/authorities/subjects/sh99004871,,,,,{},{},raw,UNKNOWN,1
sh00005861,"History, Local",lcsh,roman_republic,https://id.loc.gov/authorities/subjects/sh00005861,[],,,,https://id.loc.gov/authorities/subjects/sh00005861,,,,,{},{},raw,UNKNOWN,1
sh99005684,Doctrines--History,lcsh,roman_republic,https://id.loc.gov/authorities/subjects/sh99005684,[],,,,https://id.loc.gov/authorities/subjects/sh99005684,,,,,{},{},raw,UNKNOWN,1
sh00005865,"History, Naval",lcsh,roman_republic,https://id.loc.gov/authorities/subjects/sh00005865,[],,,,https://id.loc.gov/authorities/subjects/sh00005865,,,,,{},{},raw,UNKNOWN,1
sh00006030,Historical geography,lcsh,roman_republic,https://id.loc.gov/authorities/subjects/sh00006030,[],,,,https://id.loc.gov/authorities/subjects/sh00006030,,,,,{},{},raw,UNKNOWN,1
