id,label,federation,domain,uri,concept_ref,temporal_start,temporal_end,survey_depth,is_seed,prefix,start,end
E300-453,"Revolution to the Civil War, 1775/1783-1861",lcc,lcc,https://id.loc.gov/authorities/classification/E300-453,https://id.loc.gov/authorities/classification/E300-453,,,0,False,E,300.0,453.0
E300-302.6,General,lcc,lcc,https://id.loc.gov/authorities/classification/E300-302.6,https://id.loc.gov/authorities/classification/E300-302.6,,,0,False,E,300.0,302.6
E302,Collected works of American statesmen,lcc,lcc,https://id.loc.gov/authorities/classification/E302,https://id.loc.gov/authorities/classification/E302,,,0,False,E,302.0,302.0
E302.1,Political history,lcc,lcc,https://id.loc.gov/authorities/classification/E302.1,https://id.loc.gov/authorities/classification/E302.1,,,0,False,E,302.1,302.1
E302.5-302.6,Biography (Late eighteenth century),lcc,lcc,https://id.loc.gov/authorities/classification/E302.5-302.6,https://id.loc.gov/authorities/classification/E302.5-302.6,,,0,False,E,302.5,302.6
E303-440.5,By period,lcc,lcc,https://id.loc.gov/authorities/classification/E303-440.5,https://id.loc.gov/authorities/classification/E303-440.5,,,0,False,E,303.0,440.5
E303-309,"1775-1789.  The Confederation, 1783-1789",lcc,lcc,https://id.loc.gov/authorities/classification/E303-309,https://id.loc.gov/authorities/classification/E303-309,,,0,False,E,303.0,309.0
E310-337,1789-1809.  Constitutional period,lcc,lcc,https://id.loc.gov/authorities/classification/E310-337,https://id.loc.gov/authorities/classification/E310-337,,,0,False,E,310.0,337.0
E310.7,Diplomatic history.  Foreign and general relations,lcc,lcc,https://id.loc.gov/authorities/classification/E310.7,https://id.loc.gov/authorities/classification/E310.7,,,0,False,E,310.7,310.7
E311-320,"Washington's administrations, 1789-1797",lcc,lcc,https://id.loc.gov/authorities/classification/E311-320,https://id.loc.gov/authorities/classification/E311-320,,,0,False,E,311.0,320.0
E321-330,"John Adams' administration, 1797-1801",lcc,lcc,https://id.loc.gov/authorities/classification/E321-330,https://id.loc.gov/authorities/classification/E321-330,,,0,False,E,321.0,330.0
E323,"Troubles with France, 1796-1800",lcc,lcc,https://id.loc.gov/authorities/classification/E323,https://id.loc.gov/authorities/classification/E323,,,0,False,E,323.0,323.0
E331-337,"Jefferson's administrations, 1801-1809",lcc,lcc,https://id.loc.gov/authorities/classification/E331-337,https://id.loc.gov/authorities/classification/E331-337,,,0,False,E,331.0,337.0
E333,"Purchase of Louisiana, 1803",lcc,lcc,https://id.loc.gov/authorities/classification/E333,https://id.loc.gov/authorities/classification/E333,,,0,False,E,333.0,333.0
E335,"War with Tripoli, 1801-1805",lcc,lcc,https://id.loc.gov/authorities/classification/E335,https://id.loc.gov/authorities/classification/E335,,,0,False,E,335.0,335.0
E336-336.5,"Neutral trade and its restrictions, 1800-1810 E337.5                                               Nineteenth century (General)",lcc,lcc,https://id.loc.gov/authorities/classification/E336-336.5,https://id.loc.gov/authorities/classification/E336-336.5,,,0,False,E,336.0,336.5
E337.8-400,"Early nineteenth century, 1801/1809-1845",lcc,lcc,https://id.loc.gov/authorities/classification/E337.8-400,https://id.loc.gov/authorities/classification/E337.8-400,,,0,False,E,337.8,400.0
E337.8-340,General,lcc,lcc,https://id.loc.gov/authorities/classification/E337.8-340,https://id.loc.gov/authorities/classification/E337.8-340,,,0,False,E,337.8,340.0
E337.8,Collected works of American statesmen,lcc,lcc,https://id.loc.gov/authorities/classification/E337.8,https://id.loc.gov/authorities/classification/E337.8,,,0,False,E,337.8,337.8
E339-340,Biography,lcc,lcc,https://id.loc.gov/authorities/classification/E339-340,https://id.loc.gov/authorities/classification/E339-340,,,0,False,E,339.0,340.0
E341-370,"Madison's administrations, 1809-1817",lcc,lcc,https://id.loc.gov/authorities/classification/E341-370,https://id.loc.gov/authorities/classification/E341-370,,,0,False,E,341.0,370.0
E351.5-364.9,War of 1812,lcc,lcc,https://id.loc.gov/authorities/classification/E351.5-364.9,https://id.loc.gov/authorities/classification/E351.5-364.9,,,0,False,E,351.5,364.9
E365,"War with Algeria, 1815",lcc,lcc,https://id.loc.gov/authorities/classification/E365,https://id.loc.gov/authorities/classification/E365,,,0,False,E,365.0,365.0
E371-375,"Monroe's administrations, 1817-1825",lcc,lcc,https://id.loc.gov/authorities/classification/E371-375,https://id.loc.gov/authorities/classification/E371-375,,,0,False,E,371.0,375.0
E373,"Missouri Compromise, 1820",lcc,lcc,https://id.loc.gov/authorities/classification/E373,https://id.loc.gov/authorities/classification/E373,,,0,False,E,373.0,373.0
E374,Diplomatic history.  Foreign relations,lcc,lcc,https://id.loc.gov/authorities/classification/E374,https://id.loc.gov/authorities/classification/E374,,,0,False,E,374.0,374.0
