id,label,federation,domain,uri,alt_labels,scope_note,temporal_range,spatial_anchor,concept_ref,person_ref,text_ref,event_ref,wikidata_qid,properties,aligned_ids,status,pattern_type,survey_depth
p0m64tdj7x3,Roman/Byzantine,periodo,roman_republic,https://n2t.net/ark:/99152/p0m64tdj7x3,[],,"[-31, 640]",http://www.wikidata.org/entity/Q801,,,,,,"{'authority_id': 'p0m64td', 'source': 'p0m64td', 'spatial_coverage_description': 'Levant/Mesopotamia', 'editorial_note': '', 'spatial_coverage_uris': ['http://www.wikidata.org/entity/Q801', 'http://www.wikidata.org/entity/Q810', 'http://www.wikidata.org/entity/Q822', 'http://www.wikidata.org/entity/Q219060', 'http://www.wikidata.org/entity/Q858', 'http://www.wikidata.org/entity/Q796', 'http://www.wikidata.org/entity/Q817']}",{},raw,UNKNOWN,0
p0m64tdcs3z,"Roman Imperial, Early",periodo,roman_republic,https://n2t.net/ark:/99152/p0m64tdcs3z,[],,"[-31, 200]",http://www.wikidata.org/entity/Q801,,,,,,"{'authority_id': 'p0m64td', 'source': 'p0m64td', 'spatial_coverage_description': 'Levant/Mesopotamia', 'editorial_note': '', 'spatial_coverage_uris': ['http://www.wikidata.org/entity/Q801', 'http://www.wikidata.org/entity/Q810', 'http://www.wikidata.org/entity/Q822', 'http://www.wikidata.org/entity/Q219060', 'http://www.wikidata.org/entity/Q858', 'http://www.wikidata.org/entity/Q796', 'http://www.wikidata.org/entity/Q817']}",{},raw,UNKNOWN,0
p0m64tdtxst,"Roman Imperial, Early",periodo,roman_republic,https://n2t.net/ark:/99152/p0m64tdtxst,[],,"[-31, 200]",http://www.wikidata.org/entity/Q262,,,,,,"{'authority_id': 'p0m64td', 'source': 'p0m64td', 'spatial_coverage_description': 'North Africa', 'editorial_note': '', 'spatial_coverage_uris': ['http://www.wikidata.org/entity/Q262', 'http://www.wikidata.org/entity/Q79', 'http://www.wikidata.org/entity/Q1016', 'http://www.wikidata.org/entity/Q1025', 'http://www.wikidata.org/entity/Q1028', 'http://www.wikidata.org/entity/Q948', 'http://www.wikidata.org/entity/Q6250']}",{},raw,UNKNOWN,0
p0m64td6p8k,Roman/Late Antique,periodo,roman_republic,https://n2t.net/ark:/99152/p0m64td6p8k,[],,"[-50, 640]",http://www.wikidata.org/entity/Q262,,,,,,"{'authority_id': 'p0m64td', 'source': 'p0m64td', 'spatial_coverage_description': 'North Africa', 'editorial_note': '', 'spatial_coverage_uris': ['http://www.wikidata.org/entity/Q262', 'http://www.wikidata.org/entity/Q79', 'http://www.wikidata.org/entity/Q1016', 'http://www.wikidata.org/entity/Q1025', 'http://www.wikidata.org/entity/Q1028', 'http://www.wikidata.org/entity/Q948', 'http://www.wikidata.org/entity/Q6250']}",{},raw,UNKNOWN,0
p0m64tdh79h,"Roman, Republican",periodo,roman_republic,https://n2t.net/ark:/99152/p0m64tdh79h,[],,"[-150, -50]",http://www.wikidata.org/entity/Q262,,,,,,"{'authority_id': 'p0m64td', 'source': 'p0m64td', 'spatial_coverage_description': 'Maghreb', 'editorial_note': '', 'spatial_coverage_uris': ['http://www.wikidata.org/entity/Q262', 'http://www.wikidata.org/entity/Q1016', 'http://www.wikidata.org/entity/Q1025', 'http://www.wikidata.org/entity/Q1028', 'http://www.wikidata.org/entity/Q948', 'http://www.wikidata.org/entity/Q6250']}",{},raw,UNKNOWN,0
p0m64tdzd74,South Arabian Period,periodo,roman_republic,https://n2t.net/ark:/99152/p0m64tdzd74,[],,"[-800, 640]",http://www.wikidata.org/entity/Q805,,,,,,"{'authority_id': 'p0m64td', 'source': 'p0m64td', 'spatial_coverage_description': 'Southern Arabia', 'editorial_note': '', 'spatial_coverage_uris': ['http://www.wikidata.org/entity/Q805']}",{},raw,UNKNOWN,0
p06vx8j3zzs,Prima Epoca A Fierului,periodo,roman_republic,https://n2t.net/ark:/99152/p06vx8j3zzs,[],,"[-1149, -449]",http://www.wikidata.org/entity/Q218,,,,,,"{'authority_id': 'p06vx8j', 'source': 'p06vx8j', 'spatial_coverage_description': 'Romania', 'editorial_note': '', 'spatial_coverage_uris': ['http://www.wikidata.org/entity/Q218']}",{},raw,UNKNOWN,0
p06vx8jqjht,Hallstatt târziu,periodo,roman_republic,https://n2t.net/ark:/99152/p06vx8jqjht,[],,"[-649, -449]",http://www.wikidata.org/entity/Q218,,,,,,"{'authority_id': 'p06vx8j', 'source': 'p06vx8j', 'spatial_coverage_description': 'Romania', 'editorial_note': '', 'spatial_coverage_uris': ['http://www.wikidata.org/entity/Q218']}",{},raw,UNKNOWN,0
p06vx8jcb7p,A Doua Epoca A Fierului ,periodo,roman_republic,https://n2t.net/ark:/99152/p06vx8jcb7p,[],,"[-449, 106]",http://www.wikidata.org/entity/Q218,,,,,,"{'authority_id': 'p06vx8j', 'source': 'p06vx8j', 'spatial_coverage_description': 'Romania', 'editorial_note': '', 'spatial_coverage_uris': ['http://www.wikidata.org/entity/Q218']}",{},raw,UNKNOWN,0
p06vx8j4cxb,Latene timpuriu,periodo,roman_republic,https://n2t.net/ark:/99152/p06vx8j4cxb,[],,"[-449, -299]",http://www.wikidata.org/entity/Q218,,,,,,"{'authority_id': 'p06vx8j', 'source': 'p06vx8j', 'spatial_coverage_description': 'Romania', 'editorial_note': '', 'spatial_coverage_uris': ['http://www.wikidata.org/entity/Q218']}",{},raw,UNKNOWN,0
