id,label,federation,domain,uri,spatial_anchor,temporal_start,temporal_end,survey_depth,is_seed,place_type,lat,lon
157896,Olbia,pleiades,roman_republic,https://pleiades.stoa.org/places/157896,https://pleiades.stoa.org/places/157896,-330,2100,0,False,"settlement, archaeological-site",43.0809113088,6.12275758613
157897,Olivula,pleiades,roman_republic,https://pleiades.stoa.org/places/157897,https://pleiades.stoa.org/places/157897,-30,300,0,False,station,43.704222,7.310126
157898,L’Ormeau,pleiades,roman_republic,https://pleiades.stoa.org/places/157898,https://pleiades.stoa.org/places/157898,-330,300,0,False,villa,43.447288,6.435303
157899,Oxubii,pleiades,roman_republic,https://pleiades.stoa.org/places/157899,https://pleiades.stoa.org/places/157899,-330,300,0,False,"label, people",43.4945001401,6.77612666366
157901,Unnamed villa,pleiades,roman_republic,https://pleiades.stoa.org/places/157901,https://pleiades.stoa.org/places/157901,-30,300,0,False,villa,43.188356,6.548428
157902,Unnamed villa,pleiades,roman_republic,https://pleiades.stoa.org/places/157902,https://pleiades.stoa.org/places/157902,-30,640,0,False,villa,43.19034235,6.5561987
157903,Pèbre,pleiades,roman_republic,https://pleiades.stoa.org/places/157903,https://pleiades.stoa.org/places/157903,-30,640,0,False,villa,43.730626,5.811599
157904,Pergantion,pleiades,roman_republic,https://pleiades.stoa.org/places/157904,https://pleiades.stoa.org/places/157904,-330,-30,0,False,settlement,43.11465,6.309294
157906,Planasia/Lerina (island),pleiades,roman_republic,https://pleiades.stoa.org/places/157906,https://pleiades.stoa.org/places/157906,-330,640,0,False,island,43.507824,7.045203
157907,Pomponiana?,pleiades,roman_republic,https://pleiades.stoa.org/places/157907,https://pleiades.stoa.org/places/157907,-330,640,0,False,station,42.999934,6.2030345
157908,Portus Maurici,pleiades,roman_republic,https://pleiades.stoa.org/places/157908,https://pleiades.stoa.org/places/157908,-30,2099,0,False,"station, settlement-modern",43.873685,8.015133
157910,Pullopice,pleiades,roman_republic,https://pleiades.stoa.org/places/157910,https://pleiades.stoa.org/places/157910,-30,640,0,False,station,44.169972,8.345138
157912,Reii,pleiades,roman_republic,https://pleiades.stoa.org/places/157912,https://pleiades.stoa.org/places/157912,-330,300,0,False,"label, people",43.8117861321,5.99163381516
157914,Rotuba (river),pleiades,roman_republic,https://pleiades.stoa.org/places/157914,https://pleiades.stoa.org/places/157914,-30,2100,0,False,river,43.9594383813,7.55998955125
157915,Roussivau,pleiades,roman_republic,https://pleiades.stoa.org/places/157915,https://pleiades.stoa.org/places/157915,-30,1999,0,False,villa,43.47388,6.845027
157917,St-Estève,pleiades,roman_republic,https://pleiades.stoa.org/places/157917,https://pleiades.stoa.org/places/157917,-750,640,0,False,settlement,43.163104,5.846361
861510570,Roman villa of Aia Nova,pleiades,roman_republic,https://pleiades.stoa.org/places/861510570,https://pleiades.stoa.org/places/861510570,-330,300,0,False,villa,42.6518769,11.3476048
572329938,"Villa Prato, Sperlonga",pleiades,roman_republic,https://pleiades.stoa.org/places/572329938,https://pleiades.stoa.org/places/572329938,-30,300,0,False,villa,41.2719806543,13.4240302595
922176737,Villa di Pipiano,pleiades,roman_republic,https://pleiades.stoa.org/places/922176737,https://pleiades.stoa.org/places/922176737,-30,300,0,False,"fountain, villa",40.6375616,14.4019849
789450243,Orto della Regina,pleiades,roman_republic,https://pleiades.stoa.org/places/789450243,https://pleiades.stoa.org/places/789450243,-330,2100,0,False,settlement,41.2997457404,13.9441244538
706148439,Histria Pod,pleiades,roman_republic,https://pleiades.stoa.org/places/706148439,https://pleiades.stoa.org/places/706148439,-750,2100,0,False,settlement,44.540453,28.727551
942692312,Vicus Drusianus,pleiades,roman_republic,https://pleiades.stoa.org/places/942692312,https://pleiades.stoa.org/places/942692312,-30,2099,0,False,street,41.8832177951,12.501189305
792912223,so-called 'Midas Monument',pleiades,roman_republic,https://pleiades.stoa.org/places/792912223,https://pleiades.stoa.org/places/792912223,-750,2099,0,False,monument,39.2001193,30.7134581
652237615,Demeter Temple (Aegae - Yuntdağı),pleiades,roman_republic,https://pleiades.stoa.org/places/652237615,https://pleiades.stoa.org/places/652237615,-330,-30,0,False,"archaeological-site, temple-2",38.831064,27.186302
276676983,South Theater (Jerash),pleiades,roman_republic,https://pleiades.stoa.org/places/276676983,https://pleiades.stoa.org/places/276676983,-30,300,0,False,theatre,32.2767297068,35.8892169771
764913387,Nuraghe su Figu,pleiades,roman_republic,https://pleiades.stoa.org/places/764913387,https://pleiades.stoa.org/places/764913387,-2000,2099,0,False,nuraghe,40.1931555533,8.79741012168
673950517,Asea Vigla,pleiades,roman_republic,https://pleiades.stoa.org/places/673950517,https://pleiades.stoa.org/places/673950517,-600,2099,0,False,temple-2,37.4338624,22.3248715
711765706,Via Statilia tombs,pleiades,roman_republic,https://pleiades.stoa.org/places/711765706,https://pleiades.stoa.org/places/711765706,-330,-30,0,False,"tomb, cemetery",41.8902567747,12.5118341603
898745908,Temple of Venus Genetrix,pleiades,roman_republic,https://pleiades.stoa.org/places/898745908,https://pleiades.stoa.org/places/898745908,-100,2099,0,False,temple-2,41.8941432734,12.4848438453
680190213,Arch of Marcus Aurelius at Tripoli,pleiades,roman_republic,https://pleiades.stoa.org/places/680190213,https://pleiades.stoa.org/places/680190213,-30,300,0,False,arch,32.8999277666,13.1758251932
434181559,Tell Sukas,pleiades,roman_republic,https://pleiades.stoa.org/places/434181559,https://pleiades.stoa.org/places/434181559,-10000,2100,0,False,"findspot, settlement, archaeological-site",35.306109,35.9225515
254082752,Temple of Talamonaccio,pleiades,roman_republic,https://pleiades.stoa.org/places/254082752,https://pleiades.stoa.org/places/254082752,-330,-30,0,False,temple-2,42.5517627551,11.1697466811
751079112,Aetokremnos,pleiades,roman_republic,https://pleiades.stoa.org/places/751079112,https://pleiades.stoa.org/places/751079112,-10000,2100,0,False,settlement,34.5705294,32.9906262
613488678,Cobos Roman bridge,pleiades,roman_republic,https://pleiades.stoa.org/places/613488678,https://pleiades.stoa.org/places/613488678,-30,300,0,False,bridge,40.5716404,-4.8989371
559027220,Chiprana,pleiades,roman_republic,https://pleiades.stoa.org/places/559027220,https://pleiades.stoa.org/places/559027220,-30,300,0,False,tomb,41.2620443,-0.1265039
789886461,Vilarenc,pleiades,roman_republic,https://pleiades.stoa.org/places/789886461,https://pleiades.stoa.org/places/789886461,-30,2099,0,False,villa,41.1916546,1.5698949
905076845,"Roman walls, Novaria",pleiades,roman_republic,https://pleiades.stoa.org/places/905076845,https://pleiades.stoa.org/places/905076845,-30,640,0,False,city-wall,45.4445429368,8.62062978776
305841487,Tomba della Medusa (Roma),pleiades,roman_republic,https://pleiades.stoa.org/places/305841487,https://pleiades.stoa.org/places/305841487,-30,2100,0,False,tomb,41.905259,12.511348
179549802,Theater of Pyrrhus,pleiades,roman_republic,https://pleiades.stoa.org/places/179549802,https://pleiades.stoa.org/places/179549802,-330,300,0,False,theatre,39.5466474922,20.7878223797
168048854,Roman villa at Can Terrés,pleiades,roman_republic,https://pleiades.stoa.org/places/168048854,https://pleiades.stoa.org/places/168048854,-30,640,0,False,villa,41.6705166745,2.28816605036
102500043,Puente Melchor Roman villa,pleiades,roman_republic,https://pleiades.stoa.org/places/102500043,https://pleiades.stoa.org/places/102500043,-30,300,0,False,villa,36.5215031,-6.1627413
102500044,El Gallinero,pleiades,roman_republic,https://pleiades.stoa.org/places/102500044,https://pleiades.stoa.org/places/102500044,-30,300,0,False,production,36.5300848397,-6.19973779243
102500045,Fonte Coberta,pleiades,roman_republic,https://pleiades.stoa.org/places/102500045,https://pleiades.stoa.org/places/102500045,-30,300,0,False,dam,37.1103479603,-8.69043786483
102500046,Monte Novo do Castelinho,pleiades,roman_republic,https://pleiades.stoa.org/places/102500046,https://pleiades.stoa.org/places/102500046,-30,640,0,False,dam,37.5407531,-8.1438722
844790836,Roman dam of Nossa Senhora da Represa,pleiades,roman_republic,https://pleiades.stoa.org/places/844790836,https://pleiades.stoa.org/places/844790836,-30,300,0,False,dam,38.233576,-7.9164974
915296420,Alatzomouri Pefka,pleiades,roman_republic,https://pleiades.stoa.org/places/915296420,https://pleiades.stoa.org/places/915296420,-2000,2099,0,False,"production, archaeological-site",35.109785,25.801574
459238841,"Temple of ""Artemis Epikrateia""",pleiades,roman_republic,https://pleiades.stoa.org/places/459238841,https://pleiades.stoa.org/places/459238841,-550,1999,0,False,temple-2,38.6623893884,20.9968767532
175451017,Castro de São Lourenço,pleiades,roman_republic,https://pleiades.stoa.org/places/175451017,https://pleiades.stoa.org/places/175451017,-330,300,0,False,settlement,41.5559792175,-8.76188577036
244190113,Cercina (Etruria),pleiades,roman_republic,https://pleiades.stoa.org/places/244190113,https://pleiades.stoa.org/places/244190113,-330,2099,0,False,"unlocated, settlement-modern",43.844722,11.262222
188289894,Thermae Traiani,pleiades,roman_republic,https://pleiades.stoa.org/places/188289894,https://pleiades.stoa.org/places/188289894,-30,2100,0,False,"ruin, bath",41.8924123712,12.4973470428
341857013,Vasconum saltus,pleiades,roman_republic,https://pleiades.stoa.org/places/341857013,https://pleiades.stoa.org/places/341857013,-30,300,0,False,"unlocated, forest",43.1660725581,-1.74739670946
851887955,Forcello,pleiades,roman_republic,https://pleiades.stoa.org/places/851887955,https://pleiades.stoa.org/places/851887955,-550,2100,0,False,settlement,45.1100542597,10.8350454496
334574,Lamsorti,pleiades,roman_republic,https://pleiades.stoa.org/places/334574,https://pleiades.stoa.org/places/334574,-30,640,0,False,settlement,35.642601,6.033123
315097,Numluli,pleiades,roman_republic,https://pleiades.stoa.org/places/315097,https://pleiades.stoa.org/places/315097,-30,640,0,False,"settlement, archaeological-site",36.522784,9.2105295
774894386,Nuraghe S'Urachi,pleiades,roman_republic,https://pleiades.stoa.org/places/774894386,https://pleiades.stoa.org/places/774894386,-2000,2100,0,False,"nuraghe, settlement, archaeological-site",40.0156080323,8.58279987189
445545537,Forum Iulium,pleiades,roman_republic,https://pleiades.stoa.org/places/445545537,https://pleiades.stoa.org/places/445545537,-330,640,0,False,forum,41.8936933453,12.4851449764
502004233,House of Sallust,pleiades,roman_republic,https://pleiades.stoa.org/places/502004233,https://pleiades.stoa.org/places/502004233,-330,2100,0,False,townhouse,40.7511859,14.4825772
489062160,House of the Small Fountain,pleiades,roman_republic,https://pleiades.stoa.org/places/489062160,https://pleiades.stoa.org/places/489062160,-330,2100,0,False,townhouse,40.7512865534,14.483575848
236993544,Roman villa at Verige Bay,pleiades,roman_republic,https://pleiades.stoa.org/places/236993544,https://pleiades.stoa.org/places/236993544,-30,300,0,False,villa,44.9098534541,13.7738700725
540898685,Temple of Minerva Medica,pleiades,roman_republic,https://pleiades.stoa.org/places/540898685,https://pleiades.stoa.org/places/540898685,-30,2100,0,False,monument,41.893983499,12.5118853987
552447145,Acropolis of Selinus,pleiades,roman_republic,https://pleiades.stoa.org/places/552447145,https://pleiades.stoa.org/places/552447145,-750,-201,0,False,acropolis,37.5838544058,12.8248522741
913287176,Ain Aata,pleiades,roman_republic,https://pleiades.stoa.org/places/913287176,https://pleiades.stoa.org/places/913287176,-30,300,0,False,"tomb, sanctuary, temple-2",33.4348819533,35.7837732239
802858342,Provadii͡a-Solnit͡sata,pleiades,roman_republic,https://pleiades.stoa.org/places/802858342,https://pleiades.stoa.org/places/802858342,-10000,2100,0,False,settlement,43.1283511716,27.4725463346
570444075,Roman macellum at Aeclanum,pleiades,roman_republic,https://pleiades.stoa.org/places/570444075,https://pleiades.stoa.org/places/570444075,-30,300,0,False,"macellum, amphitheatre",41.0538642564,15.0118048021
934825975,Ulucak Höyük,pleiades,roman_republic,https://pleiades.stoa.org/places/934825975,https://pleiades.stoa.org/places/934825975,-10000,2100,0,False,"settlement, tell, settlement-modern, archaeological-site",38.4666781735,27.3524829797
346055018,Porticus Philippi,pleiades,roman_republic,https://pleiades.stoa.org/places/346055018,https://pleiades.stoa.org/places/346055018,-30,300,0,False,architecturalcomplex,41.8925223042,12.4785726352
43496934,Ara della Regina,pleiades,roman_republic,https://pleiades.stoa.org/places/43496934,https://pleiades.stoa.org/places/43496934,-400,2100,0,False,"sanctuary, temple-2",42.2588135132,11.8015393157
141033380,Great City Baths at Salona,pleiades,roman_republic,https://pleiades.stoa.org/places/141033380,https://pleiades.stoa.org/places/141033380,-30,640,0,False,bath,43.5398385,16.4841672
218039420,Aliphera sanctuary,pleiades,roman_republic,https://pleiades.stoa.org/places/218039420,https://pleiades.stoa.org/places/218039420,-550,300,0,False,sanctuary,37.5289154772,21.8669147424
534059885,Theater of Cyrene,pleiades,roman_republic,https://pleiades.stoa.org/places/534059885,https://pleiades.stoa.org/places/534059885,-750,640,0,False,"amphitheatre, theatre",32.8245065556,21.8508373829
9547769,Phourni,pleiades,roman_republic,https://pleiades.stoa.org/places/9547769,https://pleiades.stoa.org/places/9547769,-2000,2100,0,False,cemetery,35.2453213393,25.158774695
9547770,Sklavokampos,pleiades,roman_republic,https://pleiades.stoa.org/places/9547770,https://pleiades.stoa.org/places/9547770,-2000,2100,0,False,"architecturalcomplex, archaeological-site",35.2952591,24.9580006
842333631,Necropoli Orti della Maddalena,pleiades,roman_republic,https://pleiades.stoa.org/places/842333631,https://pleiades.stoa.org/places/842333631,-330,2100,0,False,cemetery,38.1840592,15.5494913
100447491,Pons Neronianus,pleiades,roman_republic,https://pleiades.stoa.org/places/100447491,https://pleiades.stoa.org/places/100447491,-30,300,0,False,bridge,41.901,12.4641
419380619,Meta Sudans,pleiades,roman_republic,https://pleiades.stoa.org/places/419380619,https://pleiades.stoa.org/places/419380619,-30,640,0,False,fountain,41.8900747163,12.490679253
514380156,Sanctuary of Montélu,pleiades,roman_republic,https://pleiades.stoa.org/places/514380156,https://pleiades.stoa.org/places/514380156,-30,300,0,False,sanctuary,45.8488517,0.7674574
576630079,Bakcheion,pleiades,roman_republic,https://pleiades.stoa.org/places/576630079,https://pleiades.stoa.org/places/576630079,-30,2099,0,False,shrine,37.9715467172,23.7214255816
354601172,Porta Rauduscula,pleiades,roman_republic,https://pleiades.stoa.org/places/354601172,https://pleiades.stoa.org/places/354601172,-30,300,0,False,city-gate,41.8942572227,12.4920959087
238098309,Serapeum,pleiades,roman_republic,https://pleiades.stoa.org/places/238098309,https://pleiades.stoa.org/places/238098309,-30,300,0,False,temple-2,41.7532885571,12.2837853306
238098310,Terme della Trinacria,pleiades,roman_republic,https://pleiades.stoa.org/places/238098310,https://pleiades.stoa.org/places/238098310,-30,300,0,False,bath,41.753384727,12.2841805158
803914505,Poggio Gaiella,pleiades,roman_republic,https://pleiades.stoa.org/places/803914505,https://pleiades.stoa.org/places/803914505,-500,2100,0,False,tumulus,43.043751,11.9489614
936919090,Roman castrum at Pyrgi,pleiades,roman_republic,https://pleiades.stoa.org/places/936919090,https://pleiades.stoa.org/places/936919090,-330,300,0,False,settlement,42.0165681649,11.9586871865
409654967,Melone del Sodo,pleiades,roman_republic,https://pleiades.stoa.org/places/409654967,https://pleiades.stoa.org/places/409654967,-750,-330,0,False,"cemetery, tumulus",43.28102645,11.96782665
207859673,Foro Romano,pleiades,roman_republic,https://pleiades.stoa.org/places/207859673,https://pleiades.stoa.org/places/207859673,-30,2100,0,False,forum,45.7735762842,13.3659701523
261794683,Templum Veneris et Romae,pleiades,roman_republic,https://pleiades.stoa.org/places/261794683,https://pleiades.stoa.org/places/261794683,-30,2100,0,False,temple-2,41.8908575864,12.48966535
487529761,"Italia, Regio III",pleiades,roman_republic,https://pleiades.stoa.org/places/487529761,https://pleiades.stoa.org/places/487529761,-30,300,0,False,"regio-augusti, region",38.28633,15.812382
524994161,"Italia, Regio VIII",pleiades,roman_republic,https://pleiades.stoa.org/places/524994161,https://pleiades.stoa.org/places/524994161,-30,300,0,False,regio-augusti,44.5671641977,10.9459611962
266589967,Amphitheater of Durrës,pleiades,roman_republic,https://pleiades.stoa.org/places/266589967,https://pleiades.stoa.org/places/266589967,-30,799,0,False,"church-2, amphitheatre",41.3122557356,19.4451352668
330348886,Poggio Gramignano Roman Villa,pleiades,roman_republic,https://pleiades.stoa.org/places/330348886,https://pleiades.stoa.org/places/330348886,-30,2099,0,False,"cemetery, villa",42.5501617536,12.3100066473
330348887,Villa Redenta,pleiades,roman_republic,https://pleiades.stoa.org/places/330348887,https://pleiades.stoa.org/places/330348887,-30,640,0,False,villa,42.74468775,12.7412055
850888151,Linguella Roman villa,pleiades,roman_republic,https://pleiades.stoa.org/places/850888151,https://pleiades.stoa.org/places/850888151,-30,640,0,False,villa,42.8118995,10.3303423
612970100,Villa of L. Crassius Tertius,pleiades,roman_republic,https://pleiades.stoa.org/places/612970100,https://pleiades.stoa.org/places/612970100,-30,300,0,False,villa,40.7562278109,14.4565198195
773379957,"Cala Minnola, Levanzo, Province de Trapani",pleiades,roman_republic,https://pleiades.stoa.org/places/773379957,https://pleiades.stoa.org/places/773379957,-330,300,0,False,production,37.9932535,12.3513932
119455743,Temple of Hercules at Montorio al Vomano,pleiades,roman_republic,https://pleiades.stoa.org/places/119455743,https://pleiades.stoa.org/places/119455743,-330,300,0,False,sanctuary,42.5784399,13.5942773
439414238,So-called Temple of Hercules,pleiades,roman_republic,https://pleiades.stoa.org/places/439414238,https://pleiades.stoa.org/places/439414238,-30,2100,0,False,archaeological-site,41.8007744953,12.5778025843
648366268,Sabratha amphitheater,pleiades,roman_republic,https://pleiades.stoa.org/places/648366268,https://pleiades.stoa.org/places/648366268,-30,300,0,False,amphitheatre,32.8039133,12.4940166
375591100,Temple of Athena at Paestum,pleiades,roman_republic,https://pleiades.stoa.org/places/375591100,https://pleiades.stoa.org/places/375591100,-550,2100,0,False,temple-2,40.42457,15.0052578
865200669,Forum of Paestum,pleiades,roman_republic,https://pleiades.stoa.org/places/865200669,https://pleiades.stoa.org/places/865200669,-330,640,0,False,forum,40.4216535331,15.0049825083
762843934,Torraccio a Poggio Moiano,pleiades,roman_republic,https://pleiades.stoa.org/places/762843934,https://pleiades.stoa.org/places/762843934,-30,300,0,False,tomb,42.2130564,12.822563
