pleiades_id,place_label,place_type,min_date,max_date,geonames_id,geonames_label,geonames_feature_code,wikidata_qid,wikidata_label,wikidata_latitude,wikidata_longitude,tgn_id,tgn_label,tgn_latitude,tgn_longitude,has_wikidata_match,has_tgn_match,has_temporal_signal,is_fully_triangulated,is_full_chain_wikidata_tgn
108747,Anvers,settlement,-30,2100,2803139,,ADM4,Q12892,Antwerp,51.221111111111,4.3997222222222,,,,,true,false,true,true,false
108747,Anvers,settlement,-30,2100,6475082,,HTL,,,,,,,,,false,false,true,false,false
108749,Aquae Granni,settlement,-30,2100,3247449,,PPLA3,,,,,,,,,false,false,true,false,false
108749,Aquae Granni,settlement,-30,2100,6553047,,ADM4,Q1017,Aachen,50.776207,6.083788,,,,,true,false,true,true,false
108750,Aquae Mattiacorum,settlement,-30,2100,2809346,,PPLA,Q1721,Wiesbaden,50.0825,8.24,,,,,true,false,true,true,false
108750,Aquae Mattiacorum,settlement,-30,2100,3220990,,ADM3,Q1721,Wiesbaden,50.0825,8.24,,,,,true,false,true,true,false
108750,Aquae Mattiacorum,settlement,-30,2100,6559111,,ADM4,Q1721,Wiesbaden,50.0825,8.24,,,,,true,false,true,true,false
108751,Ara Ubiorum/Col. Claudia Ara Agrippinensium,settlement,-30,2100,2886242,,PPLA2,,,,,,,,,false,false,true,false,false
108751,Ara Ubiorum/Col. Claudia Ara Agrippinensium,settlement,-30,2100,6553049,,ADM4,,,,,,,,,false,false,true,false,false
108759,Artiaca,station,-30,300,3037186,,PPL,Q269401,Arcis-sur-Aube,48.536388888889,4.1419444444444,,,,,true,false,true,true,false
108759,Artiaca,station,-30,300,6452119,,ADM4,Q269401,Arcis-sur-Aube,48.536388888889,4.1419444444444,,,,,true,false,true,true,false
108761,Asciburgium,fort-2,-30,2100,2955292,,PPL,,,,,,,,,false,false,true,false,false
108762,Asse,fort-2,-330,2100,2803033,,PPL,Q31469777,Asse,50.9,4.2,,,,,true,false,true,true,false
108762,Asse,fort-2,-330,2100,2803035,,ADM4,Q515710,Asse,50.9,4.2,,,,,true,false,true,true,false
108763,Athies,villa,-30,2100,3036466,,PPL,,,,,,,,,false,false,true,false,false
108763,Athies,villa,-30,2100,6455275,,ADM4,Q31071,Athies,49.854722222222,2.9786111111111,,,,,true,false,true,true,false
108765,Atuatuca,"settlement, settlement-modern",-330,2100,2785388,,ADM3,Q93549,Arrondissement of Tongeren,50.85,5.5,,,,,true,false,true,true,false
