qid,label,subclass_of,subclass_of_label,part_of,part_of_label,has_parts,has_parts_label,fast_id,gnd_id,lcsh_id,ddc,aat_id,babelnet_id,kbpedia_id,world_history_id,lcc,flag_reason
Q12765827,film direction,Q2137554,direction,Q932586,film production,,,,4129888-3,,,,,,,,
Q237893,film editing,Q627436|Q194105,field of work|editing,,,,,,4281773-0,sh85088098,778.535,,,,,,
Q15088947,film effect,Q174923,optical illusion,,,,,,4194274-7,,,,,,,,
Q932586,film production,Q21198548|Q590870,audiovisual production|cinematography,Q1415395,film industry,,,,4124971-9,,,300263841,00034481n,Filmmaking,,,
Q64807634,film recording,Q13557414,recording,,,,,,,,,,,,,,
Q1660187,film studies,Q165650,media studies,,,Q28793|Q4482|Q9292847,film theory|film criticism|history of cinema,,4154385-3,,,,03851285n,,,,
Q28793,film theory,Q1660187,film studies,Q1660187,film studies,,,,4071216-3,sh2008108033,,,,FilmTheory,,,
Q43015,finance,Q18564125|Q113141571,"business management|banking, finance and investment studies",,,,,,,sh85048256,332,300055715,00034524n,Finance,,,
Q24067399,finance science,Q336,science,,,,,,,,,,,,,,
Q949180,financial accounting,Q4116214,accounting,,,,,,4113562-3,,,,,FinancialAccountingService,,,
Q12238348,financial and banking science,Q24067399,finance science,,,Q24067399|Q3435731,finance science|banking,,,,,,,,,,
Q2294553,financial economics,Q8134|Q268592,economics|industry,Q8134,economics,Q6785187|Q208697,Master of Financial Economics|financial market,,,,332,,,FinancialEconomics,,,
Q4738155,financial management,Q852740,management,Q2043282,business administration,,,,4139075-1,sh85018286,,,,,,,
Q208697,financial market,Q37654,market,,,Q627543|Q66076|Q750458|Q2922469|Q1934287,money market|foreign exchange market|capital market|commodities market|derivatives market,,,,,,,FinancialMarket,,,
Q2120150,financial planning,Q309100,planning,Q274490,public finance,,,,4017200-4,,,,,,,,
Q837171,financial services,Q7406919|Q25351891|Q2424752|Q815823,service|business service|product|business model,Q1200977,quaternary sector of the economy,,,,4212226-0,sh88000615,332|332.17,,,FinancialInsuranceService,,,
Q484181,fiqh,Q482752|Q670732|Q11022655,sharia|religious law|case law,,,Q12230956|Q10589866,Islamic jurisprudence of worship|Muamalat,979949,4409409-7,sh85068454,,,00233357n,,,,
Q1409472,fire ecology,Q7150|Q113114755,ecology|ecological applications,,,,,925297,4638558-7,sh85048479,,,,,,,
Q567716,fire protection engineering,Q11023,engineering,,,,,925515,,sh98003737,,,,,,,
Q111366250,fire protection management,,,Q29017603,control,,,,,,,,,,,,
Q110308923,fire safety design,Q5264373,design research,,,,,,,,,,,,,,
Q187021,fiscal policy,Q582577,economic policy,,,,,,4071234-5,sh85048601,336.3,,,,,,
Q107556817,fish ecology,Q73403730,vertebrate ecology,,,,,926419,,sh85048747,,,,,,,
Q109276098,fish genetics,Q110310405|Q60242,animal genetics|ichthyology,,,,,926487,,sh85048766,,,,,,,
Q122935277,fish pathology,Q7208,pathology,,,,,,,,,,,,,,
Q5454658,fish physiology,Q2432331|Q60242,zoophysiology|ichthyology,,,,,926577,,sh85048793,,,,FishPhysiology,,QL639.1,
Q110297482,fish physiology and genetics,Q60242|Q2432331|Q110310405,ichthyology|zoophysiology|animal genetics,,,Q5454658|Q109276098,fish physiology|fish genetics,,,,,,,,,,
