id,label,federation,domain,uri,concept_ref,text_ref,survey_depth,is_seed,lcc,oclc,lccn
73089427,The failure of the Roman Republic,worldcat,roman_republic,http://lccn.loc.gov/73089427,,http://lccn.loc.gov/73089427,0,False,DG254 .S55 1976,,73089427
77351985,Early Rome and the Etruscans,worldcat,roman_republic,http://lccn.loc.gov/77351985,,http://lccn.loc.gov/77351985,0,False,DG233 .O44 1976b,,77351985
76018964,Early Rome and the Etruscans,worldcat,roman_republic,http://lccn.loc.gov/76018964,,http://lccn.loc.gov/76018964,0,False,DG233 .O44 1976,,76018964
77113828,"Imperialism in the Roman Republic,",worldcat,roman_republic,http://lccn.loc.gov/77113828,,http://lccn.loc.gov/77113828,0,False,DG241 .G77,,77113828
2020043921,The ancient Romans : history and society from the early Republic to the death of Augustus,worldcat,roman_republic,http://lccn.loc.gov/2020043921,,http://lccn.loc.gov/2020043921,0,False,DG77 .D579 2021,,2020043921
2013409393,Rome's Italian wars : books six to ten,worldcat,roman_republic,http://lccn.loc.gov/2013409393,,http://lccn.loc.gov/2013409393,0,False,PA6452 .A5 2013,,2013409393
2020043922,The ancient Romans : history and society from the early Republic to the death of Augustus,worldcat,roman_republic,http://lccn.loc.gov/2020043922,,http://lccn.loc.gov/2020043922,0,False,DG77,,2020043922
2011500979,"Ancient Rome : the Republic, 753 B.C.-30 B.C.",worldcat,roman_republic,http://lccn.loc.gov/2011500979,,http://lccn.loc.gov/2011500979,0,False,DG231 .S68 2011,,2011500979
96217707,Practical ethics for Roman gentlemen : the work of Valerius Maximus,worldcat,roman_republic,http://lccn.loc.gov/96217707,,http://lccn.loc.gov/96217707,0,False,,,96217707
2009292023,The rise of the Romans : 753 BC-146 BC,worldcat,roman_republic,http://lccn.loc.gov/2009292023,,http://lccn.loc.gov/2009292023,0,False,DG201 .T394 2008,,2009292023
2020003560,Urban space and urban history in the Roman world,worldcat,roman_republic,http://lccn.loc.gov/2020003560,,http://lccn.loc.gov/2020003560,0,False,DG82,,2020003560
2015031561,The Roman army,worldcat,roman_republic,http://lccn.loc.gov/2015031561,,http://lccn.loc.gov/2015031561,0,False,U35 .B739 2016,,2015031561
2024728693,The Roman army,worldcat,roman_republic,http://lccn.loc.gov/2024728693,,http://lccn.loc.gov/2024728693,0,False,U35,,2024728693
2020003559,Urban space and urban history in the Roman world,worldcat,roman_republic,http://lccn.loc.gov/2020003559,,http://lccn.loc.gov/2020003559,0,False,DG82 .U73 2020,,2020003559
2012042774,A companion to the archaeology of the Roman Republic,worldcat,roman_republic,http://lccn.loc.gov/2012042774,,http://lccn.loc.gov/2012042774,0,False,DG77 .C583 2013,,2012042774
96007430,The Roman army at war : 100 BC-AD 200,worldcat,roman_republic,http://lccn.loc.gov/96007430,,http://lccn.loc.gov/96007430,0,False,DG89 .G65 1996,,96007430
