datatype,value_type,count
wikibase-item,wikibase-entityid,187
external-id,string,99
commonsMedia,string,11
quantity,quantity,10
string,string,9
time,time,9
globe-coordinate,globecoordinate,8
monolingualtext,monolingualtext,4
url,string,4
time,,1
