datatype,value_type,count
wikibase-item,wikibase-entityid,1675
external-id,string,538
time,time,157
commonsMedia,string,57
monolingualtext,monolingualtext,38
string,string,35
globe-coordinate,globecoordinate,31
quantity,quantity,22
url,string,10
time,,1
wikibase-item,,1
