period,periodLabel,start,end,instanceOf,instanceOfLabel,subclassOf,subclassOfLabel,partOf,partOfLabel
http://www.wikidata.org/entity/Q97317538,Final Neolithic,-2800-01-01T00:00:00Z,-2200-01-01T00:00:00Z,http://www.wikidata.org/entity/Q15401633,archaeological period,,,http://www.wikidata.org/entity/Q36422,Neolithic
http://www.wikidata.org/entity/Q419594,Akkad period,-2349-01-01T00:00:00Z,-2199-01-01T00:00:00Z,http://www.wikidata.org/entity/Q11514315,historical period,,,,
http://www.wikidata.org/entity/Q133610270,British Neolithic,-3999-01-01T00:00:00Z,-2199-01-01T00:00:00Z,http://www.wikidata.org/entity/Q816829,periodization,http://www.wikidata.org/entity/Q6993183,Neolithic British Isles,,
http://www.wikidata.org/entity/Q36422,Neolithic,-9000-01-01T00:00:00Z,-2199-01-01T00:00:00Z,http://www.wikidata.org/entity/Q15401633,archaeological period,http://www.wikidata.org/entity/Q11756,prehistory,http://www.wikidata.org/entity/Q11759,Stone Age
http://www.wikidata.org/entity/Q36422,Neolithic,-5500-01-01T00:00:00Z,-2199-01-01T00:00:00Z,http://www.wikidata.org/entity/Q15401633,archaeological period,http://www.wikidata.org/entity/Q11756,prehistory,http://www.wikidata.org/entity/Q11759,Stone Age
http://www.wikidata.org/entity/Q36422,Neolithic,-5200-01-01T00:00:00Z,-2199-01-01T00:00:00Z,http://www.wikidata.org/entity/Q15401633,archaeological period,http://www.wikidata.org/entity/Q11756,prehistory,http://www.wikidata.org/entity/Q11759,Stone Age
http://www.wikidata.org/entity/Q114868851,Lagash II Period,-2199-01-01T00:00:00Z,-2099-01-01T00:00:00Z,http://www.wikidata.org/entity/Q11514315,historical period,,,,
http://www.wikidata.org/entity/Q232211,First Intermediate Period of Egypt,-2180-01-01T00:00:00Z,-2054-01-01T00:00:00Z,http://www.wikidata.org/entity/Q11514315,historical period,,,http://www.wikidata.org/entity/Q766876,history of ancient Egypt
http://www.wikidata.org/entity/Q64578675,Early Kerma,-2499-01-01T00:00:00Z,-2049-01-01T00:00:00Z,http://www.wikidata.org/entity/Q816829,periodization,,,,
http://www.wikidata.org/entity/Q132855862,Q132855862,-4050-01-01T00:00:00Z,-2049-01-01T00:00:00Z,http://www.wikidata.org/entity/Q11514315,historical period,,,,
