property_id,property_label,property_description,type_qids,type_labels,primary_facet,secondary_facets,all_facets,is_historical,is_authority_control,confidence,type_count
P31,instance of,type to which this subject corresponds/belongs. Different from P279 (subclass of); for example: K2 is an instance of mountain; volcano is a subclass of mountain,"Q18616576,Q115490628,Q28326730",Wikidata property | Q115490628 | Wikidata property for the relationship of the element to its class,UNKNOWN,,,False,False,0.5,3
P39,position held,subject currently or formerly holds the object position or public office,"Q18608871,Q26935994,Q480319",Wikidata property for items about people | Wikidata property encoding a vCard value | Q480319,DEMOGRAPHIC,,DEMOGRAPHIC,False,False,0.8,3
P279,subclass of,"this item is a subclass (subset) of that item; ALL instances of this item are instances of that item; different from P31 (instance of), e.g.: volcano is a subclass of mountain; Everest is an instance of mountain","Q18647515,Q18647519,Q28326461,Q18616576,Q115490628",transitive Wikidata property | asymmetric Wikidata property | Q28326461 | Wikidata property | Q115490628,UNKNOWN,,,False,False,0.5,5
P625,coordinate location,"geocoordinates of the subject. For Earth, please note that only the WGS84 geodetic datum is currently supported","Q24239898,Q18615777",Wikidata property for Wikivoyage listings | Wikidata property to indicate a location,GEOGRAPHIC,,GEOGRAPHIC,False,False,0.8,2
P17,country,sovereign state that this item is in (not to be used for human beings),"Q19829914,Q26935994,Q70564278","Wikidata property related to places | Wikidata property encoding a vCard value | Wikidata property used as ""depicts"" (P180) qualifier on Commons",GEOGRAPHIC,,GEOGRAPHIC,False,False,0.8,3
P580,start time,time an entity begins to exist or a statement starts being valid,"Q18636219,Q115429021,Q18608993",Wikidata property with datatype 'time' | Q115429021 | Wikidata property for items about organizations,UNKNOWN,,,False,False,0.5,3
P582,end time,moment when an entity ceases to exist and a statement stops being entirely valid or no longer be true,"Q18636219,Q115429021",Wikidata property with datatype 'time' | Q115429021,UNKNOWN,,,False,False,0.5,2
P106,occupation,"occupation of a person. See also ""field of work"" (Property:P101), ""position held"" (Property:P39). Not for groups of people. There, use ""field of work"" (Property:P101), ""industry"" (Property:P452), ""members have occupation"" (Property:P3989).","Q18608871,Q70564278","Wikidata property for items about people | Wikidata property used as ""depicts"" (P180) qualifier on Commons",DEMOGRAPHIC,,DEMOGRAPHIC,False,False,0.8,2
P27,country of citizenship,the object is a country that recognizes the subject as its citizen,"Q18608871,Q70564278","Wikidata property for items about people | Wikidata property used as ""depicts"" (P180) qualifier on Commons",DEMOGRAPHIC,,DEMOGRAPHIC,False,False,0.8,2
P19,place of birth,"most specific known birth location of a person, animal or fictional character","Q18608756,Q18635217,Q26935994,Q18608871,Q99567026","Wikidata property for birth or death | Wikidata property for specifying the location of an event | Wikidata property encoding a vCard value | Wikidata property for items about people | Wikidata property with a single value, but different precisions and references can lead to multiple values",GEOGRAPHIC,"DEMOGRAPHIC,BIOGRAPHIC","GEOGRAPHIC,DEMOGRAPHIC,BIOGRAPHIC",False,False,0.8,5
P20,place of death,"most specific known (e.g. city instead of country, or hospital instead of city) death location of a person, animal or fictional character","Q115456034,Q18635217,Q26935994,Q18608871,Q99567026","Q115456034 | Wikidata property for specifying the location of an event | Wikidata property encoding a vCard value | Wikidata property for items about people | Wikidata property with a single value, but different precisions and references can lead to multiple values",GEOGRAPHIC,DEMOGRAPHIC,"GEOGRAPHIC,DEMOGRAPHIC",False,False,0.8,5
P569,date of birth,date on which the subject was born,"Q18608756,Q18636219,Q18668171,Q26935994,Q18608871,Q99567026","Wikidata property for birth or death | Wikidata property with datatype 'time' | orderable Wikidata property | Wikidata property encoding a vCard value | Wikidata property for items about people | Wikidata property with a single value, but different precisions and references can lead to multiple values",DEMOGRAPHIC,BIOGRAPHIC,"DEMOGRAPHIC,BIOGRAPHIC",False,False,0.8,6
P570,date of death,date on which the subject died,"Q115456034,Q18636219,Q18608871,Q99567026","Q115456034 | Wikidata property with datatype 'time' | Wikidata property for items about people | Wikidata property with a single value, but different precisions and references can lead to multiple values",DEMOGRAPHIC,,DEMOGRAPHIC,False,False,0.8,4
P710,participant,"person, group of people or organization (object) that actively takes/took part in an event or process (subject). Preferably qualify with ""object has role"" (P3831). Use P1923 for participants that are teams.","Q22964785,Q18608993,Q70564278,Q64830420","Wikidata property related to events | Wikidata property for items about organizations | Wikidata property used as ""depicts"" (P180) qualifier on Commons | Wikidata property associated with people",UNKNOWN,,,False,False,0.5,4
P361,part of,"object of which the subject is a part (if this subject is already part of object A which is a part of object B, then please only make the subject part of object A), inverse property of ""has part"" (P527, see also ""has parts of the class"" (P2670))","Q18647515,Q18647519,Q70564278,Q18608871","transitive Wikidata property | asymmetric Wikidata property | Wikidata property used as ""depicts"" (P180) qualifier on Commons | Wikidata property for items about people",DEMOGRAPHIC,,DEMOGRAPHIC,False,False,0.8,4
P131,located in the administrative territorial entity,the item is located on the territory of the following administrative entity. Use P276 for specifying locations that are non-administrative places and for items about events. Use P1382 if the item falls only partially into the administrative entity,"Q18615777,Q18647519,Q18647515,Q70564278","Wikidata property to indicate a location | asymmetric Wikidata property | transitive Wikidata property | Wikidata property used as ""depicts"" (P180) qualifier on Commons",GEOGRAPHIC,,GEOGRAPHIC,False,False,0.8,4
P276,location,"location of the object, structure or event; use P131 to indicate the containing administrative entity, P8138 for statistical entities, or P706 for geographic entities; use P7153 for locations associated with the object","Q18647515,Q18615777,Q22964785,Q70564278","transitive Wikidata property | Wikidata property to indicate a location | Wikidata property related to events | Wikidata property used as ""depicts"" (P180) qualifier on Commons",GEOGRAPHIC,,GEOGRAPHIC,False,False,0.8,4
P585,point in time,"date something took place, existed or a statement was true; for providing time use the ""refine date"" property (P4241)","Q18636219,Q70564278,Q122233685,Q115429021","Wikidata property with datatype 'time' | Wikidata property used as ""depicts"" (P180) qualifier on Commons | Q122233685 | Q115429021",UNKNOWN,,,False,False,0.5,4
