"property_id","property_label","property_description"
"P460","said to be the same as","this item is said to be the same as that item, though this may be uncertain or disputed"
"P461","opposite of","item that is in some way the opposite of this item"
"P462","color","color of subject"
"P463","member of","organization, club or musical group to which the subject belongs. Do not use for membership in ethnic or social groups, nor for holding a political position, such as a member of parliament (use P39 for that)"
"P465","sRGB color hex triplet","sRGB hex triplet format for subject color (e.g. 7FFFD4) specifying the 8-bit red, green and blue components"
"P466","occupant","person or organization occupying property"
"P469","lake on watercourse","lake or reservoir through which the river or stream flows"
"P473","local dialing code","identifier dedicated to subject city by the area communication network"
"P474","telephone country code","identifier for a country - dialed on phone after the international dialing prefix (precede value by +)"
"P478","volume","volume of a book or music release in a collection/series or a published collection of journal issues in a serial publication"
"P480","FilmAffinity film ID","FilmAffinity identification number of a creative work"
"P484","IMA Number, broad sense","identifier for a mineral?per the International Mineralogical Association -?Commission on New Minerals, Nomenclature and Classification (IMA-CNMNC)"
"P485","archives at","the institution holding the subject's archives"
"P486","MeSH descriptor ID","identifier for Descriptor or Supplementary concept in the Medical Subject Headings controlled vocabulary"
"P487","Unicode character","Unicode character representing the item (only if this is not a control character or a compatiblity character: in that case, use only P4213)"
"P488","chairperson","presiding member of an organization, group or body"
"P492","OMIM ID","Online ""Mendelian Inheritance in Man"" catalogue codes for diseases, genes, or phenotypes"
"P10","video","relevant video; use property P18 for images; for film trailers, qualify with ""object has role"" (P3831)=""trailer"" (Q622550); for films, qualify with ""object has role"" (P3831)=""full video available on Wikimedia Commons"" (Q89347362)"
"P14","traffic sign","graphic symbol describing the item, used at the side of or above roads to give instructions or provide information to road users"
"P15","route map","image of route map at Wikimedia Commons"
"P16","transport network","network the infrastructure is a part of"
"P18","image","image of relevant illustration of the subject; if available, also use more specific properties (sample: coat of arms image, locator map, flag image, signature image, logo image, collage image)"
"P22","father","male parent of the subject. For stepfather, use ""stepparent"" (P3448)"
"P25","mother","female parent of the subject. For stepmother, use ""stepparent"" (P3448)"
"P26","spouse","the subject has the object as their spouse (husband, wife, partner, etc.). Use ""unmarried partner"" (P451) for non-married companions"
"P31","instance of","type to which this subject corresponds/belongs. Different from P279 (subclass of); for example: K2 is an instance of mountain; volcano is a subclass of mountain"
"P40","child","subject has object as child. Do not use for stepchildren?use ""relative"" (P1038), qualified with ""kinship to subject"" (P1039)"
"P50","author","main creator(s) of a written work (use on works, not humans); use P2093 (author name string) when Wikidata item is unknown or does not exist"
"P51","audio","relevant sound. If available, use a more specific property. Samples: ""spoken text audio"" (P989), ""pronunciation audio"" (P443)"
"P57","director","director(s) of film, TV-series, stageplay, video game or similar"
"P58","screenwriter","person(s) who wrote the script for subject item"
"P81","connecting line","railway line(s) subject is directly connected to"
"P85","anthem","subject's official anthem"
"P86","composer","person(s) who wrote the music [for lyricist, use ""lyrics by"" (P676)]"
"P87","librettist","author of the libretto (words) of an opera, operetta, oratorio or cantata, or of the book of a musical"
"P88","commissioned by","person or organization that commissioned this work"
"P98","editor","person who checks and corrects a work (such as a book, newspaper, academic journal, etc.) to comply with a rules of certain genre. Also applies to person who establishes the text of an ancient written work or manuscript."
"P105","taxon rank","level in a taxonomic hierarchy"
"P111","measured physical quantity","value of a physical property expressed as number multiplied by a unit"
"P112","founded by","founder or co-founder of this organization, religion, place or entity"
"P114","airline alliance","alliance the airline belongs to"
"P118","league or competition","league or competition in which team or player has played, or in which an event occurs"
"P121","item operated","equipment, installation or service operated by the subject"
"P126","maintained by","person or organization in charge of keeping the subject (for instance an infrastructure) in functioning order"
"P127","owned by","owner of the subject"
"P128","regulates (molecular biology)","process regulated by a protein or RNA in molecular biology"
"P137","operator","person, profession, organization or entity that operates the equipment, facility, or service"
"P138","named after","entity or event that inspired the subject's name, or namesake (in at least one language). Qualifier ""applies to name"" (P5168) can be used to indicate which one"
"P141","IUCN conservation status","conservation status assigned by the International Union for Conservation of Nature"
"P143","imported from Wikimedia project","source of this claim's value; used in references section by bots or humans importing data from Wikimedia projects"
"P154","logo image","graphic mark or emblem commonly used by commercial enterprises, organizations and products"
"P155","follows","immediately prior item in a series of which the subject is a part, preferably use as qualifier of P179 [if the subject has replaced the preceding item, e.g. political offices, use ""replaces"" (P1365)]"
"P156","followed by","immediately following item in a series of which the subject is a part, preferably use as qualifier of P179 [if the subject has been replaced, e.g. political offices, use ""replaced by"" (P1366)]"
"P161","cast member","actor in the subject production [use ""character role"" (P453) and/or ""name of the character role"" (P4633) as qualifiers] [use ""voice actor"" (P725) for voice-only role] - [use ""recorded participant"" (P11108) for non-fiction productions]"
"P162","producer","person(s) who produced the film, musical work, theatrical production, etc. (for film, this does not include executive producers, associate producers, etc.) [for production company, use P272, video games - use P178]"
"P167","structure replaced by","the item which replaced this building or structure, at the same geographic location"
"P169","chief executive officer","highest-ranking corporate officer appointed as the CEO within an organization"
"P170","creator","maker of this creative work or other object (where no more specific property exists)"
"P171","parent taxon","closest parent taxon of the taxon in question"
"P176","manufacturer","(main or final) manufacturer or producer of this product"
"P177","crosses","obstacle (body of water, road, railway...) which this bridge (ferry, ford) crosses over or this tunnel goes under"
"P717","Minor Planet Center observatory code","identifier for an astronomical observatory assigned by the Minor Planet Center"
"P721","OKATO ID","identifier for every administrative unit in Russia"
"P722","UIC station code","identifier for a railway station in Europe, CIS countries, the Far East (China, Mongolia, Japan, Korea, Vietnam), North Africa and the Middle East"
"P723","Digitale Bibliotheek voor de Nederlandse Letteren author ID","identifier for an author on the DBNL-website for Dutch language authors"
"P725","voice actor","performer of a spoken role in a creative work such as animation, video game, radio drama, or dubbing over [use ""character role"" (P453) as qualifier] [use ""cast member"" (P161) for live acting]"
"P726","candidate","person or party that is an option for an office in this election"
"P729","service entry","date or point in time on which a piece or class of equipment entered operational service"
"P730","service retirement","date or point in time on which a piece or class of equipment was retired from operational service ; use P2669 for end of a public service"
"P731","Litholex ID","identifier in the Lithostratigraphic database of Germany maintained by the BGR"
"P732","BGS Lexicon of Named Rock Units ID","identifier for a stratigraphic unit given by the British Geological Survey"
"P733","DINOloket ID","identifier from?database of geologic units in the Netherlands (Data Informatie Nederlandse Ondergrond)"
"P741","playing hand","hand used to play a racket sport, cricket, fencing, or curling"
"P748","appointed by","who appointed the person to the position, can be used as a qualifier"
"P760","DPLA ID","identifier for books, paintings, films, museum objects and archival records that have been digitised throughout United States"
"P764","OKTMO ID","identifier in Classification on Objects territory of municipal formations (Russia)"
"P765","surface played on","the surface on which a sporting event is played"
"P769","significant drug interaction","clinically significant interaction between two pharmacologically active substances (i.e., drugs and/or active metabolites) where concomitant intake can lead to altered effectiveness or adverse drug events."
"P771","Swiss municipality code","identifier for a municipality in Switzerland"
"P772","INE code","identifier for Spanish populated entities, by the Spanish Statistical Office (INE)"
"P773","ISO 3166-3","identifier for a country name that has been deleted from ISO 3166-1 since its first publication in 1974"
"P774","FIPS 55-3 (locations in the US)","identifier for places in the United States per former Federal Information Processing Standard FIPS 55-3"
"P775","Swedish urban area code","alphanumeric code for an urban area in Sweden"
"P776","Swedish minor urban area code","alphanumeric code for a minor urban area in Sweden"
"P777","Swedish civil parish code/ATA code","identifier for a civil parish in Sweden"
"P780","symptoms and signs","possible symptoms or signs of a medical condition"
"P782","LAU","alphanumeric code for a local administrative unit, comprising the municipalities and communes of the European Statistical System (ESS); renamed from NUTS 4 and NUTS 5"
"P783","hymenium type","type of spore-bearing surface of a mushroom"
"P784","mushroom cap shape","property classifying the shape of the cap of a mushroom"
"P785","hymenium attachment","how the hymenium of the mushroom attaches to the stem"
"P786","stipe character","indicates whether a mushroom has a universal or partial veil"
"P787","spore print color","color of a mushroom spore print (see documentation for allowed values)"
"P788","mushroom ecological type","property classifying the ecological type of a mushroom"
"P790","approved by","item is approved by other item(s) [qualifier: statement is approved by other item(s)]"
"P791","ISIL","identifier for a library or related organization"
"P792","chapter","title or number of the chapter where a claim is made"
"P793","significant event","significant or notable events associated with the subject"
"P799","Air Ministry specification ID","identifier for an aircraft specification issued by the United Kingdom Air Ministry"
"P805","statement is subject of","(qualifying) item that describes the relation identified in this statement"
"P806","Italian cadastre code (municipality)","alphanumeric code for an Italian comune in the Codice catastale"
"P807","separated from","subject was founded or started by separating from identified object"
"P809","WDPA ID","identifier in World Database on Protected Areas"
"P813","retrieved","date or point in time that information was retrieved from a database or website (for use in online sources)"
"P815","ITIS TSN","identifier for a taxon in the Integrated Taxonomic Information System"
"P817","decay mode","type of decay that a radioactive isotope undergoes (should be used as a qualifier for ""decays to"")"
"P822","mascot","mascot of an organization, e.g. a sports team or university"
"P824","Meteoritical Bulletin Database ID","identifier?for a meteorite in the database of the Meteoritical Society"
"P826","tonality","key of a musical composition"
"P828","has cause","underlying cause, entity that ultimately resulted in this effect"
"P829","OEIS ID","identifier on the On-Line Encyclopedia of Integer Sequences"
"P830","Encyclopedia of Life ID","eol.org item reference number"
"P493","ICD-9 ID","identifier in the ICD catalogue codes for diseases ? Version 9"
"P494","ICD-10 ID","identifier in the ICD Terminology of Diseases - Version 10"
"P498","ISO 4217 code","identifier for a currency per?ISO 4217"
"P503","ISO standard","numeric identifier of this ISO standard"
"P505","general manager","general manager of a sports team. If they are also an on-field manager use P286 instead"
"P506","ISO 15924 alpha-4 code","4-letter identifier for a script, writing system, or typeface/style used in one or more languages"
"P507","Swedish county code","two-digit numeric identifier for a county in Sweden ""l?nskod"""
"P508","BNCF Thesaurus ID","identifier in the subject indexing tool of the National Central Library of Florence"
"P509","cause of death","underlying or immediate cause of death. Underlying cause (e.g. car accident, stomach cancer) preferred. Use 'manner of death' (P1196) for broadest category, e.g. natural causes, accident, homicide, suicide"
"P514","interleaves with","stratigraphic relation in which two units overlap each other marginally"
"P516","powered by","equipment or engine used by the subject to convert a source or energy into mechanical energy"
"P518","applies to part","part, aspect, or form of the item to which the claim applies"
"P521","scheduled service destination","airport or station connected by regular direct service to the subject; for the destination of a trip see P1444"
"P523","temporal range start","the start of a process or appearance of a life form or geological unit relative to the geologic time scale"
"P524","temporal range end","the end of a process such as a geological unit or extinction of a life form relative to the geologic time scale"
"P525","Swedish municipality code","four-digit numeric identifier for a municipality in Sweden ""kommunkod"""
"P527","has part(s)","part of this subject; inverse property of ""part of"" (P361). See also ""has parts of the class"" (P2670)."
"P529","runway","name (direction) of runway at airport/airfield/airstrip"
"P532","port of registry","ship's port of registry. This is generally painted on the ship's stern (for the ""home port"", see Property:P504)"
"P533","target","target of an attack or military operation"
"P534","streak color","color of a mineral or material when abraded"
"P536","Association of Tennis Professionals player ID","identifier for a male tennis player at the website of the Association of Tennis Professionals (ATP)"
"P537","twinning","type of twins a crystal forms"
"P538","mineral fracture","fracture types in a mineral"
"P539","Museofile ID","identifier for a museum in the Museofile database of the French ministry of culture"
"P542","officially opened by","person that officially opened the event or place"
"P543","oath made by","person(s) that made the oath at an event, like the Olympic Games"
"P545","torch lit by","person that lit the torch at an event, like the Olympic Games"
"P546","docking port","intended docking port for a spacecraft"
"P554","website username or ID","username or identifier on a website that the person or movement has an account on, for use as qualifier of ""website account on"" (P553)"
"P555","doubles record","win/lose balance for a player in doubles tournaments"
"P557","DiseasesDB","identifier sourced on the Diseases Database"
"P559","terminus","the feature (intersecting road, train station, etc.) at the end of a linear feature"
"P560","direction","relative direction of an entity"
"P563","ICD-O","International Classification of Diseases for Oncology"
"P564","singles record","win/lose balance for a player in singles tournaments"
"P565","crystal habit","the form and proportions of a crystal or mineral"
"P566","has basionym","the legitimate, previously published name on which a new combination or name at new rank is based"
"P567","underlies","stratigraphic unit that this unit lies under (i.e. the overlying unit)"
"P568","overlies","stratigraphic unit that this unit lies over (i.e. the underlying unit)"
"P571","inception","time when an entity begins to exist; for date of official opening use P1619"
"P574","year of publication of scientific name for taxon","year when this taxon was formally described (for animals); year when this taxon name was formally established (for plants)"
"P575","time of discovery or invention","date or point in time when the item was discovered or invented"
"P576","dissolved, abolished or demolished date","point in time at which the subject (organisation, building) ceased to exist; see ""date of official closure"" (P3999) for closing a facility, ""service retirement"" (P730) for retiring equipment, ""discontinued date"" (P2669) for stopping a product"
"P578","Sandbox-TimeValue","Sandbox property for value of type ""TimeValue"""
"P579","IMA status and/or rank","status given to each mineral by the IMA (International Mineralogical Association)"
"P580","start time","time an entity begins to exist or a statement starts being valid"
"P582","end time","moment when an entity ceases to exist and a statement stops being entirely valid or no longer be true"
"P585","point in time","date something took place, existed or a statement was true; for providing time use the ""refine date"" property (P4241)"
"P587","MMSI","identifier for a maritime VHF radio user, typically a ship or an inland radio station. Format 8 or 9 digits"
"P588","coolant","substance used by the subject to dissipate excess thermal energy"
"P589","point group","crystal subdivision"
"P591","EC enzyme number","classification scheme for enzymes"
"P592","ChEMBL ID","identifier from a chemical database of bioactive molecules with drug-like properties"
"P593","HomoloGene ID","identifier in the?HomoloGene database"
"P594","Ensembl gene ID","identifier for a gene as per the Ensembl (European Bioinformatics Institute and the Wellcome Trust Sanger Institute) database"
"P595","Guide to Pharmacology Ligand ID","ligand identifier of the Guide to Pharmacology database"
"P597","Women's Tennis Association player ID","identifier for a female tennis player at the website of the Women's Tennis Association (WTA)"
"P599","International Tennis Federation player ID before 2020 (archived)","identifier for a tennis player at the International Tennis Federation (ITF) website before 2020 (current identifier is P8618)"
"P600","Wine AppDB ID","identifier for an application in the AppDB of WineHQ"
"P604","MedlinePlus ID","health information from U.S. government agencies, and health-related organizations"
"P605","NUTS code","code for a region per?NUTS (Nomenclature des unit?s territoriales statistiques), a geocode standard for referencing the administrative divisions of countries for statistical purposes"
"P606","first flight","date or point in time on which aircraft, rocket, or airline first flew"
