seed_qid,seed_label,delta_qid,delta_label,backlink_hits
Q3952,Late Republic (periodization),Q101098030,Wagnerstraße,1
Q3952,Late Republic (periodization),Q101098031,Waldgrün,1
Q3952,Late Republic (periodization),Q101098033,Waldstraße,1
Q3952,Late Republic (periodization),Q101098034,Walkgasse,1
Q3952,Late Republic (periodization),Q101098036,Wartburgplatz,1
Q3952,Late Republic (periodization),Q101098038,Wartburgstraße,1
Q3952,Late Republic (periodization),Q101098043,Weg ins Grüne,1
Q3952,Late Republic (periodization),Q101098045,Weg zur Linde,1
Q3952,Late Republic (periodization),Q101098049,Weischlitzer Straße,1
Q3952,Late Republic (periodization),Q101098052,Weißdornweg,1
Q3952,Late Republic (periodization),Q101098055,Weisestraße,1
Q3952,Late Republic (periodization),Q101098056,Weststraße,1
Q3952,Late Republic (periodization),Q101098059,Wettinstraße,1
Q3952,Late Republic (periodization),Q101098062,Wielandstraße,1
Q3952,Late Republic (periodization),Q101098063,Wieprechtstraße,1
Q3952,Late Republic (periodization),Q101098065,Wiesenstraße,1
Q3952,Late Republic (periodization),Q101098067,Wildstraße,1
Q3952,Late Republic (periodization),Q101098068,Wilhelm-Goette-Straße,1
Q3952,Late Republic (periodization),Q101098070,Willy-Brandt-Straße,1
Q3952,Late Republic (periodization),Q101098071,Windmühlenstraße,1
Q3952,Late Republic (periodization),Q101098073,Windmühlenweg,1
Q3952,Late Republic (periodization),Q101098075,Wolfsbergweg,1
Q3952,Late Republic (periodization),Q101098078,Yorckstraße,1
Q3952,Late Republic (periodization),Q101098080,Zaderastraße,1
Q3952,Late Republic (periodization),Q101098083,Ziegelstraße,1
Q3952,Late Republic (periodization),Q101098085,Zillestraße,1
Q3952,Late Republic (periodization),Q101098090,Zolaweg,1
Q3952,Late Republic (periodization),Q101098092,Zum Buchenberg,1
Q3952,Late Republic (periodization),Q101098094,Zum Burgteich,1
Q3952,Late Republic (periodization),Q101098095,Zum Friesental,1
Q3952,Late Republic (periodization),Q101098098,Zum Plom,1
Q3952,Late Republic (periodization),Q101098099,Zum Sportplatz,1
Q3952,Late Republic (periodization),Q101098101,Zur Alm,1
Q3952,Late Republic (periodization),Q101098103,Zur Schaftränke,1
Q3952,Late Republic (periodization),Q101098104,Zur schwarzen Brücke,1
Q3952,Late Republic (periodization),Q101098106,Zur Sternquell,1
Q3952,Late Republic (periodization),Q101098107,Zur Waldsiedlung,1
Q3952,Late Republic (periodization),Q101098109,Zur Wiese,1
Q3952,Late Republic (periodization),Q101098110,Zur Ziegelhütte,1
Q3952,Late Republic (periodization),Q101098112,Zürnerstraße,1
Q3952,Late Republic (periodization),Q101098113,Zwoschwitzer Weg,1
Q3952,Late Republic (periodization),Q1014153,Burg Straßberg (Vogtland),1
Q3952,Late Republic (periodization),Q101570,Alwin Korselt,1
Q3952,Late Republic (periodization),Q102115533,Q102115533,1
Q3952,Late Republic (periodization),Q102181216,Sven Knoth,1
Q3952,Late Republic (periodization),Q102225576,Paul Moschick,1
Q3952,Late Republic (periodization),Q102235200,Paul Haller,1
Q3952,Late Republic (periodization),Q102357592,Rudolf Franz Pfaff,1
Q3952,Late Republic (periodization),Q10294333,Heinz Frömmer,1
Q3952,Late Republic (periodization),Q10313870,Karl Beier,1
Q3952,Late Republic (periodization),Q1037451,Carl Degenkolb,1
Q3952,Late Republic (periodization),Q1039972,Carl Otto Leheis,1
Q3952,Late Republic (periodization),Q104058171,Plauensche Straße,1
Q3952,Late Republic (periodization),Q104059974,Plauener Straße,1
Q3952,Late Republic (periodization),Q104126639,Plauensche Straße,1
Q3952,Late Republic (periodization),Q104127371,Plauensche Straße,1
Q3952,Late Republic (periodization),Q104433432,Bernhard Dietrich,1
Q3952,Late Republic (periodization),Q104570,Ferdinand Gotthelf Hand,1
Q3952,Late Republic (periodization),Q104643365,Eduard Schläger,1
Q3952,Late Republic (periodization),Q104704341,Werner Heinke,1
Q3952,Late Republic (periodization),Q104834785,Klaus Ludwig,1
Q3952,Late Republic (periodization),Q105104652,Bärenstein Tower,1
Q3952,Late Republic (periodization),Q105363,Walter Ballhause,1
Q3952,Late Republic (periodization),Q105483361,Hannelore Henze,1
Q3952,Late Republic (periodization),Q105763730,Heinrich XV. Reuß zu Obergreiz,1
Q3952,Late Republic (periodization),Q106035527,Lutherplatz,1
Q3952,Late Republic (periodization),Q106035531,Altes Amtsgericht,1
Q3952,Late Republic (periodization),Q106035532,Vorwerk Reißig,1
Q3952,Late Republic (periodization),Q106035533,Burgruine Dobenau,1
Q3952,Late Republic (periodization),Q106035534,Die drei Klatschbasen,1
Q3952,Late Republic (periodization),Q106035535,Völkerschlacht-Gedenkstein,1
Q3952,Late Republic (periodization),Q106035536,Neundorfer Straße 6,1
Q3952,Late Republic (periodization),Q106035537,Neundorfer Straße 20,1
Q3952,Late Republic (periodization),Q106035538,Neundorfer Straße 40,1
