qid,label,source_class,source_class_label,has_coords,instance_of,instance_of_labels,subclass_of,subclass_of_labels,part_of,part_of_labels,property_count,ext_id_count,property_pids
Q18,South America,Q5107,continent,yes,Q5107|Q855697|Q15042037|Q2418896,continent|subcontinent|statistical territorial entity|part of the world,,,Q828|Q2|Q12585,Americas|Earth|Latin America,194,143,P10046|P10077|P10227|P10297|P10326|P10490|P10690|P10730|P1082|P10832|P11012|P11194|P1151|P11514|P11924|P12043|P12086|P12187|P1225|P12385|P1245|P1248|P12515|P12749|P12800|P1296|P13061|P13300|P1332|P1333|P1334|P13346|P1335|P13426|P1343|P13526|P13535|P13574|P13591|P13613|P13634|P1375|P13750|P1382|P13869|P13967|P14003|P1417|P1424|P1464|P1465|P150|P1549|P1566|P1589|P1667|P1740|P1748|P1791|P18|P1813|P1842|P2004|P2046|P206|P2082|P214|P2163|P2184|P227|P2347|P242|P244|P2573|P2581|P2612|P2633|P268|P269|P2888|P2892|P2924|P2959|P31|P3134|P3180|P3222|P3417|P349|P3553|P361|P3612|P3635|P373|P3847|P3896|P3911|P3916|P421|P4212|P4342|P4427|P443|P4527|P4619|P47|P4777|P4801|P486|P5008|P5019|P5063|P5125|P5167|P5198|P5247|P5250|P527|P5357|P5437|P5456|P5573|P5587|P5748|P5806|P5905|P6058|P610|P6181|P625|P6262|P6293|P646|P6573|P672|P6766|P6778|P6839|P6849|P6900|P691|P7033|P706|P7284|P7305|P7326|P7471|P7700|P7712|P7775|P7850|P7867|P7870|P7960|P8061|P8168|P8189|P8217|P8248|P8256|P8309|P8313|P8365|P8370|P8408|P8419|P8483|P8519|P8625|P8717|P8744|P8814|P8826|P8885|P8895|P9037|P906|P9084|P910|P9100|P9241|P9293|P9346|P935|P948|P949|P9495|P950|P9629|P9757|P9937|P9957|P996|P998
Q46,Europe,Q5107,continent,yes,Q2418896|Q5107|Q82794,part of the world|continent|region,,,Q5401|Q2035462|Q2|Q27527,Eurasia|Ostfeste|Earth|Afro-Eurasia,229,168,P10|P10046|P10077|P10326|P1036|P10376|P10397|P10730|P1082|P10832|P11137|P11194|P11196|P11408|P1151|P11762|P11764|P11765|P11897|P11924|P11946|P11947|P12036|P12043|P12086|P12126|P12187|P1225|P12288|P12385|P1245|P1248|P12515|P12637|P12749|P12800|P1281|P1296|P13061|P13135|P13141|P13160|P13161|P13297|P13300|P13317|P1332|P1333|P1334|P13346|P1335|P13426|P1343|P13535|P13574|P13591|P1368|P13705|P13796|P138|P13801|P1382|P1417|P1424|P1464|P1465|P1482|P1549|P1566|P1589|P1617|P1621|P163|P1667|P1740|P1791|P1792|P18|P1813|P1889|P1943|P1944|P1968|P2004|P2046|P2082|P214|P2163|P2184|P227|P2347|P242|P244|P2561|P2573|P2579|P2581|P2612|P2633|P2888|P2924|P2950|P2959|P2966|P31|P3106|P3134|P3180|P3221|P3222|P3241|P3365|P3417|P3479|P349|P3553|P361|P3612|P3615|P3635|P373|P3847|P3911|P3916|P3984|P4161|P421|P4342|P4427|P443|P4527|P4613|P47|P4777|P4801|P486|P4973|P5008|P5019|P5063|P5125|P5198|P5247|P5250|P527|P5437|P5456|P5573|P5587|P5748|P575|P5905|P6058|P610|P6104|P6200|P625|P6262|P6293|P6404|P646|P6573|P6591|P672|P6766|P6778|P6839|P6900|P691|P7033|P706|P7197|P7305|P7314|P7326|P7471|P7502|P7607|P7775|P7850|P7867|P7870|P7960|P8069|P8168|P8189|P8217|P8248|P8309|P8313|P8370|P8400|P8408|P8419|P8483|P8519|P8636|P8672|P8744|P8814|P8826|P8885|P9000|P902|P9037|P910|P9241|P9272|P9287|P9291|P9293|P9318|P9346|P9349|P935|P9368|P948|P9495|P950|P9545|P9629|P973|P9757|P9807|P982|P989|P9937|P9957|P9975
Q48,Asia,Q5107,continent,yes,Q5107|Q2418896|Q82794,continent|part of the world|region,,,Q2|Q5401|Q27527|Q2035462|Q125965270,Earth|Eurasia|Afro-Eurasia|Ostfeste|Afro-Asia,213,162,P10046|P10077|P1015|P10227|P10326|P1036|P10376|P10565|P10690|P10707|P10730|P1082|P10832|P10919|P11137|P11196|P11408|P1151|P11514|P11820|P11924|P12036|P12043|P12187|P1225|P12385|P1245|P1248|P12515|P12800|P1296|P12966|P1299|P13061|P13161|P13279|P13297|P13300|P13317|P1332|P1333|P1334|P13346|P1335|P13426|P1343|P13535|P13591|P138|P13967|P13990|P14003|P1424|P1464|P1465|P1482|P1549|P1566|P1584|P1589|P1617|P1621|P1667|P1740|P1791|P1792|P18|P1842|P1889|P2004|P2046|P2082|P214|P2163|P2184|P227|P2347|P242|P244|P245|P2573|P2579|P2581|P2612|P2633|P2888|P2892|P2924|P2950|P2959|P31|P3106|P3134|P3222|P3241|P3365|P3417|P3479|P349|P3553|P361|P3612|P3635|P373|P3846|P3896|P3911|P3916|P3984|P421|P4212|P4223|P4342|P4427|P443|P4527|P4613|P4619|P47|P4777|P4801|P4802|P486|P4973|P5008|P5019|P5063|P5125|P5198|P5247|P5250|P527|P5437|P5456|P5573|P5587|P5905|P6058|P610|P6104|P6200|P625|P6262|P6293|P6404|P646|P6573|P6706|P672|P6766|P6778|P6839|P6900|P691|P7012|P7033|P7039|P706|P7305|P7314|P7326|P7369|P7471|P7712|P7775|P78|P7850|P7867|P7870|P7960|P8034|P8068|P8069|P8168|P8189|P8217|P8248|P8309|P8313|P8370|P8408|P8419|P8483|P8519|P8636|P8744|P8814|P8885|P9037|P906|P9084|P910|P9100|P9223|P9241|P9293|P9346|P935|P9466|P948|P949|P9495|P950|P9734|P9757|P9760|P9765|P9809|P9850|P9937|P9957|P9975|P9983
Q49,North America,Q5107,continent,yes,Q5107|Q855697|Q2418896,continent|subcontinent|part of the world,,,Q828,Americas,195,142,P10046|P10077|P1014|P10227|P10297|P10326|P10565|P10690|P10730|P1082|P10832|P11012|P11137|P11194|P1151|P11514|P11693|P11832|P1188|P11924|P12043|P12086|P12187|P12385|P1245|P1248|P12515|P12749|P12800|P12839|P1296|P12997|P1332|P1333|P1334|P13346|P1335|P13426|P1343|P13526|P13574|P13591|P13634|P1375|P13750|P138|P1382|P14003|P1417|P1424|P1464|P1465|P150|P1566|P1589|P1617|P1621|P1667|P1695|P17|P1740|P1748|P1791|P18|P1813|P1842|P1889|P1943|P2004|P2046|P2082|P214|P2163|P2184|P227|P2347|P242|P244|P2573|P2581|P2633|P268|P269|P2892|P2924|P2959|P3006|P31|P3222|P3417|P3479|P349|P3553|P361|P3635|P373|P3749|P3847|P3896|P3911|P3916|P3938|P421|P4212|P4272|P4342|P4427|P443|P4527|P460|P47|P4777|P4801|P4839|P486|P5008|P5019|P5063|P5125|P5198|P5247|P5250|P527|P5437|P5456|P5573|P5748|P5806|P6058|P610|P6200|P625|P6262|P6293|P646|P6573|P6680|P6694|P672|P6766|P6778|P6839|P6900|P691|P7012|P7033|P706|P7284|P7293|P7305|P7326|P7369|P7471|P7712|P7775|P7850|P7867|P7870|P7886|P7960|P8061|P8072|P8168|P8189|P8217|P8256|P8309|P8313|P8349|P8365|P8370|P8400|P8408|P8419|P8483|P8519|P8636|P8717|P8744|P8814|P8885|P8988|P9037|P910|P9100|P9241|P9272|P935|P948|P9495|P950|P9757|P9957|P998|P9982
Q51,Antarctica,Q5107,continent,yes,Q5107|Q82794|Q312461|Q2418896|Q2221906,continent|region|terra nullius|part of the world|geographic location,,,Q205895|Q1555938|Q2,landmass|Antarctic|Earth,177,128,P10077|P10291|P10690|P10730|P1082|P10832|P10919|P11137|P11158|P1151|P11514|P11897|P11924|P12086|P1225|P1245|P1248|P12515|P12589|P12749|P12800|P12997|P13061|P131|P13160|P13161|P13295|P13297|P13300|P13317|P1332|P1333|P1334|P1335|P13390|P13426|P1343|P13526|P13591|P13613|P13634|P1375|P138|P13803|P13835|P1417|P1424|P1464|P1465|P150|P1549|P1566|P1589|P1667|P17|P1740|P1791|P18|P1889|P1944|P2004|P2046|P2082|P214|P2163|P2184|P227|P2347|P242|P244|P2581|P2633|P2924|P2959|P2966|P297|P298|P31|P3106|P3109|P3134|P3175|P3219|P3221|P3222|P3230|P3365|P3417|P3553|P361|P3612|P373|P3896|P3984|P402|P4073|P421|P4342|P4427|P4613|P4640|P474|P4801|P4802|P4839|P487|P5008|P5019|P5063|P5198|P5250|P527|P5337|P5429|P5456|P5573|P5587|P5698|P575|P590|P5905|P6058|P61|P610|P625|P6262|P6265|P6293|P6385|P646|P6573|P6591|P6621|P6766|P6778|P6839|P691|P7033|P706|P7197|P7284|P7305|P7471|P7502|P7666|P7775|P78|P7819|P7867|P804|P8061|P8168|P8189|P8256|P8309|P8313|P8370|P8408|P8519|P8647|P8714|P8814|P8826|P8885|P901|P902|P9037|P906|P910|P92|P9346|P935|P948|P9495|P989|P9937|P9948
Q828,Americas,Q5107,continent,yes,Q55833|Q2418896|Q5107,supercontinent|part of the world|continent,,,Q1349417|Q2,Earth's surface|Earth,115,75,P10077|P1082|P10832|P1151|P11514|P1225|P12385|P1245|P12800|P1296|P13084|P1332|P1333|P1334|P13346|P1335|P1343|P13591|P13750|P138|P13869|P1417|P1464|P1465|P1549|P1566|P1589|P1621|P1667|P1740|P1792|P18|P1889|P1944|P2046|P2082|P214|P2163|P2184|P227|P2347|P242|P244|P2579|P2633|P2892|P2924|P2959|P31|P3106|P3241|P3365|P3417|P349|P3553|P361|P3612|P373|P3911|P3916|P3938|P4342|P4427|P443|P460|P4613|P486|P5008|P5019|P5063|P5198|P527|P5437|P5748|P575|P6058|P61|P610|P625|P6404|P646|P6573|P6706|P672|P6900|P691|P7305|P7314|P7562|P7712|P7850|P7870|P7960|P8168|P8189|P8217|P8248|P8313|P8370|P8432|P8483|P8636|P8672|P8717|P8744|P8814|P8885|P9037|P910|P9223|P935|P948|P9863|P9957|P9975
Q3960,Australian continent,Q5107,continent,yes,Q5107,continent,,,Q1349417|Q2035462|Q55643,Earth's surface|Ostfeste|Oceania,36,14,P1082|P10919|P11408|P12086|P12385|P1296|P131|P1343|P138|P17|P18|P1889|P2046|P242|P2924|P30|P31|P361|P373|P421|P4342|P443|P47|P5008|P5063|P527|P5739|P610|P625|P646|P7033|P706|P7305|P8408|P8814|P910
Q7856408,Turtle Island,Q5107,continent,no,Q5107|Q2418896|Q42106|Q8036370|Q115410539,continent|part of the world|synonym|World Turtle|human world,,,,,8,1,P1249|P18|P1889|P31|P373|P3938|P460|P646
Q11284672,African Continent,Q5107,continent,no,Q5107,continent,,,,,4,1,P1382|P2671|P30|P31
Q15669,Ribeira da Raia,Q4022,river,yes,Q4022,river,,,,,12,2,P131|P17|P18|P2043|P2671|P31|P373|P402|P403|P4614|P625|P974
