qid,label,source_class,source_class_label,has_coords,instance_of,instance_of_labels,subclass_of,subclass_of_labels,part_of,part_of_labels,property_count,ext_id_count,property_pids
Q192981,Minaret of Jam,Q839954,archaeological site,yes,Q48356|Q839954,minaret|archaeological site,,,Q65953897,Minaret and Archaeological Remains of Jam,30,13,P10689|P11729|P131|P1435|P1566|P17|P18|P186|P2046|P2048|P214|P2326|P2581|P268|P269|P276|P2924|P31|P361|P373|P454|P5008|P571|P625|P646|P6766|P757|P793|P948|P973
Q193093,Platonic Academy,Q839954,archaeological site,yes,Q3914|Q811979|Q839954,school|architectural structure|archaeological site,,,,,50,29,P112|P11693|P12385|P12749|P1296|P131|P1343|P138|P1417|P1435|P156|P1566|P1584|P17|P18|P1889|P1936|P214|P2186|P227|P2388|P2596|P276|P2924|P31|P3219|P3348|P3365|P373|P3999|P4212|P5002|P5088|P571|P576|P625|P646|P6706|P6781|P7305|P7666|P7982|P7993|P8068|P8313|P910|P9106|P948|P973|P9756
Q193325,Merv,Q839954,archaeological site,yes,Q839954|Q15661340,archaeological site|ancient city,,,Q2990612,list of World Heritage Sites in Northern and Central Asia,52,29,P10227|P11693|P11729|P131|P1343|P13591|P1376|P138|P13835|P1417|P1435|P1441|P1464|P1465|P1584|P1667|P17|P1792|P18|P1889|P190|P1936|P2046|P214|P2163|P227|P244|P2614|P2924|P31|P3219|P361|P373|P4342|P625|P646|P6706|P691|P7305|P7314|P757|P793|P8068|P8189|P8313|P8406|P910|P9106|P948|P9495|P973|P9957
Q194450,Thermopylae,Q839954,archaeological site,yes,Q1544071|Q839954,narrows|archaeological site,,,,,48,33,P12086|P12385|P12402|P1296|P13061|P131|P1343|P13591|P1417|P1435|P1481|P1566|P1584|P17|P1705|P18|P1889|P1936|P1958|P214|P2186|P2326|P244|P2596|P269|P276|P2924|P31|P3219|P3365|P373|P4212|P4342|P625|P6265|P6385|P6404|P646|P6766|P691|P7305|P7867|P793|P8068|P8189|P8313|P9000|P973
Q194810,Atarneus,Q839954,archaeological site,yes,Q15661340|Q839954|Q148837,ancient city|archaeological site|polis,,,,,19,9,P10689|P11729|P12402|P131|P1343|P1584|P17|P18|P1889|P1936|P31|P421|P5816|P625|P646|P706|P8068|P8137|P9957
Q195128,Abu Salabikh,Q839954,archaeological site,yes,Q486972|Q839954,human settlement|archaeological site,,,,,14,5,P131|P13591|P1584|P17|P18|P2348|P31|P421|P571|P582|P625|P646|P8168|P8189
Q195286,Tell al-Rimah,Q839954,archaeological site,yes,Q755017|Q839954,tell|archaeological site,,,,,14,8,P131|P13591|P1584|P1667|P17|P1705|P18|P214|P31|P4212|P625|P646|P8168|P8406
Q196987,Zeugma,Q839954,archaeological site,yes,Q15661340|Q839954,ancient city|archaeological site,,,,,34,19,P112|P11729|P12800|P131|P1416|P1435|P1481|P1566|P1584|P17|P18|P1936|P1958|P214|P2163|P227|P2596|P2614|P31|P373|P4171|P4223|P443|P571|P5816|P625|P646|P6706|P6821|P706|P8068|P8189|P9736|P9957
Q20350,moai,Q839954,archaeological site,yes,Q839954,archaeological site,Q1779653,colossal statue,,,27,15,P1014|P10565|P131|P1417|P17|P18|P2581|P2670|P279|P31|P3219|P3417|P373|P4212|P4342|P487|P4896|P5184|P625|P646|P6900|P691|P7506|P8408|P910|P935|P9885
Q169349,Kura–Araxes culture,Q839954,archaeological site,no,Q465299|Q839954,archaeological culture|archaeological site,,,Q1471923,Early Bronze Age,22,8,P13591|P138|P155|P156|P17|P18|P242|P244|P276|P2924|P31|P3219|P3417|P361|P373|P580|P582|P646|P706|P7666|P8189|P910
Q61,"Washington, D.C.",Q1549591,big city,yes,Q1093829|Q1549591|Q486972|Q15840617|Q114496982|Q257391,city in the United States|big city|human settlement|planned national capital|political city|federal capital,,,Q578170|Q632014|Q97672598,contiguous United States|Mid-Atlantic|Arlington–Alexandria–Reston metropolitan division,253,165,P10|P10046|P10077|P10227|P10235|P10291|P10321|P1036|P10397|P10565|P10622|P10730|P1082|P10832|P11012|P11137|P11158|P11194|P11247|P1151|P11620|P11662|P11686|P11693|P11832|P1190|P11924|P12062|P12086|P12187|P1225|P12280|P12385|P12431|P1245|P12749|P12800|P1281|P1296|P13061|P131|P1313|P13204|P1325|P1332|P1343|P13591|P13613|P1375|P1376|P138|P13956|P1417|P1448|P1449|P1451|P1456|P1464|P1465|P1482|P1538|P1549|P1566|P158|P1617|P163|P1667|P1670|P17|P1705|P1740|P1791|P1792|P18|P1813|P1830|P1871|P1889|P190|P1937|P1943|P1968|P1997|P2044|P2046|P206|P213|P214|P2163|P2184|P2238|P227|P2347|P237|P238|P2390|P242|P244|P2561|P2564|P2572|P2581|P2633|P2670|P268|P269|P2716|P281|P2924|P2927|P30|P3006|P3065|P31|P3106|P3134|P3179|P3222|P3241|P3348|P3365|P3403|P3417|P3479|P349|P361|P373|P3749|P3788|P3847|P3984|P402|P41|P4161|P4173|P421|P4212|P4223|P4272|P4291|P4342|P4527|P457|P4613|P4619|P4629|P47|P473|P4801|P4813|P4839|P5008|P5019|P5063|P5125|P5140|P5337|P5353|P5456|P5573|P571|P5843|P590|P5905|P6|P6058|P610|P6200|P625|P6265|P6293|P6404|P646|P6573|P6680|P6698|P6706|P6713|P6766|P6778|P6794|P6821|P6839|P6900|P691|P7084|P7197|P7284|P7305|P7422|P7471|P7502|P7666|P7678|P7699|P7700|P774|P7850|P7867|P793|P7982|P8119|P8138|P8168|P8179|P8189|P8217|P8246|P8256|P8309|P8313|P8349|P8400|P8402|P8406|P8519|P8520|P856|P8592|P8672|P8744|P8814|P882|P8826|P8895|P8899|P8974|P8988|P8989|P9037|P910|P9100|P9162|P9223|P9241|P9346|P935|P94|P948|P949|P9495|P950|P9571|P9601|P9629|P9757|P9807|P982|P9885|P989|P9957|P998|P9984
Q62,San Francisco,Q1549591,big city,yes,Q13218382|Q1093829|Q1549591|Q3559093|Q3301053|Q515|Q13218391,charter city and county|city in the United States|big city|sanctuary city|consolidated city-county|city|charter city,,,Q213205|Q63567254,San Francisco Bay Area|San Francisco–San Mateo–Redwood City metropolitan division,241,157,P10|P10046|P10077|P10227|P10234|P10235|P10280|P10291|P10297|P10326|P1036|P10376|P10397|P10565|P10622|P10730|P10786|P1082|P10832|P112|P1151|P11686|P11693|P11832|P1188|P11924|P12062|P12187|P1225|P12385|P12431|P1245|P1273|P12749|P1278|P12800|P1281|P1296|P131|P1313|P1315|P1332|P1333|P13337|P1334|P1335|P1343|P13591|P1365|P1375|P1376|P138|P13906|P13956|P13967|P14003|P1417|P1424|P1430|P1438|P1441|P1448|P1449|P1451|P1464|P1465|P1538|P1549|P1566|P158|P1617|P163|P1667|P17|P1705|P1740|P1791|P1792|P18|P1871|P1889|P190|P1937|P194|P1997|P2002|P2013|P2044|P2046|P206|P213|P214|P2163|P2184|P227|P2347|P2390|P242|P244|P2564|P2572|P2581|P2670|P268|P269|P2716|P281|P2892|P2924|P2927|P30|P31|P3106|P3134|P3153|P3179|P3219|P3222|P3241|P3280|P3347|P3348|P3365|P3393|P3403|P3417|P3451|P349|P3500|P3553|P361|P3633|P37|P373|P3749|P3788|P3847|P3984|P402|P4073|P409|P41|P418|P421|P4272|P4342|P443|P4527|P460|P4619|P47|P473|P4839|P486|P5008|P5019|P5063|P5247|P5337|P5573|P571|P5843|P590|P5905|P6|P6200|P625|P6262|P6265|P6293|P6404|P646|P6573|P6680|P6694|P6698|P672|P6766|P6778|P6839|P691|P706|P7127|P7157|P7197|P7271|P7284|P7305|P7502|P7666|P7699|P7700|P774|P7867|P793|P797|P7982|P8034|P8138|P8168|P8179|P8189|P8217|P8246|P8309|P8313|P8349|P8400|P8402|P8406|P8424|P8519|P856|P8592|P8593|P8651|P8672|P8687|P8744|P8814|P8826|P8887|P8895|P8974|P910|P9100|P912|P9241|P9272|P9346|P935|P948|P949|P9495|P950|P9629|P9757|P982|P9957|P998|P9984
Q64,Berlin,Q1549591,big city,yes,Q1901835|Q200250|Q1307779|Q15974307|Q42744322|Q133442|Q114401982|Q51929311|Q1549591|Q1221156|Q257391|Q707813|Q67123843|Q67123843,seat of government|metropolis|integrated municipality|Unitary municipality in Germany|urban municipality in Germany|city-state|independent city in Berlin|largest city|big city|federated state of Germany|federal capital|Hanseatic city|town divided by border|town divided by border,,,Q648102|Q15781847,Berlin-Brandenburg Metropolitan Region|agglomeration of Berlin,288,191,P10|P10046|P10077|P1015|P10227|P10234|P10280|P10291|P10297|P10321|P1036|P10376|P10397|P10565|P10730|P1082|P10832|P10916|P11012|P11245|P11386|P11408|P1151|P11514|P11620|P11662|P11693|P11810|P11832|P11924|P11946|P11947|P12062|P12086|P12187|P1225|P12385|P1245|P1249|P12749|P1278|P12800|P1281|P1296|P13061|P13080|P131|P1313|P1332|P1333|P13337|P1334|P1335|P1343|P1352|P13591|P1365|P13659|P13750|P1376|P13818|P13835|P1388|P13906|P1417|P1438|P1448|P1464|P1465|P150|P1539|P1540|P1549|P1566|P1617|P1621|P163|P166|P1667|P1670|P17|P1705|P1740|P1791|P1792|P18|P1813|P1830|P1842|P1871|P1889|P190|P1937|P194|P1943|P1958|P1997|P2002|P2003|P2013|P2044|P2046|P206|P208|P209|P213|P214|P2163|P2184|P227|P2347|P237|P2397|P242|P244|P2503|P2564|P2572|P2581|P2633|P268|P269|P2716|P2769|P281|P2892|P2924|P2936|P2959|P2966|P30|P300|P3065|P31|P3134|P3219|P3222|P3241|P3347|P3365|P3417|P3451|P3479|P349|P3500|P3509|P361|P3633|P37|P373|P3749|P3847|P3896|P3911|P395|P3977|P3984|P402|P4073|P41|P4173|P421|P4212|P4223|P4290|P4342|P439|P440|P4427|P443|P4527|P4613|P4619|P463|P4672|P47|P473|P4839|P485|P486|P5008|P501|P5019|P5034|P5063|P5167|P5247|P5260|P5337|P5437|P5456|P5551|P5573|P5587|P571|P5843|P5905|P6|P605|P6058|P610|P6104|P6200|P625|P6262|P6265|P6293|P6303|P6385|P6404|P646|P6482|P6573|P6621|P6698|P672|P6766|P6821|P6839|P6849|P6900|P691|P6987|P7084|P7305|P7471|P7502|P7562|P7607|P782|P7850|P7867|P793|P7982|P8119|P8168|P8189|P8217|P8313|P832|P8349|P8365|P8402|P8406|P8424|P8483|P8519|P856|P8590|P8593|P8687|P8713|P8714|P8744|P8814|P8826|P8885|P8899|P8939|P8974|P898|P8989|P901|P902|P9037|P906|P910|P9100|P9223|P9241|P935|P94|P9437|P9466|P948|P949|P9495|P950|P9601|P9611|P9629|P973|P9757|P982|P9885|P9957|P9964|P998
Q71,Geneva,Q1549591,big city,yes,Q14770218|Q1187811|Q54935504|Q1549591|Q70208,cantonal capital of Switzerland|college town|city of Switzerland|big city|Municipality of Switzerland,,,,,163,106,P10227|P10291|P1036|P10397|P10480|P10565|P1082|P11137|P11693|P12062|P12187|P1225|P12385|P1245|P12749|P12800|P1296|P13061|P131|P1313|P1325|P1343|P13591|P13731|P13750|P1376|P1417|P1435|P1441|P1448|P1456|P1464|P1465|P1549|P1566|P1584|P1617|P1667|P17|P1705|P1740|P1791|P1792|P18|P1830|P1889|P1936|P1937|P1958|P1997|P2002|P2003|P2013|P2046|P206|P213|P214|P2163|P2184|P227|P2347|P2354|P237|P242|P244|P2468|P2561|P2581|P268|P269|P2716|P281|P2924|P2966|P30|P3065|P31|P3219|P3222|P3417|P349|P3500|P3553|P37|P373|P3847|P3911|P395|P3984|P402|P41|P421|P4342|P443|P4527|P4619|P463|P4672|P47|P473|P4829|P485|P5008|P5019|P5063|P5125|P5573|P5587|P5843|P5905|P6|P6144|P625|P6404|P646|P6573|P6621|P6698|P6766|P6821|P691|P7084|P7197|P7471|P7666|P771|P7711|P7771|P7850|P7867|P7960|P8068|P8168|P8189|P8253|P8313|P8406|P8519|P856|P8590|P8687|P8714|P8744|P8814|P8826|P8974|P8989|P902|P9037|P910|P9100|P935|P94|P948|P949|P9495|P950|P9629|P973|P9757|P982|P9957|P998
Q78,Basel,Q1549591,big city,yes,Q70208|Q14770218|Q1187811|Q54935504|Q902814|Q1549591,Municipality of Switzerland|cantonal capital of Switzerland|college town|city of Switzerland|border city|big city,,,,,145,92,P10227|P1036|P10397|P10565|P1082|P10832|P11137|P1151|P11514|P11693|P11835|P12062|P12086|P12187|P1225|P12385|P1245|P1249|P12749|P12800|P1281|P1296|P13061|P131|P1325|P13372|P1343|P13591|P1376|P1417|P1435|P1448|P1456|P1464|P1465|P1549|P1566|P1617|P166|P1667|P17|P1705|P1791|P1792|P18|P1830|P1889|P190|P1937|P1997|P2002|P2003|P2013|P2044|P2046|P206|P214|P2163|P2184|P227|P2347|P2354|P237|P242|P244|P2581|P268|P269|P281|P2872|P2924|P31|P3134|P3219|P3417|P349|P37|P373|P3911|P395|P3984|P402|P41|P4173|P421|P4342|P443|P4619|P463|P4672|P47|P473|P4829|P5008|P5019|P5063|P5573|P5587|P6|P6144|P625|P646|P6573|P6621|P6766|P6821|P691|P706|P7084|P7305|P7471|P771|P7850|P7867|P8034|P8168|P8179|P8189|P8406|P8519|P856|P8590|P8593|P8687|P8714|P8750|P8814|P8974|P902|P9037|P906|P910|P9100|P9223|P935|P94|P948|P949|P9495|P950|P9757|P982|P9886|P9957|P9964
Q85,Cairo,Q1549591,big city,yes,Q1549591|Q174844|Q51929311|Q200250|Q15661340|Q1200957|Q108178728,big city|megacity|largest city|metropolis|ancient city|tourist destination|national capital,,,Q463871,Lower Egypt,177,121,P10|P10046|P10227|P10291|P10326|P1036|P10397|P10510|P10565|P10730|P1082|P10832|P10883|P1151|P11514|P11686|P11693|P11832|P11924|P12062|P12187|P1225|P12385|P1245|P1249|P12728|P1273|P12749|P12800|P1281|P1296|P13061|P131|P13204|P1343|P13591|P1375|P1376|P13835|P1417|P1424|P1438|P1448|P1464|P1465|P1549|P1552|P1566|P1617|P1621|P1667|P17|P1705|P1740|P1791|P1792|P18|P1871|P190|P1937|P1943|P1997|P2013|P2044|P2046|P206|P214|P2163|P2184|P227|P2347|P242|P244|P2572|P2581|P268|P269|P2716|P281|P2924|P2966|P30|P31|P3134|P3219|P3222|P3417|P3451|P349|P361|P37|P373|P3749|P3984|P402|P41|P421|P4212|P4291|P4342|P4527|P4619|P463|P4672|P473|P5002|P5008|P5019|P5063|P5337|P5456|P5573|P5587|P571|P5843|P5905|P6|P6058|P6104|P6200|P625|P6265|P6293|P6404|P646|P6573|P6621|P6723|P6766|P6778|P6821|P6849|P691|P7039|P706|P7197|P7305|P7314|P7562|P7700|P7846|P7850|P7867|P793|P7960|P8168|P8179|P8189|P8217|P8309|P8313|P8400|P8406|P8519|P856|P8592|P8744|P8814|P8826|P8885|P8988|P9037|P910|P9100|P9346|P935|P948|P9495|P950|P9629|P9757|P9807|P982|P9943|P9957|P998|P9984
Q12685199,Cochin,Q1549591,big city,no,Q1549591|Q515,big city|city,,,,,5,0,P17|P1705|P282|P31|P460
Q13035398,Maramba,Q1549591,big city,no,Q902814|Q1549591|Q515,border city|big city|city,,,,,5,0,P17|P1705|P282|P31|P460
Q617550,Apamea,Q15661340,ancient city,yes,Q839954|Q15661340|Q148837|Q102202066,archaeological site|ancient city|polis|Samian Ware Discovery Site,,,Q90412636,Samian Research,56,32,P11729|P12385|P1296|P131|P1343|P13750|P1376|P138|P1435|P1464|P1465|P1481|P1566|P1584|P1667|P17|P1705|P1792|P18|P1889|P1936|P1958|P214|P2326|P244|P2614|P2888|P2924|P31|P3365|P361|P373|P4171|P4223|P5002|P5019|P571|P625|P646|P6706|P6821|P691|P706|P793|P7982|P8068|P8168|P8189|P8349|P8406|P910|P9106|P935|P948|P9850|P9957
Q618495,Aphrodisias,Q15661340,ancient city,yes,Q15661340|Q839954|Q148837,ancient city|archaeological site|polis,,,Q64699201,Aphrodisias,60,38,P10689|P11483|P11729|P12385|P12749|P1296|P131|P1343|P13591|P138|P1416|P1417|P1435|P1464|P1566|P1584|P1667|P17|P18|P1889|P1936|P2003|P2046|P227|P2596|P2614|P2924|P31|P3134|P3222|P3365|P361|P373|P4173|P4223|P4342|P5019|P527|P5816|P625|P646|P6706|P6821|P706|P7305|P757|P7850|P8068|P8168|P8189|P8313|P8406|P8519|P856|P8698|P910|P9106|P948|P9809|P9957
Q619432,Apollonis,Q15661340,ancient city,yes,Q839954|Q15661340,archaeological site|ancient city,,,,,15,7,P11729|P131|P1343|P1584|P17|P1889|P1936|P1958|P2671|P31|P5816|P625|P706|P8068|P9957
Q622234,Aptera,Q15661340,ancient city,yes,Q15661340|Q839954|Q148837,ancient city|archaeological site|polis,,,,,31,18,P10832|P11729|P131|P1343|P1435|P1566|P1584|P17|P1705|P18|P1889|P1936|P213|P214|P2186|P227|P31|P3417|P3500|P373|P4342|P625|P646|P6766|P8068|P8137|P8933|P8989|P973|P9736|P9957
Q622640,Oxyrhynchus,Q15661340,ancient city,yes,Q15661340|Q839954,ancient city|archaeological site,,,,,35,27,P11514|P11729|P12385|P12800|P1296|P131|P1343|P13591|P1417|P1481|P1566|P1584|P17|P18|P1958|P214|P227|P244|P2924|P31|P3348|P373|P625|P646|P6766|P6821|P691|P8068|P8189|P8313|P9037|P910|P9495|P9757|P9957
Q622976,Aquae Calidae,Q15661340,ancient city,yes,Q839954|Q15661340,archaeological site|ancient city,,,,,13,6,P11729|P131|P1343|P1584|P17|P18|P1936|P2671|P31|P373|P625|P8068|P9957
Q625134,Borsippa,Q15661340,ancient city,yes,Q486972|Q839954|Q15661340,human settlement|archaeological site|ancient city,,,,,38,26,P11729|P131|P1343|P13591|P1417|P1566|P1584|P17|P1705|P18|P1889|P1958|P214|P227|P2326|P2348|P2596|P2671|P268|P269|P2924|P31|P3222|P373|P421|P5019|P625|P6404|P646|P6706|P691|P7305|P8068|P8168|P8189|P8406|P9106|P9957
Q626773,Araxa,Q15661340,ancient city,yes,Q15661340,ancient city,,,,,17,6,P10689|P11729|P131|P1343|P1584|P17|P18|P1889|P1936|P31|P373|P421|P5816|P625|P646|P706|P8068
Q628719,Larissa,Q15661340,ancient city,yes,Q15661340|Q93342462|Q148837,ancient city|Ancient Greek archaeological site|polis,,,,,14,6,P10689|P11729|P11946|P131|P1343|P1584|P17|P31|P5816|P582|P625|P646|P706|P8068
Q320867,Abidda,Q15661340,ancient city,no,Q839954|Q15661340,archaeological site|ancient city,,,,,5,2,P1343|P1584|P17|P2671|P31
Q1936083,Bridge near Lixhe,Q12280,bridge,yes,Q12280,bridge,,,,,12,2,P131|P17|P177|P18|P2671|P276|P2787|P2789|P31|P373|P4328|P625
Q1941030,Fergusonbrug,Q12280,bridge,yes,Q12280|Q575759,bridge|war memorial,,,,,17,2,P131|P136|P138|P1619|P17|P177|P18|P2505|P2671|P276|P31|P3638|P373|P547|P571|P625|P6375
Q1941544,Mol bridge,Q12280,bridge,yes,Q12280,bridge,,,,,7,1,P131|P17|P177|P18|P2671|P31|P625
Q1942595,Odebridge,Q12280,bridge,yes,Q12280,bridge,,,,,11,2,P131|P17|P177|P18|P2671|P276|P31|P373|P454|P528|P625
Q1943916,Harinxma bridge,Q12280,bridge,yes,Q12280,bridge,,,,,12,2,P131|P1435|P17|P177|P18|P2671|P276|P31|P359|P373|P625|P6375
Q1945637,Berchembrug,Q12280,bridge,yes,Q12280,bridge,,,,,6,1,P131|P17|P177|P2671|P31|P625
Q1946324,Cronenburgher bridge,Q12280,bridge,yes,Q12280|Q1497375,bridge|architectural ensemble,,,,,13,3,P131|P1435|P17|P177|P18|P2671|P276|P31|P373|P454|P527|P625|P7135
Q1952776,Antwerpsepoort bridge,Q12280,bridge,yes,Q12280,bridge,,,,,8,1,P131|P17|P177|P18|P2505|P2671|P31|P625
Q1958074,Bridge with the twelve arches,Q12280,bridge,yes,Q12280,bridge,,,Q18770691,Kromhoutkazerne,10,1,P131|P1343|P1435|P17|P18|P31|P359|P361|P373|P625
Q1223230,Roman bridge,Q12280,bridge,no,Q12280,bridge,Q12280|Q14752696,bridge|ancient Roman structure,,,13,7,P1269|P12800|P13591|P1889|P244|P268|P279|P31|P373|P508|P646|P8189|P910
Q9006,Bundesautobahn 1,Q34442,road,yes,Q34442,road,,,,,32,8,P12052|P12596|P126|P127|P131|P14|P15|P155|P156|P16|P17|P18|P1813|P1824|P1889|P2043|P227|P2581|P2789|P31|P373|P402|P454|P4552|P609|P625|P646|P706|P7867|P8424|P910|P935
Q9015,Bundesautobahn 5,Q34442,road,yes,Q34442,road,,,Q18674827|Q56306516|Q64136682|Q56327773|Q637808,European route E35 in Germany|European route E40 in Germany|European route E52 in Germany|European route E54 in Germany|European route E451,25,5,P126|P127|P131|P14|P15|P16|P17|P18|P1824|P2043|P2581|P2789|P31|P361|P373|P402|P454|P609|P625|P646|P7867|P8424|P8933|P910|P935
Q9016,Bundesautobahn 6,Q34442,road,yes,Q34442,road,,,Q687438,European route E50,25,4,P126|P127|P131|P14|P15|P16|P17|P18|P1824|P1889|P2043|P31|P361|P373|P402|P454|P51|P609|P625|P646|P7867|P8424|P8933|P910|P935
Q9020,Bundesautobahn 8,Q34442,road,yes,Q34442,road,,,Q56196336|Q52153922|Q64136682|Q168020,European route E29 in Germany|European route E45 in Germany|European route E52 in Germany|European route E60,22,4,P126|P127|P131|P14|P15|P16|P17|P18|P1824|P2043|P31|P361|P373|P402|P454|P609|P625|P646|P7867|P8424|P910|P935
Q9023,Bundesautobahn 9,Q34442,road,yes,Q34442,road,,,,,29,8,P126|P127|P131|P14|P15|P16|P17|P18|P1824|P1889|P2043|P2581|P2789|P31|P373|P3841|P402|P454|P5252|P609|P625|P646|P7867|P8189|P8424|P8933|P8988|P910|P935
Q9026,Bundesautobahn 11,Q34442,road,yes,Q34442,road,,,,,26,4,P126|P127|P131|P14|P15|P16|P1619|P17|P18|P1824|P1889|P2043|P2789|P31|P373|P402|P454|P559|P571|P609|P625|P646|P7867|P8424|P910|P935
Q9037,Bundesautobahn 17,Q34442,road,yes,Q34442,road,,,Q313410,European route E55,29,9,P126|P127|P131|P14|P15|P16|P17|P18|P1824|P1889|P2043|P214|P227|P2789|P31|P361|P373|P402|P454|P559|P609|P625|P646|P691|P8424|P8713|P8988|P910|P935
Q9179,Bundesautobahn 24,Q34442,road,yes,Q34442,road,,,,,26,8,P12086|P126|P127|P131|P14|P15|P16|P17|P18|P1824|P1889|P2043|P214|P227|P2581|P31|P373|P402|P421|P454|P609|P625|P646|P8424|P910|P935
Q9189,Bundesautobahn 25,Q34442,road,yes,Q34442,road,,,,,23,4,P126|P127|P131|P138|P14|P15|P16|P17|P18|P1824|P1889|P2043|P31|P373|P402|P454|P559|P609|P625|P646|P8424|P910|P935
Q9193,Bundesautobahn 26,Q34442,road,yes,Q34442,road,,,,,26,5,P126|P127|P131|P14|P15|P16|P166|P17|P18|P1824|P1889|P2043|P227|P31|P373|P402|P454|P559|P571|P609|P625|P646|P706|P8424|P910|P935
Q2108,Interstate 696,Q34442,road,no,Q34442,road,,,,,18,3,P12052|P126|P127|P131|P14|P15|P16|P17|P1824|P2043|P3096|P31|P373|P402|P559|P580|P609|P646
Q8477,Highway 1,Q34442,road,no,Q34442,road,,,Q494205,AH1,9,3,P17|P18|P2581|P31|P3417|P361|P373|P527|P646
Q3398449,Port of Orléans,Q44782,port,yes,Q44782,port,,,,,7,1,P131|P17|P18|P2671|P31|P373|P625
Q3398451,Banana Harbor,Q44782,port,yes,Q44782,port,,,,,6,2,P131|P1624|P17|P31|P625|P7625
Q3398455,Port of Belledune,Q44782,port,yes,Q44782,port,,,,,5,2,P1624|P17|P2671|P31|P625
Q3398456,port de Bercy,Q44782,port,yes,Q44782,port,,,Q16024163,road network of Paris,20,6,P131|P13133|P138|P1448|P17|P1766|P18|P1889|P2043|P2049|P2671|P31|P3182|P361|P373|P3977|P47|P625|P630|P8168
Q3398457,port of Bayonne,Q44782,port,yes,Q44782,port,,,,,11,4,P1624|P17|P18|P214|P2671|P31|P373|P443|P625|P7625|P910
Q3398459,Port of Brest,Q44782,port,yes,Q15310171|Q44782,seaport|port,,,,,19,9,P11693|P127|P131|P1624|P17|P18|P1937|P206|P214|P2671|P31|P373|P396|P3977|P527|P625|P7625|P856|P8944
Q3398462,Port of Boulogne-sur-Mer,Q44782,port,yes,Q44782,port,,,,,10,4,P131|P1624|P17|P18|P214|P2671|P31|P373|P625|P7625
Q3398468,Port of Caen,Q44782,port,yes,Q44782,port,,,,,9,4,P1624|P17|P18|P214|P31|P373|P625|P646|P7625
Q3398471,Havre de Carteret,Q44782,port,yes,Q44782,port,,,,,8,4,P1566|P1624|P17|P18|P2326|P2671|P31|P625
Q3398472,Cherbourg Port,Q44782,port,yes,Q44782,port,,,,,9,4,P1566|P1624|P17|P18|P214|P2671|P31|P373|P625
Q807754,Barbarikon,Q44782,port,no,Q44782|Q15661340,port|ancient city,,,,,6,3,P1343|P1584|P17|P1936|P31|P646
Q1472068,Johns Hopkins Hospital,Q16917,hospital,yes,Q16917|Q1059324|Q163740,hospital|university hospital|nonprofit organization,,,,,88,55,P1015|P112|P11496|P1207|P1278|P1297|P131|P1315|P1320|P13591|P138|P1416|P1435|P1448|P1454|P1465|P149|P1566|P159|P1619|P17|P1705|P1792|P18|P1968|P213|P2139|P214|P2163|P227|P2403|P2427|P244|P2581|P268|P269|P271|P281|P30|P3065|P31|P3108|P3347|P3377|P3417|P3430|P373|P3743|P3749|P3847|P396|P4081|P409|P4173|P4264|P4272|P452|P4619|P4725|P5337|P5574|P571|P5775|P590|P625|P6262|P6329|P6375|P646|P648|P649|P6782|P6801|P691|P749|P793|P8093|P8165|P8179|P8189|P8282|P8324|P8463|P856|P910|P949|P950|P9964
Q1473118,Fürstenhof,Q16917,hospital,yes,Q16917,hospital,,,,,8,1,P131|P17|P18|P2671|P31|P373|P571|P625
Q1475353,Augusta Victoria Hospital,Q16917,hospital,yes,Q16917,hospital,,,,,23,9,P13092|P131|P138|P140|P17|P18|P213|P214|P2186|P2427|P276|P31|P3500|P373|P571|P625|P6375|P646|P6782|P8189|P84|P856|P8933
Q1476505,Mount Sinai Hospital,Q16917,hospital,yes,Q16917|Q163740,hospital|nonprofit organization,,,,,43,22,P10283|P1278|P1297|P131|P13591|P138|P1416|P1454|P1465|P154|P1566|P159|P17|P18|P213|P2139|P214|P227|P2403|P2427|P244|P269|P31|P3153|P3347|P3500|P373|P452|P571|P590|P6082|P625|P6366|P646|P6782|P6801|P691|P749|P8093|P8189|P84|P856|P9964
Q1479663,Wilhelminen Hospital,Q16917,hospital,yes,Q16917|Q4287745,hospital|medical organization,,,,,15,5,P131|P17|P18|P213|P2427|P31|P3500|P373|P527|P571|P625|P6782|P749|P7842|P856
Q1492004,Klinikum St. Georg,Q16917,hospital,yes,Q16917,hospital,,,,,18,8,P131|P137|P17|P18|P2013|P213|P214|P2427|P31|P373|P571|P625|P6366|P646|P6782|P6801|P856|P9957
Q1492269,Castle Reinleiten,Q16917,hospital,yes,Q751876|Q16917,château|hospital,,,Q1774659,Klinikum Wels-Grieskirchen,16,4,P12884|P131|P137|P1435|P17|P18|P2671|P281|P2817|P2951|P31|P361|P373|P625|P6375|P9154
Q1501014,Gemeinschaftskrankenhaus Herdecke,Q16917,hospital,yes,Q16917|Q163740,hospital|nonprofit organization,,,,,39,19,P10689|P11245|P1128|P11326|P12597|P131|P13210|P135|P1454|P159|P17|P18|P1813|P1968|P2013|P213|P214|P227|P2397|P2427|P2671|P2846|P2848|P31|P3108|P3500|P3608|P373|P3749|P4173|P4264|P452|P571|P625|P6619|P6782|P6801|P7101|P856
Q114052,Alexander house clinic,Q16917,hospital,no,Q16917|Q64578911,hospital|former hospital,,,,,4,1,P131|P17|P2671|P31
