datatype,value_type,count
wikibase-item,wikibase-entityid,39
external-id,string,28
time,time,4
commonsMedia,,2
quantity,quantity,2
string,string,2
commonsMedia,string,1
globe-coordinate,globecoordinate,1
monolingualtext,monolingualtext,1
