wikidata_pid,wikidata_pid_label,edge_count,distinct_subject_count
P131,located in the administrative territorial entity,0,0
P17,country,5,5
P276,location,4,4
P706,located in/on physical feature,0,0
P7153,significant place,5,5
P625,coordinate location,6,6
