qid,label,periodo_id,start,end
Q4096987,British Bronze Age,kh9ds7q8m,-2599-01-01T00:00:00Z,-0699-01-01T00:00:00Z
Q15224558,Euromaidan,6c6g3bc6j,2013-11-21T00:00:00Z,2014-02-23T00:00:00Z
Q15782728,Old-Assyrian period,7ffbfm56z,-1949-01-01T00:00:00Z,-1749-01-01T00:00:00Z
Q16530848,Middle Babylonian period,7ffbfch4f,-1399-01-01T00:00:00Z,-1099-01-01T00:00:00Z
Q29297050,Neo-Elamite period,7ffbfx45f,-1099-01-01T00:00:00Z,-0538-01-01T00:00:00Z
Q29297151,Middle Elamite period,7ffbfknpj,-1299-01-01T00:00:00Z,-1099-01-01T00:00:00Z
Q109384761,Ur III period,7ffbfhfkn,-2099-01-01T00:00:00Z,-1999-01-01T00:00:00Z
Q110209550,Early Dynastic IIIa,7ffbfx3sh,-2599-01-01T00:00:00Z,-2499-01-01T00:00:00Z
Q110209565,Early Dynastic IIIb,7ffbfjtm2,-2499-01-01T00:00:00Z,-2339-01-01T00:00:00Z
Q111656626,Q111656626,vn2frbvn2,-1700-01-01T00:00:00Z,-1500-01-01T00:00:00Z
Q111656882,Q111656882,vn2frzrfs,-1500-01-01T00:00:00Z,-1300-01-01T00:00:00Z
Q111657246,Q111657246,vn2fr68nx,-1300-01-01T00:00:00Z,-1100-01-01T00:00:00Z
Q111657361,Q111657361,vn2frrx4q,-1100-01-01T00:00:00Z,-0900-01-01T00:00:00Z
Q111657374,Q111657374,vn2frrq4x,-0900-01-01T00:00:00Z,-0600-01-01T00:00:00Z
Q111657385,Q111657385,vn2frdpb3,-0600-01-01T00:00:00Z,-0500-01-01T00:00:00Z
Q114867307,Achaemenid Period,83p5r9rs7,-0546-01-01T00:00:00Z,-0330-01-01T00:00:00Z
Q114867465,Early Old Babylonian Period,7ffbftf7p,-1999-01-01T00:00:00Z,-1899-01-01T00:00:00Z
Q114867907,Ebla Period,7ffbfh6rb,-2299-01-01T00:00:00Z,-2249-01-01T00:00:00Z
Q114868851,Lagash II Period,7ffbf9qf7,-2199-01-01T00:00:00Z,-2099-01-01T00:00:00Z
Q114868885,Linear Elamite Period,7ffbf44sn,-2199-01-01T00:00:00Z,-1999-01-01T00:00:00Z
Q114868919,Middle Assyrian Period,7ffbfnbsj,-1399-01-01T00:00:00Z,-0999-01-01T00:00:00Z
Q114869008,Middle Hittite Period,7ffbf8qk6,-1499-01-01T00:00:00Z,-1099-01-01T00:00:00Z
Q114869081,Neo Assyrian Period,7ffbfzf7k,-0910-01-01T00:00:00Z,-0611-01-01T00:00:00Z
Q114869307,Neo Babylonian Period,7ffbfqvg7,-0625-01-01T00:00:00Z,-0538-01-01T00:00:00Z
Q114877803,Uruk III Period,7ffbf3bb5,-3199-01-01T00:00:00Z,-2999-01-01T00:00:00Z
Q114877809,Uruk IV Period,7ffbfz8rq,-3349-01-01T00:00:00Z,-3199-01-01T00:00:00Z
Q114877817,Uruk V Period,7ffbf4k4d,-3499-01-01T00:00:00Z,-3349-01-01T00:00:00Z
Q117326694,"Ṣafavid dynasty, 1501-1736",6c6g35q9w,1501-01-01T00:00:00Z,1736-01-01T00:00:00Z
Q123437228,Early Mithraeum,pkpgkvf9d,0168-01-01T00:00:00Z,0210-01-01T00:00:00Z
Q123437424,Mithraeum I,mx5nbjmkh,0169-01-01T00:00:00Z,0211-01-01T00:00:00Z
Q123437479,"Roman Period, Dura-Europos (Syria)",ns3tkfskp,http://www.wikidata.org/.well-known/genid/0318b770191120759ffbb79bfb5f0f11,0256-01-01T00:00:00Z
Q123438122,"Arsacid Period, Dura-Europos (Syria)",ns3tk6npz,-0130-01-01T00:00:00Z,0194-01-01T00:00:00Z
Q123909218,Middle Mithraeum,pkpgk57tt,0210-01-01T00:00:00Z,0240-01-01T00:00:00Z
Q123910977,Mithraeum II,mx5nb56sq,0209-01-01T00:00:00Z,0256-01-01T00:00:00Z
Q123911600,Late Mithraeum,pkpgkwxn7,0240-01-01T00:00:00Z,0256-01-01T00:00:00Z
Q123915981,"Final Phase, Mithraeum",mx5nb7krq,0209-01-01T00:00:00Z,0256-01-01T00:00:00Z
Q123917199,"Phase A, Mithraeum",mx5nbc4kr,0180-01-01T00:00:00Z,0200-01-01T00:00:00Z
Q123918334,"Phase B, Mithraeum",mx5nbxk28,0200-01-01T00:00:00Z,0210-01-01T00:00:00Z
Q124355469,"Hellenistic Period, Dura-Europos (Syria)",ns3tk5mn7,-0299-01-01T00:00:00Z,http://www.wikidata.org/.well-known/genid/07dcf2a5690acb033a2676a159799d61
Q131987978,Romano-British period,kh9ds9nsj,0043-01-01T00:00:00Z,0410-01-01T00:00:00Z
Q133610270,British Neolithic,kh9dshs59,-3999-01-01T00:00:00Z,-2199-01-01T00:00:00Z
