qid,qid_label,group,property_pid,property_label,statement_index,rank,value_qid,value_label,value_literal,periodo_ids
Q110209550,Early Dynastic IIIa,hierarchy,P156,followed by,0,normal,Q110209565,Early Dynastic IIIb,,7ffbfx3sh
Q110209550,Early Dynastic IIIa,temporal,P580,start time,0,normal,,time=-2600-00-00T00:00:00Z;precision=9,time=-2600-00-00T00:00:00Z;precision=9,7ffbfx3sh
Q110209550,Early Dynastic IIIa,temporal,P582,end time,0,normal,,time=-2500-00-00T00:00:00Z;precision=9,time=-2500-00-00T00:00:00Z;precision=9,7ffbfx3sh
Q110209550,Early Dynastic IIIa,temporal,P9350,PeriodO period ID,0,normal,,7ffbfx3sh,7ffbfx3sh,7ffbfx3sh
Q110209565,Early Dynastic IIIb,hierarchy,P31,instance of,0,normal,Q465299,archaeological culture,,7ffbfjtm2
Q110209565,Early Dynastic IIIb,hierarchy,P31,instance of,1,normal,Q15401633,archaeological period,,7ffbfjtm2
Q110209565,Early Dynastic IIIb,hierarchy,P31,instance of,2,normal,Q11514315,historical period,,7ffbfjtm2
Q110209565,Early Dynastic IIIb,geographical,P276,location,0,normal,Q11767,Mesopotamia,,7ffbfjtm2
Q110209565,Early Dynastic IIIb,hierarchy,P361,part of,0,normal,Q109386511,Early Dynastic III,,7ffbfjtm2
Q110209565,Early Dynastic IIIb,hierarchy,P155,follows,0,normal,Q110209550,Early Dynastic IIIa,,7ffbfjtm2
Q110209565,Early Dynastic IIIb,temporal,P580,start time,0,normal,,time=-2500-00-00T00:00:00Z;precision=9,time=-2500-00-00T00:00:00Z;precision=9,7ffbfjtm2
Q110209565,Early Dynastic IIIb,temporal,P582,end time,0,normal,,time=-2340-00-00T00:00:00Z;precision=9,time=-2340-00-00T00:00:00Z;precision=9,7ffbfjtm2
Q110209565,Early Dynastic IIIb,temporal,P9350,PeriodO period ID,0,normal,,7ffbfjtm2,7ffbfjtm2,7ffbfjtm2
