qid,qid_label,group,property_pid,property_label,statement_index,rank,value_qid,value_label,value_literal,periodo_ids
Q1196237,Proto-Elamite period,hierarchy,P31,instance of,0,normal,Q11514315,historical period,,7ffbfn97j
Q1196237,Proto-Elamite period,hierarchy,P31,instance of,1,normal,Q15401633,archaeological period,,7ffbfn97j
Q1196237,Proto-Elamite period,temporal,P580,start time,0,normal,,time=-3100-00-00T00:00:00Z;precision=9,time=-3100-00-00T00:00:00Z;precision=9,7ffbfn97j
Q1196237,Proto-Elamite period,geographical,P17,country,0,normal,Q794,Iran,,7ffbfn97j
Q1196237,Proto-Elamite period,hierarchy,P361,part of,0,normal,Q35355,Sumer,,7ffbfn97j
Q1196237,Proto-Elamite period,hierarchy,P156,followed by,0,normal,Q29297301,Old Elamite period,,7ffbfn97j
Q1196237,Proto-Elamite period,hierarchy,P155,follows,0,normal,Q731494,Uruk period,,7ffbfn97j
Q1196237,Proto-Elamite period,temporal,P9350,PeriodO period ID,0,normal,,7ffbfn97j,7ffbfn97j,7ffbfn97j
Q123437228,Early Mithraeum,hierarchy,P31,instance of,0,normal,Q15401633,archaeological period,,pkpgkvf9d
Q123437228,Early Mithraeum,hierarchy,P31,instance of,1,normal,Q4785465,archaeological phase,,pkpgkvf9d
Q123437228,Early Mithraeum,temporal,P9350,PeriodO period ID,0,normal,,pkpgkvf9d,pkpgkvf9d,pkpgkvf9d
Q123437228,Early Mithraeum,temporal,P580,start time,0,normal,,time=+0168-00-00T00:00:00Z;precision=9,time=+0168-00-00T00:00:00Z;precision=9,pkpgkvf9d
Q123437228,Early Mithraeum,temporal,P582,end time,0,normal,,time=+0210-00-00T00:00:00Z;precision=9,time=+0210-00-00T00:00:00Z;precision=9,pkpgkvf9d
Q123437228,Early Mithraeum,hierarchy,P361,part of,0,deprecated,Q1939641,"Mithraeum, Dura-Europos",,pkpgkvf9d
Q123437228,Early Mithraeum,hierarchy,P156,followed by,0,normal,Q123909218,Middle Mithraeum,,pkpgkvf9d
Q123437424,Mithraeum I,hierarchy,P31,instance of,0,normal,Q15401633,archaeological period,,mx5nbjmkh
Q123437424,Mithraeum I,hierarchy,P31,instance of,1,normal,Q4785465,archaeological phase,,mx5nbjmkh
Q123437424,Mithraeum I,hierarchy,P31,instance of,2,normal,Q1151014,mithraeum,,mx5nbjmkh
Q123437424,Mithraeum I,temporal,P9350,PeriodO period ID,0,normal,,mx5nbjmkh,mx5nbjmkh,mx5nbjmkh
Q123437424,Mithraeum I,temporal,P580,start time,0,normal,,time=+0169-00-00T00:00:00Z;precision=9,time=+0169-00-00T00:00:00Z;precision=9,mx5nbjmkh
Q123437424,Mithraeum I,temporal,P582,end time,0,normal,,time=+0211-00-00T00:00:00Z;precision=9,time=+0211-00-00T00:00:00Z;precision=9,mx5nbjmkh
Q123437424,Mithraeum I,hierarchy,P361,part of,0,normal,Q1939641,"Mithraeum, Dura-Europos",,mx5nbjmkh
Q123437424,Mithraeum I,hierarchy,P156,followed by,0,normal,Q123910977,Mithraeum II,,mx5nbjmkh
Q123437424,Mithraeum I,hierarchy,P527,has part(s),0,normal,Q123917199,"Phase A, Mithraeum",,mx5nbjmkh
Q123437424,Mithraeum I,hierarchy,P527,has part(s),1,normal,Q123918334,"Phase B, Mithraeum",,mx5nbjmkh
Q123437424,Mithraeum I,hierarchy,P155,follows,0,normal,Q124413129,Pre-mithraeum building(s),,mx5nbjmkh
Q123437424,Mithraeum I,geographical,P17,country,0,normal,Q858,Syria,,mx5nbjmkh
Q123437424,Mithraeum I,geographical,P625,coordinate location,0,normal,,"{'latitude': 34.7490288049, 'longitude': 40.7278076774, 'altitude': None, 'precision': 1e-08, 'globe': 'http://www.wikidata.org/entity/Q2'}","{'latitude': 34.7490288049, 'longitude': 40.7278076774, 'altitude': None, 'precision': 1e-08, 'globe': 'http://www.wikidata.org/entity/Q2'}",mx5nbjmkh
Q123437479,"Roman Period, Dura-Europos (Syria)",hierarchy,P31,instance of,0,normal,Q15401633,archaeological period,,ns3tkfskp
Q123437479,"Roman Period, Dura-Europos (Syria)",temporal,P9350,PeriodO period ID,0,normal,,ns3tkfskp,ns3tkfskp,ns3tkfskp
Q123437479,"Roman Period, Dura-Europos (Syria)",temporal,P580,start time,0,normal,,,,ns3tkfskp
Q123437479,"Roman Period, Dura-Europos (Syria)",temporal,P582,end time,0,normal,,time=+0256-00-00T00:00:00Z;precision=9,time=+0256-00-00T00:00:00Z;precision=9,ns3tkfskp
Q123437479,"Roman Period, Dura-Europos (Syria)",hierarchy,P361,part of,0,normal,Q2277,Roman Empire,,ns3tkfskp
Q123437479,"Roman Period, Dura-Europos (Syria)",hierarchy,P155,follows,0,normal,Q123438122,"Arsacid Period, Dura-Europos (Syria)",,ns3tkfskp
Q123438122,"Arsacid Period, Dura-Europos (Syria)",hierarchy,P31,instance of,0,normal,Q15401633,archaeological period,,ns3tk6npz
Q123438122,"Arsacid Period, Dura-Europos (Syria)",temporal,P9350,PeriodO period ID,0,normal,,ns3tk6npz,ns3tk6npz,ns3tk6npz
Q123438122,"Arsacid Period, Dura-Europos (Syria)",temporal,P580,start time,0,normal,,time=-0131-00-00T00:00:00Z;precision=9,time=-0131-00-00T00:00:00Z;precision=9,ns3tk6npz
Q123438122,"Arsacid Period, Dura-Europos (Syria)",temporal,P582,end time,0,normal,,time=+0194-00-00T00:00:00Z;precision=9,time=+0194-00-00T00:00:00Z;precision=9,ns3tk6npz
Q123438122,"Arsacid Period, Dura-Europos (Syria)",hierarchy,P155,follows,0,normal,Q124355469,"Hellenistic Period, Dura-Europos (Syria)",,ns3tk6npz
Q123438122,"Arsacid Period, Dura-Europos (Syria)",hierarchy,P156,followed by,0,normal,Q123437479,"Roman Period, Dura-Europos (Syria)",,ns3tk6npz
Q123909218,Middle Mithraeum,hierarchy,P31,instance of,0,normal,Q15401633,archaeological period,,pkpgk57tt
Q123909218,Middle Mithraeum,hierarchy,P31,instance of,1,normal,Q4785465,archaeological phase,,pkpgk57tt
Q123909218,Middle Mithraeum,hierarchy,P31,instance of,2,normal,Q1151014,mithraeum,,pkpgk57tt
Q123909218,Middle Mithraeum,hierarchy,P31,instance of,3,normal,Q839954,archaeological site,,pkpgk57tt
Q123909218,Middle Mithraeum,hierarchy,P361,part of,0,deprecated,Q1939641,"Mithraeum, Dura-Europos",,pkpgk57tt
Q123909218,Middle Mithraeum,temporal,P580,start time,0,normal,,time=+0210-00-00T00:00:00Z;precision=9,time=+0210-00-00T00:00:00Z;precision=9,pkpgk57tt
Q123909218,Middle Mithraeum,temporal,P582,end time,0,normal,,time=+0240-00-00T00:00:00Z;precision=9,time=+0240-00-00T00:00:00Z;precision=9,pkpgk57tt
Q123909218,Middle Mithraeum,temporal,P9350,PeriodO period ID,0,normal,,pkpgk57tt,pkpgk57tt,pkpgk57tt
Q123909218,Middle Mithraeum,hierarchy,P155,follows,0,normal,Q123437228,Early Mithraeum,,pkpgk57tt
Q123909218,Middle Mithraeum,hierarchy,P156,followed by,0,normal,Q123911600,Late Mithraeum,,pkpgk57tt
Q123909218,Middle Mithraeum,geographical,P17,country,0,normal,Q858,Syria,,pkpgk57tt
Q123910977,Mithraeum II,hierarchy,P31,instance of,0,normal,Q15401633,archaeological period,,mx5nb56sq
Q123910977,Mithraeum II,hierarchy,P31,instance of,1,normal,Q4785465,archaeological phase,,mx5nb56sq
Q123910977,Mithraeum II,temporal,P580,start time,0,normal,,time=+0209-00-00T00:00:00Z;precision=9,time=+0209-00-00T00:00:00Z;precision=9,mx5nb56sq
Q123910977,Mithraeum II,temporal,P582,end time,0,normal,,time=+0256-00-00T00:00:00Z;precision=9,time=+0256-00-00T00:00:00Z;precision=9,mx5nb56sq
Q123910977,Mithraeum II,hierarchy,P361,part of,0,normal,Q1939641,"Mithraeum, Dura-Europos",,mx5nb56sq
Q123910977,Mithraeum II,temporal,P9350,PeriodO period ID,0,normal,,mx5nb56sq,mx5nb56sq,mx5nb56sq
Q123910977,Mithraeum II,hierarchy,P155,follows,0,normal,Q123437424,Mithraeum I,,mx5nb56sq
Q123911600,Late Mithraeum,hierarchy,P31,instance of,0,normal,Q15401633,archaeological period,,pkpgkwxn7
Q123911600,Late Mithraeum,hierarchy,P31,instance of,1,normal,Q4785465,archaeological phase,,pkpgkwxn7
Q123911600,Late Mithraeum,hierarchy,P361,part of,0,deprecated,Q1939641,"Mithraeum, Dura-Europos",,pkpgkwxn7
Q123911600,Late Mithraeum,hierarchy,P155,follows,0,normal,Q123909218,Middle Mithraeum,,pkpgkwxn7
Q123911600,Late Mithraeum,temporal,P580,start time,0,normal,,time=+0240-00-00T00:00:00Z;precision=9,time=+0240-00-00T00:00:00Z;precision=9,pkpgkwxn7
Q123911600,Late Mithraeum,temporal,P582,end time,0,normal,,time=+0256-00-00T00:00:00Z;precision=9,time=+0256-00-00T00:00:00Z;precision=9,pkpgkwxn7
Q123911600,Late Mithraeum,temporal,P9350,PeriodO period ID,0,normal,,pkpgkwxn7,pkpgkwxn7,pkpgkwxn7
Q123911600,Late Mithraeum,geographical,P17,country,0,normal,Q858,Syria,,pkpgkwxn7
Q123911600,Late Mithraeum,geographical,P625,coordinate location,0,normal,,"{'latitude': 34.7500339667, 'longitude': 40.7256578859, 'altitude': None, 'precision': 1e-08, 'globe': 'http://www.wikidata.org/entity/Q2'}","{'latitude': 34.7500339667, 'longitude': 40.7256578859, 'altitude': None, 'precision': 1e-08, 'globe': 'http://www.wikidata.org/entity/Q2'}",pkpgkwxn7
Q123915981,"Final Phase, Mithraeum",hierarchy,P31,instance of,0,normal,Q15401633,archaeological period,,mx5nb7krq
Q123915981,"Final Phase, Mithraeum",hierarchy,P31,instance of,1,normal,Q4785465,archaeological phase,,mx5nb7krq
Q123915981,"Final Phase, Mithraeum",hierarchy,P361,part of,0,normal,Q1939641,"Mithraeum, Dura-Europos",,mx5nb7krq
Q123915981,"Final Phase, Mithraeum",hierarchy,P361,part of,1,normal,Q123910977,Mithraeum II,,mx5nb7krq
Q123915981,"Final Phase, Mithraeum",temporal,P580,start time,0,normal,,time=+0209-00-00T00:00:00Z;precision=9,time=+0209-00-00T00:00:00Z;precision=9,mx5nb7krq
Q123915981,"Final Phase, Mithraeum",temporal,P582,end time,0,normal,,time=+0256-00-00T00:00:00Z;precision=9,time=+0256-00-00T00:00:00Z;precision=9,mx5nb7krq
Q123915981,"Final Phase, Mithraeum",temporal,P9350,PeriodO period ID,0,normal,,mx5nb7krq,mx5nb7krq,mx5nb7krq
Q123915981,"Final Phase, Mithraeum",hierarchy,P155,follows,0,normal,Q123918334,"Phase B, Mithraeum",,mx5nb7krq
Q123917199,"Phase A, Mithraeum",hierarchy,P31,instance of,0,normal,Q15401633,archaeological period,,mx5nbc4kr
Q123917199,"Phase A, Mithraeum",hierarchy,P31,instance of,1,normal,Q4785465,archaeological phase,,mx5nbc4kr
Q123917199,"Phase A, Mithraeum",hierarchy,P361,part of,0,normal,Q1939641,"Mithraeum, Dura-Europos",,mx5nbc4kr
Q123917199,"Phase A, Mithraeum",hierarchy,P361,part of,1,normal,Q123437424,Mithraeum I,,mx5nbc4kr
Q123917199,"Phase A, Mithraeum",temporal,P580,start time,0,normal,,time=+0180-00-00T00:00:00Z;precision=9,time=+0180-00-00T00:00:00Z;precision=9,mx5nbc4kr
Q123917199,"Phase A, Mithraeum",temporal,P582,end time,0,normal,,time=+0200-00-00T00:00:00Z;precision=9,time=+0200-00-00T00:00:00Z;precision=9,mx5nbc4kr
Q123917199,"Phase A, Mithraeum",temporal,P9350,PeriodO period ID,0,normal,,mx5nbc4kr,mx5nbc4kr,mx5nbc4kr
Q123917199,"Phase A, Mithraeum",hierarchy,P156,followed by,0,normal,Q123918334,"Phase B, Mithraeum",,mx5nbc4kr
Q123918334,"Phase B, Mithraeum",hierarchy,P31,instance of,0,normal,Q15401633,archaeological period,,mx5nbxk28
Q123918334,"Phase B, Mithraeum",hierarchy,P31,instance of,1,normal,Q4785465,archaeological phase,,mx5nbxk28
Q123918334,"Phase B, Mithraeum",hierarchy,P361,part of,0,normal,Q1939641,"Mithraeum, Dura-Europos",,mx5nbxk28
Q123918334,"Phase B, Mithraeum",hierarchy,P361,part of,1,normal,Q123437424,Mithraeum I,,mx5nbxk28
Q123918334,"Phase B, Mithraeum",temporal,P580,start time,0,normal,,time=+0200-00-00T00:00:00Z;precision=9,time=+0200-00-00T00:00:00Z;precision=9,mx5nbxk28
Q123918334,"Phase B, Mithraeum",temporal,P582,end time,0,normal,,time=+0210-00-00T00:00:00Z;precision=9,time=+0210-00-00T00:00:00Z;precision=9,mx5nbxk28
Q123918334,"Phase B, Mithraeum",temporal,P9350,PeriodO period ID,0,normal,,mx5nbxk28,mx5nbxk28,mx5nbxk28
Q123918334,"Phase B, Mithraeum",hierarchy,P155,follows,0,normal,Q123917199,"Phase A, Mithraeum",,mx5nbxk28
Q123918334,"Phase B, Mithraeum",hierarchy,P156,followed by,0,normal,Q123915981,"Final Phase, Mithraeum",,mx5nbxk28
Q124355469,"Hellenistic Period, Dura-Europos (Syria)",hierarchy,P31,instance of,0,normal,Q15401633,archaeological period,,ns3tk5mn7
Q124355469,"Hellenistic Period, Dura-Europos (Syria)",temporal,P580,start time,0,normal,,time=-0300-00-00T00:00:00Z;precision=9,time=-0300-00-00T00:00:00Z;precision=9,ns3tk5mn7
Q124355469,"Hellenistic Period, Dura-Europos (Syria)",temporal,P582,end time,0,normal,,,,ns3tk5mn7
Q124355469,"Hellenistic Period, Dura-Europos (Syria)",temporal,P9350,PeriodO period ID,0,normal,,ns3tk5mn7,ns3tk5mn7,ns3tk5mn7
Q124355469,"Hellenistic Period, Dura-Europos (Syria)",hierarchy,P156,followed by,0,normal,Q123438122,"Arsacid Period, Dura-Europos (Syria)",,ns3tk5mn7
Q12554,Middle Ages,temporal,P582,end time,0,normal,,time=+1520-00-00T00:00:00Z;precision=9,time=+1520-00-00T00:00:00Z;precision=9,8m57h8zmq
Q12554,Middle Ages,temporal,P582,end time,1,preferred,,time=+1500-00-00T00:00:00Z;precision=8,time=+1500-00-00T00:00:00Z;precision=8,8m57h8zmq
Q12554,Middle Ages,temporal,P582,end time,2,normal,,time=+1492-00-00T00:00:00Z;precision=9,time=+1492-00-00T00:00:00Z;precision=9,8m57h8zmq
Q12554,Middle Ages,temporal,P582,end time,3,normal,,time=+1453-00-00T00:00:00Z;precision=9,time=+1453-00-00T00:00:00Z;precision=9,8m57h8zmq
Q12554,Middle Ages,temporal,P582,end time,4,normal,,time=+1517-00-00T00:00:00Z;precision=9,time=+1517-00-00T00:00:00Z;precision=9,8m57h8zmq
Q12554,Middle Ages,hierarchy,P156,followed by,0,normal,Q4692,Renaissance,,8m57h8zmq
Q12554,Middle Ages,hierarchy,P156,followed by,1,normal,Q5308718,early modern period,,8m57h8zmq
Q12554,Middle Ages,hierarchy,P156,followed by,2,normal,Q133641,Age of Discovery,,8m57h8zmq
Q12554,Middle Ages,hierarchy,P155,follows,0,normal,Q41493,ancient history,,8m57h8zmq
Q12554,Middle Ages,hierarchy,P155,follows,1,normal,Q217050,late antiquity,,8m57h8zmq
Q12554,Middle Ages,hierarchy,P527,has part(s),0,normal,Q202763,Early Middle Ages,,8m57h8zmq
Q12554,Middle Ages,hierarchy,P527,has part(s),1,normal,Q212976,Late Middle Ages,,8m57h8zmq
Q12554,Middle Ages,hierarchy,P527,has part(s),2,normal,Q212685,High Middle Ages,,8m57h8zmq
Q12554,Middle Ages,hierarchy,P31,instance of,0,normal,Q17522177,age,,8m57h8zmq
Q12554,Middle Ages,hierarchy,P31,instance of,1,normal,Q11514315,historical period,,8m57h8zmq
Q12554,Middle Ages,temporal,P580,start time,0,normal,,time=+0476-00-00T00:00:00Z;precision=9,time=+0476-00-00T00:00:00Z;precision=9,8m57h8zmq
Q12554,Middle Ages,temporal,P9350,PeriodO period ID,0,normal,,vn2frpf43,vn2frpf43,8m57h8zmq
Q12554,Middle Ages,temporal,P9350,PeriodO period ID,1,normal,,8m57h8zmq,8m57h8zmq,8m57h8zmq
Q12554,Middle Ages,geographical,P276,location,0,normal,Q46,Europe,,8m57h8zmq
Q12554,Middle Ages,hierarchy,P279,subclass of,0,normal,Q2198855,cultural movement,,8m57h8zmq
Q127751,Wars of the Roses,hierarchy,P31,instance of,0,normal,Q198,war,,6c6g3crgz
Q127751,Wars of the Roses,hierarchy,P31,instance of,1,normal,Q8465,civil war,,6c6g3crgz
Q127751,Wars of the Roses,temporal,P580,start time,0,normal,,time=+1455-05-22T00:00:00Z;precision=11,time=+1455-05-22T00:00:00Z;precision=11,6c6g3crgz
Q127751,Wars of the Roses,temporal,P582,end time,0,normal,,time=+1487-06-16T00:00:00Z;precision=11,time=+1487-06-16T00:00:00Z;precision=11,6c6g3crgz
Q127751,Wars of the Roses,geographical,P276,location,0,normal,Q179876,Kingdom of England,,6c6g3crgz
Q127751,Wars of the Roses,temporal,P585,point in time,0,normal,,time=+1500-00-00T00:00:00Z;precision=7,time=+1500-00-00T00:00:00Z;precision=7,6c6g3crgz
Q127751,Wars of the Roses,geographical,P17,country,0,normal,Q179876,Kingdom of England,,6c6g3crgz
Q127751,Wars of the Roses,temporal,P9350,PeriodO period ID,0,normal,,6c6g3crgz,6c6g3crgz,6c6g3crgz
Q131987978,Romano-British period,hierarchy,P31,instance of,0,normal,Q816829,periodization,,kh9ds9nsj
Q131987978,Romano-British period,hierarchy,P279,subclass of,0,normal,Q125510349,Roman period,,kh9ds9nsj
Q131987978,Romano-British period,temporal,P580,start time,0,normal,,time=+0043-00-00T00:00:00Z;precision=9,time=+0043-00-00T00:00:00Z;precision=9,kh9ds9nsj
Q131987978,Romano-British period,temporal,P582,end time,0,normal,,time=+0410-00-00T00:00:00Z;precision=9,time=+0410-00-00T00:00:00Z;precision=9,kh9ds9nsj
Q131987978,Romano-British period,geographical,P276,location,0,normal,Q23666,Great Britain,,kh9ds9nsj
Q131987978,Romano-British period,geographical,P17,country,0,normal,Q145,United Kingdom,,kh9ds9nsj
Q131987978,Romano-British period,temporal,P9350,PeriodO period ID,0,normal,,kh9ds9nsj,kh9ds9nsj,kh9ds9nsj
Q131987978,Romano-British period,hierarchy,P155,follows,0,normal,Q277399,British Iron Age,,kh9ds9nsj
Q1325419,Genji,hierarchy,P31,instance of,0,normal,Q24706,Japanese era name,,8m57h7cc2
Q1325419,Genji,hierarchy,P156,followed by,0,normal,Q776775,Keiō,,8m57h7cc2
Q1325419,Genji,hierarchy,P155,follows,0,normal,Q730266,Bunkyū,,8m57h7cc2
Q1325419,Genji,temporal,P2348,time period,0,normal,Q184963,Edo period,,8m57h7cc2
Q1325419,Genji,temporal,P580,start time,0,normal,,time=+1864-03-27T00:00:00Z;precision=11,time=+1864-03-27T00:00:00Z;precision=11,8m57h7cc2
Q1325419,Genji,temporal,P582,end time,0,normal,,time=+1865-04-30T00:00:00Z;precision=11,time=+1865-04-30T00:00:00Z;precision=11,8m57h7cc2
Q1325419,Genji,geographical,P17,country,0,normal,Q17,Japan,,8m57h7cc2
Q1325419,Genji,temporal,P9350,PeriodO period ID,0,normal,,8m57h7cc2,8m57h7cc2,8m57h7cc2
Q133610270,British Neolithic,hierarchy,P31,instance of,0,normal,Q816829,periodization,,kh9dshs59
Q133610270,British Neolithic,hierarchy,P279,subclass of,0,normal,Q6993183,Neolithic British Isles,,kh9dshs59
Q133610270,British Neolithic,temporal,P580,start time,0,normal,,time=-4000-00-00T00:00:00Z;precision=9,time=-4000-00-00T00:00:00Z;precision=9,kh9dshs59
Q133610270,British Neolithic,temporal,P582,end time,0,normal,,time=-2200-00-00T00:00:00Z;precision=9,time=-2200-00-00T00:00:00Z;precision=9,kh9dshs59
Q133610270,British Neolithic,geographical,P17,country,0,normal,Q145,United Kingdom,,kh9dshs59
Q133610270,British Neolithic,temporal,P9350,PeriodO period ID,0,normal,,kh9dshs59,kh9dshs59,kh9dshs59
Q133610270,British Neolithic,hierarchy,P156,followed by,0,normal,Q4096987,British Bronze Age,,kh9dshs59
Q1471568,Old Babylonian Period,hierarchy,P31,instance of,0,normal,Q11514315,historical period,,7ffbfw885
Q1471568,Old Babylonian Period,temporal,P580,start time,0,normal,,time=-2004-00-00T00:00:00Z;precision=9,time=-2004-00-00T00:00:00Z;precision=9,7ffbfw885
Q1471568,Old Babylonian Period,temporal,P580,start time,1,preferred,,time=-1900-00-00T00:00:00Z;precision=9,time=-1900-00-00T00:00:00Z;precision=9,7ffbfw885
Q1471568,Old Babylonian Period,temporal,P582,end time,0,normal,,time=-1595-00-00T00:00:00Z;precision=9,time=-1595-00-00T00:00:00Z;precision=9,7ffbfw885
Q1471568,Old Babylonian Period,temporal,P582,end time,1,normal,,time=-1600-00-00T00:00:00Z;precision=9,time=-1600-00-00T00:00:00Z;precision=9,7ffbfw885
Q1471568,Old Babylonian Period,temporal,P9350,PeriodO period ID,0,normal,,7ffbfw885,7ffbfw885,7ffbfw885
Q1471568,Old Babylonian Period,hierarchy,P155,follows,0,normal,Q114867465,Early Old Babylonian Period,,7ffbfw885
Q1471568,Old Babylonian Period,hierarchy,P156,followed by,0,normal,Q16530848,Middle Babylonian period,,7ffbfw885
Q1471568,Old Babylonian Period,hierarchy,P156,followed by,1,normal,Q114869008,Middle Hittite Period,,7ffbfw885
Q15224558,Euromaidan,temporal,P580,start time,0,normal,,time=+2013-11-21T00:00:00Z;precision=11,time=+2013-11-21T00:00:00Z;precision=11,6c6g3bc6j
Q15224558,Euromaidan,hierarchy,P31,instance of,0,normal,Q686984,civil disorder,,6c6g3bc6j
Q15224558,Euromaidan,hierarchy,P31,instance of,1,normal,Q175331,demonstration,,6c6g3bc6j
Q15224558,Euromaidan,hierarchy,P31,instance of,2,normal,Q273120,protest,,6c6g3bc6j
Q15224558,Euromaidan,hierarchy,P31,instance of,3,normal,Q45382,coup d'état,,6c6g3bc6j
Q15224558,Euromaidan,geographical,P17,country,0,normal,Q212,Ukraine,,6c6g3bc6j
Q15224558,Euromaidan,geographical,P276,location,0,normal,Q863759,Maidan Nezalezhnosti,,6c6g3bc6j
Q15224558,Euromaidan,geographical,P276,location,1,normal,Q212,Ukraine,,6c6g3bc6j
Q15224558,Euromaidan,hierarchy,P361,part of,0,normal,Q16918333,2013–2014 Ukrainian political crisis,,6c6g3bc6j
Q15224558,Euromaidan,temporal,P582,end time,0,normal,,time=+2014-02-23T00:00:00Z;precision=11,time=+2014-02-23T00:00:00Z;precision=11,6c6g3bc6j
Q15224558,Euromaidan,hierarchy,P527,has part(s),0,normal,Q15733401,Revolution of Dignity,,6c6g3bc6j
Q15224558,Euromaidan,temporal,P9350,PeriodO period ID,0,normal,,6c6g3bc6j,6c6g3bc6j,6c6g3bc6j
Q15224558,Euromaidan,hierarchy,P156,followed by,0,normal,Q15860072,Russo-Ukrainian War,,6c6g3bc6j
Q15224558,Euromaidan,geographical,P131,located in the administrative territorial entity,0,normal,Q212,Ukraine,,6c6g3bc6j
Q15224558,Euromaidan,geographical,P131,located in the administrative territorial entity,1,normal,Q1899,Kyiv,,6c6g3bc6j
Q15224558,Euromaidan,temporal,P585,point in time,0,normal,,time=+2010-00-00T00:00:00Z;precision=8,time=+2010-00-00T00:00:00Z;precision=8,6c6g3bc6j
Q15224558,Euromaidan,geographical,P625,coordinate location,0,normal,,"{'latitude': 50.45025, 'longitude': 30.52389, 'altitude': None, 'precision': 0.014107862263351832, 'globe': 'http://www.wikidata.org/entity/Q2'}","{'latitude': 50.45025, 'longitude': 30.52389, 'altitude': None, 'precision': 0.014107862263351832, 'globe': 'http://www.wikidata.org/entity/Q2'}",6c6g3bc6j
Q15782728,Old-Assyrian period,hierarchy,P31,instance of,0,normal,Q11514315,historical period,,7ffbfm56z
Q15782728,Old-Assyrian period,temporal,P9350,PeriodO period ID,0,normal,,7ffbfm56z,7ffbfm56z,7ffbfm56z
Q15782728,Old-Assyrian period,temporal,P580,start time,0,normal,,time=-1950-00-00T00:00:00Z;precision=9,time=-1950-00-00T00:00:00Z;precision=9,7ffbfm56z
Q15782728,Old-Assyrian period,temporal,P582,end time,0,normal,,time=-1750-00-00T00:00:00Z;precision=9,time=-1750-00-00T00:00:00Z;precision=9,7ffbfm56z
Q15782728,Old-Assyrian period,hierarchy,P155,follows,0,normal,Q109384761,Ur III period,,7ffbfm56z
Q15782728,Old-Assyrian period,hierarchy,P156,followed by,0,normal,Q114868919,Middle Assyrian Period,,7ffbfm56z
Q16530848,Middle Babylonian period,hierarchy,P31,instance of,0,normal,Q11514315,historical period,,7ffbfch4f
Q16530848,Middle Babylonian period,temporal,P580,start time,0,normal,,time=-1400-00-00T00:00:00Z;precision=9,time=-1400-00-00T00:00:00Z;precision=9,7ffbfch4f
Q16530848,Middle Babylonian period,temporal,P582,end time,0,normal,,time=-1100-00-00T00:00:00Z;precision=9,time=-1100-00-00T00:00:00Z;precision=9,7ffbfch4f
Q16530848,Middle Babylonian period,temporal,P9350,PeriodO period ID,0,normal,,7ffbfch4f,7ffbfch4f,7ffbfch4f
Q16530848,Middle Babylonian period,hierarchy,P155,follows,0,normal,Q1471568,Old Babylonian Period,,7ffbfch4f
Q16530848,Middle Babylonian period,hierarchy,P156,followed by,0,normal,Q114867342,Early Neo-Babylonian Period,,7ffbfch4f
Q182688,Victorian era,hierarchy,P31,instance of,0,normal,Q11514315,historical period,,kh9dsxp46
Q182688,Victorian era,hierarchy,P31,instance of,1,normal,Q186408,point in time,,kh9dsxp46
Q182688,Victorian era,geographical,P17,country,0,normal,Q8680,British Empire,,kh9dsxp46
Q182688,Victorian era,temporal,P580,start time,0,normal,,time=+1837-00-00T00:00:00Z;precision=9,time=+1837-00-00T00:00:00Z;precision=9,kh9dsxp46
Q182688,Victorian era,temporal,P582,end time,0,normal,,time=+1901-00-00T00:00:00Z;precision=9,time=+1901-00-00T00:00:00Z;precision=9,kh9dsxp46
Q182688,Victorian era,temporal,P9350,PeriodO period ID,0,normal,,kh9dsxp46,kh9dsxp46,kh9dsxp46
Q182688,Victorian era,hierarchy,P156,followed by,0,normal,Q185852,Edwardian era,,kh9dsxp46
Q182688,Victorian era,hierarchy,P155,follows,0,normal,Q2006877,Georgian era,,kh9dsxp46
Q204023,Sengoku period,geographical,P17,country,0,normal,Q17,Japan,,6c6g3cq26
Q204023,Sengoku period,hierarchy,P31,instance of,0,normal,Q11514315,historical period,,6c6g3cq26
Q204023,Sengoku period,temporal,P580,start time,0,preferred,,time=+1467-00-00T00:00:00Z;precision=9,time=+1467-00-00T00:00:00Z;precision=9,6c6g3cq26
Q204023,Sengoku period,temporal,P580,start time,1,normal,,time=+1493-00-00T00:00:00Z;precision=9,time=+1493-00-00T00:00:00Z;precision=9,6c6g3cq26
Q204023,Sengoku period,temporal,P582,end time,0,preferred,,time=+1590-00-00T00:00:00Z;precision=9,time=+1590-00-00T00:00:00Z;precision=9,6c6g3cq26
Q204023,Sengoku period,temporal,P582,end time,1,normal,,time=+1573-00-00T00:00:00Z;precision=9,time=+1573-00-00T00:00:00Z;precision=9,6c6g3cq26
Q204023,Sengoku period,temporal,P582,end time,2,normal,,time=+1600-00-00T00:00:00Z;precision=9,time=+1600-00-00T00:00:00Z;precision=9,6c6g3cq26
Q204023,Sengoku period,temporal,P582,end time,3,normal,,time=+1615-00-00T00:00:00Z;precision=9,time=+1615-00-00T00:00:00Z;precision=9,6c6g3cq26
Q204023,Sengoku period,hierarchy,P361,part of,0,normal,Q334845,Muromachi period,,6c6g3cq26
Q204023,Sengoku period,hierarchy,P361,part of,1,normal,Q130436,history of Japan,,6c6g3cq26
Q204023,Sengoku period,temporal,P9350,PeriodO period ID,0,normal,,6c6g3cq26,6c6g3cq26,6c6g3cq26
